Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
generateDbConfig,generate,True,VERB,8
generateDbConfig,Db,True,VERB,2
generateDbConfig,Config,False,PROPN,6
omissions,omissions,True,NOUN,9
omissions,omissions,True,NOUN,9
performTestForDomain,perform,True,VERB,7
performTestForDomain,Test,True,VERB,4
performTestForDomain,For,True,ADP,3
performTestForDomain,Domain,True,NOUN,6
omissions,omissions,True,NOUN,9
locationRendering,location,True,NOUN,8
locationRendering,Rendering,True,VERB,9
omissions,omissions,True,NOUN,9
omissions,omissions,True,NOUN,9
omissions,omissions,True,NOUN,9
omissions,omissions,True,NOUN,9
init,init,True,PROPN,4
loadObjects,load,True,NOUN,4
loadObjects,Objects,True,NOUN,7
getObjectSchema,get,True,VERB,3
getObjectSchema,Object,True,VERB,6
getObjectSchema,Schema,True,PROPN,6
exports,exports,True,NOUN,7
configure,configure,True,NOUN,9
getKeys,get,True,VERB,3
getKeys,Keys,True,NOUN,4
generateKeys,generate,True,VERB,8
generateKeys,Keys,True,NOUN,4
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
up,up,True,ADV,2
down,down,True,ADV,4
Promise_apiValidator,Promise,True,VERB,7
Promise_apiValidator,api,False,VERB,3
Promise_apiValidator,Validator,False,NOUN,9
apiValidator,api,False,VERB,3
apiValidator,Validator,False,NOUN,9
validator,validator,False,NOUN,9
up,up,True,ADV,2
down,down,True,ADV,4
up,up,True,ADV,2
down,down,True,ADV,4
up,up,True,ADV,2
down,down,True,ADV,4
up,up,True,ADV,2
down,down,True,ADV,4
up,up,True,ADV,2
down,down,True,ADV,4
up,up,True,ADV,2
down,down,True,ADV,4
up,up,True,ADV,2
down,down,True,ADV,4
up,up,True,ADV,2
down,down,True,ADV,4
up,up,True,ADV,2
down,down,True,ADV,4
up,up,True,ADV,2
down,down,True,ADV,4
up,up,True,ADV,2
down,down,True,ADV,4
up,up,True,ADV,2
down,down,True,ADV,4
up,up,True,ADV,2
down,down,True,ADV,4
up,up,True,ADV,2
down,down,True,ADV,4
up,up,True,ADV,2
down,down,True,ADV,4
regenerateDefaultHost,regenerate,True,VERB,10
regenerateDefaultHost,Default,True,NOUN,7
regenerateDefaultHost,Host,True,NOUN,4
up,up,True,ADV,2
down,down,True,ADV,4
encryptPassword,encrypt,True,VERB,7
encryptPassword,Password,True,PROPN,8
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
setupDefaultUser,setup,True,NOUN,5
setupDefaultUser,Default,True,NOUN,7
setupDefaultUser,User,True,NOUN,4
setupDefaultSettings,setup,True,NOUN,5
setupDefaultSettings,Default,True,NOUN,7
setupDefaultSettings,Settings,True,NOUN,8
setupCertbotPlugins,setup,True,NOUN,5
setupCertbotPlugins,Cert,True,NOUN,4
setupCertbotPlugins,bot,True,PROPN,3
setupCertbotPlugins,Plugins,True,NOUN,7
runLogrotate,run,True,VERB,3
runLogrotate,Log,True,VERB,3
runLogrotate,rotate,True,VERB,6
setupLogrotation,setup,True,NOUN,5
setupLogrotation,Log,True,VERB,3
setupLogrotation,rotation,True,NOUN,8
exports,exports,True,NOUN,7
ApiError,Api,False,PROPN,3
ApiError,Error,True,NOUN,5
fetch,fetch,True,VERB,5
makeExpansionString,make,True,VERB,4
makeExpansionString,Expansion,True,NOUN,9
makeExpansionString,String,True,NOUN,6
getAllObjects,get,True,VERB,3
getAllObjects,All,True,PRON,3
getAllObjects,Objects,True,NOUN,7
onreadystatechange,on,True,ADP,2
onreadystatechange,ready,True,ADJ,5
onreadystatechange,state,True,NOUN,5
onreadystatechange,change,True,VERB,6
FileUpload,File,True,VERB,4
FileUpload,Upload,True,NOUN,6
DownloadFile,Download,True,NOUN,8
DownloadFile,File,True,VERB,4
exports,exports,True,NOUN,7
sortProvidersAlphabetically,sort,True,VERB,4
sortProvidersAlphabetically,Providers,True,NOUN,9
sortProvidersAlphabetically,Alphabetically,True,ADV,14
getStorageTokens,get,True,VERB,3
getStorageTokens,Storage,True,NOUN,7
getStorageTokens,Tokens,True,PROPN,6
setStorageTokens,set,True,VERB,3
setStorageTokens,Storage,True,NOUN,7
setStorageTokens,Tokens,True,PROPN,6
toHtmlEntities,to,True,PART,2
toHtmlEntities,Html,False,NOUN,4
toHtmlEntities,Entities,True,NOUN,8
BackendApi,Backend,False,VERB,7
BackendApi,Api,False,PROPN,3
setToken,set,True,VERB,3
setToken,Token,True,PROPN,5
get,get,True,VERB,3
delete,delete,True,VERB,6
postJson,post,True,NOUN,4
postJson,Json,False,NOUN,4
putJson,put,True,VERB,3
putJson,Json,False,NOUN,4
_putPostJson,put,True,VERB,3
_putPostJson,Post,True,NOUN,4
_putPostJson,Json,False,NOUN,4
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
