Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
onload,2,True,False,True,False,False
check_test,2,True,True,True,False,True
msg,1,True,False,True,True,False
perform,1,True,True,True,True,False
perform_match,2,True,True,True,False,True
runner,1,True,False,True,True,False
get_score,2,True,True,True,False,True
color,1,True,False,True,True,False
onmessage,2,True,False,True,False,False
shuffle,1,True,True,True,True,False
median,1,True,False,True,True,False
u,1,True,False,False,True,False
aa,1,False,False,True,True,False
v,1,True,False,False,True,False
ba,1,True,True,True,True,False
x,1,True,True,False,True,False
C,1,True,False,False,False,False
D,1,True,False,False,False,False
ca,1,True,False,True,True,False
fa,1,True,False,True,True,False
E,1,True,False,False,False,False
F,1,True,False,False,False,False
ha,1,True,False,True,True,False
ia,1,True,False,True,True,False
la,1,True,False,True,True,False
I,1,True,False,False,False,False
ma,1,True,False,True,True,False
na,1,True,False,True,True,False
J,1,True,False,False,False,False
oa,1,False,False,True,True,False
set,1,True,True,True,True,False
get,1,True,True,True,True,False
ra,1,True,False,True,True,False
K,1,True,False,False,False,False
append,1,True,True,True,True,False
add,1,True,True,True,True,False
L,1,True,False,False,False,False
M,1,True,False,False,False,False
search,1,True,False,True,True,False
sa,1,False,False,True,True,False
ta,1,True,False,True,True,False
ua,1,False,False,True,True,False
contain,1,True,True,True,True,False
update,1,True,True,True,True,False
remove,1,True,True,True,True,False
N,1,True,False,False,False,False
export,1,True,False,True,True,False
import,1,True,False,True,True,False
va,1,True,False,True,True,False
onmessage,2,True,False,True,False,False
O,1,True,False,False,False,False
P,1,True,False,False,False,False
xa,1,False,False,True,True,False
Q,1,True,True,False,False,False
S,1,True,False,False,False,False
T,1,True,False,False,False,False
U,1,True,False,False,False,False
V,1,True,False,False,False,False
add,1,True,True,True,True,False
append,1,True,True,True,True,False
update,1,True,True,True,True,False
remove,1,True,True,True,True,False
search,1,True,False,True,True,False
ya,1,True,False,True,True,False
za,1,False,False,True,True,False
contain,1,True,True,True,True,False
get,1,True,True,True,True,False
set,1,True,True,True,True,False
export,1,True,False,True,True,False
import,1,True,False,True,True,False
Aa,1,False,False,True,False,False
Da,1,False,True,True,False,False
Ha,1,True,False,True,False,False
Ka,1,False,False,True,False,False
_f,1,True,False,False,True,False
v,1,True,False,False,True,False
w,1,True,False,False,True,False
y,1,True,False,False,True,False
aa,1,False,False,True,True,False
C,1,True,False,False,False,False
D,1,True,False,False,False,False
E,1,True,False,False,False,False
H,1,True,False,False,False,False
F,1,True,False,False,False,False
I,1,True,False,False,False,False
J,1,True,False,False,False,False
K,1,True,False,False,False,False
fa,1,True,False,True,True,False
M,1,True,False,False,False,False
ha,1,True,False,True,True,False
ja,1,False,False,True,True,False
O,1,True,False,False,False,False
append,1,True,True,True,True,False
add,1,True,True,True,True,False
P,1,True,False,False,False,False
Q,1,True,True,False,False,False
search,1,True,False,True,True,False
la,1,True,False,True,True,False
ma,1,True,False,True,True,False
na,1,True,False,True,True,False
contain,1,True,True,True,True,False
update,1,True,True,True,True,False
remove,1,True,True,True,True,False
R,1,True,True,False,False,False
T,1,True,False,False,False,False
U,1,True,False,False,False,False
oa,1,False,False,True,True,False
V,1,True,False,False,False,False
W,1,True,False,False,False,False
add,1,True,True,True,True,False
append,1,True,True,True,True,False
update,1,True,True,True,True,False
remove,1,True,True,True,True,False
search,1,True,False,True,True,False
pa,1,True,False,True,True,False
qa,1,False,True,True,True,False
contain,1,True,True,True,True,False
get,1,True,True,True,True,False
set,1,True,True,True,True,False
ra,1,True,False,True,True,False
ua,1,False,False,True,True,False
ya,1,True,False,True,True,False
Ba,1,True,True,True,False,False
r,1,True,False,False,True,False
v,1,True,False,False,True,False
w,1,True,False,False,True,False
aa,1,False,False,True,True,False
x,1,True,True,False,True,False
z,1,True,False,False,True,False
D,1,True,False,False,False,False
ba,1,True,True,True,True,False
ea,1,True,False,True,True,False
E,1,True,False,False,False,False
G,1,True,False,False,False,False
F,1,True,False,False,False,False
fa,1,True,False,True,True,False
ja,1,False,False,True,True,False
J,1,True,False,False,False,False
ka,1,False,False,True,True,False
la,1,True,False,True,True,False
K,1,True,False,False,False,False
ma,1,True,False,True,True,False
set,1,True,True,True,True,False
get,1,True,True,True,True,False
del,1,True,True,True,True,False
pa,1,True,False,True,True,False
L,1,True,False,False,False,False
append,1,True,True,True,True,False
add,1,True,True,True,True,False
M,1,True,False,False,False,False
push_index,2,True,True,True,False,True
search,1,True,False,True,True,False
add_result,2,True,True,True,False,True
qa,1,False,True,True,True,False
ra,1,True,False,True,True,False
contain,1,True,True,True,True,False
update,1,True,True,True,True,False
remove,1,True,True,True,True,False
N,1,True,False,False,False,False
export,1,True,False,True,True,False
import,1,True,False,True,True,False
sa,1,False,False,True,True,False
onmessage,2,True,False,True,False,False
O,1,True,False,False,False,False
Q,1,True,True,False,False,False
ua,1,False,False,True,True,False
R,1,True,True,False,False,False
S,1,True,False,False,False,False
T,1,True,False,False,False,False
U,1,True,False,False,False,False
V,1,True,False,False,False,False
add,1,True,True,True,True,False
append,1,True,True,True,True,False
update,1,True,True,True,True,False
remove,1,True,True,True,True,False
search,1,True,False,True,True,False
va,1,True,False,True,True,False
wa,1,False,False,True,True,False
contain,1,True,True,True,True,False
get,1,True,True,True,True,False
set,1,True,True,True,True,False
export,1,True,False,True,True,False
import,1,True,False,True,True,False
xa,1,False,False,True,True,False
Ka,1,False,False,True,False,False
Oa,1,False,False,True,False,False
Xa,1,False,False,True,False,False
aa,1,False,False,True,True,False
ba,1,True,True,True,True,False
y,1,True,False,False,True,False
b,1,True,False,False,True,False
c,1,True,False,False,True,False
toString,2,True,False,True,True,False
ca,1,True,False,True,True,False
da,1,False,True,True,True,False
ea,1,True,False,True,True,False
b,1,True,False,False,True,False
c,1,True,False,False,True,False
d,1,True,False,False,True,False
l,1,True,False,False,True,False
m,1,True,True,False,True,False
D,1,True,False,False,False,False
o,1,True,False,False,True,False
e,1,True,False,False,True,False
o,1,True,False,False,True,False
S,1,True,False,False,False,False
R,1,True,True,False,False,False
D,1,True,False,False,False,False
I,1,True,False,False,False,False
N,1,True,False,False,False,False
T,1,True,False,False,False,False
P,1,True,False,False,False,False
O,1,True,False,False,False,False
U,1,True,False,False,False,False
V,1,True,False,False,False,False
k,1,True,False,False,True,False
then,1,True,False,True,True,False
catch,1,True,True,True,True,False
k,1,True,False,False,True,False
J,1,True,False,False,False,False
reject,1,True,True,True,True,False
race,1,True,False,True,True,False
n,1,True,False,False,True,False
all,1,True,False,True,True,False
C,1,True,False,False,False,False
ha,1,True,False,True,True,False
D,1,True,False,False,False,False
ia,1,True,False,True,True,False
E,1,True,False,False,False,False
F,1,True,False,False,False,False
G,1,True,False,False,False,False
ja,1,False,False,True,True,False
ma,1,True,False,True,True,False
I,1,True,False,False,False,False
J,1,True,False,False,False,False
na,1,True,False,True,True,False
oa,1,False,False,True,True,False
ra,1,True,False,True,True,False
L,1,True,False,False,False,False
sa,1,False,False,True,True,False
ta,1,True,False,True,True,False
M,1,True,False,False,False,False
ua,1,False,False,True,True,False
set,1,True,True,True,True,False
get,1,True,True,True,True,False
wa,1,False,False,True,True,False
N,1,True,False,False,False,False
append,1,True,True,True,True,False
add,1,True,True,True,True,False
O,1,True,False,False,False,False
P,1,True,False,False,False,False
search,1,True,False,True,True,False
xa,1,False,False,True,True,False
ya,1,True,False,True,True,False
za,1,False,False,True,True,False
contain,1,True,True,True,True,False
update,1,True,True,True,True,False
remove,1,True,True,True,True,False
Q,1,True,True,False,False,False
export,1,True,False,True,True,False
import,1,True,False,True,True,False
Aa,1,False,False,True,False,False
onmessage,2,True,False,True,False,False
R,1,True,True,False,False,False
S,1,True,False,False,False,False
Ca,1,True,False,True,False,False
T,1,True,False,False,False,False
U,1,True,False,False,False,False
V,1,True,False,False,False,False
W,1,True,False,False,False,False
X,1,True,False,False,False,False
add,1,True,True,True,True,False
append,1,True,True,True,True,False
update,1,True,True,True,True,False
remove,1,True,True,True,True,False
search,1,True,False,True,True,False
Da,1,False,True,True,False,False
Ea,1,True,False,True,False,False
contain,1,True,True,True,True,False
get,1,True,True,True,True,False
set,1,True,True,True,True,False
export,1,True,False,True,True,False
import,1,True,False,True,True,False
Fa,1,True,False,True,False,False
Ia,1,True,False,True,False,False
Pa,1,True,False,True,False,False
Sa,1,False,False,True,False,False
t,1,True,False,False,True,False
v,1,True,False,False,True,False
y,1,True,False,False,True,False
z,1,True,False,False,True,False
B,1,True,False,False,False,False
C,1,True,False,False,False,False
D,1,True,False,False,False,False
H,1,True,False,False,False,False
I,1,True,False,False,False,False
append,1,True,True,True,True,False
add,1,True,True,True,True,False
J,1,True,False,False,False,False
K,1,True,False,False,False,False
search,1,True,False,True,True,False
L,1,True,False,False,False,False
O,1,True,False,False,False,False
P,1,True,False,False,False,False
contain,1,True,True,True,True,False
update,1,True,True,True,True,False
remove,1,True,True,True,True,False
Q,1,True,True,False,False,False
l,1,True,False,False,True,False
l,1,True,False,False,True,False
k,1,True,False,False,True,False
d,1,True,False,False,True,False
register,1,True,True,True,True,False
CacheClass,2,True,False,True,False,False
searchCache,2,True,False,True,True,False
set,1,True,True,True,True,False
get,1,True,True,True,True,False
del,1,True,True,True,True,False
parse_option,2,True,True,True,False,True
create_object_array,3,True,True,True,False,True
create_arrays,2,True,True,True,False,True
get_keys,2,True,True,True,False,True
create_object,2,True,True,True,False,True
concat,1,False,False,True,True,False
sort_by_length_down,4,True,True,True,False,True
is_array,2,True,True,True,False,True
is_string,2,True,False,True,False,True
is_object,2,True,False,True,False,True
is_function,2,True,False,True,False,True
Document,1,True,False,True,False,False
parse_descriptor,2,True,True,True,False,True
parse_tree,2,True,True,True,False,True
parse_simple,2,True,True,True,False,True
store_value,2,True,True,True,False,True
add_index,2,True,True,True,False,True
add,1,True,True,True,True,False
append,1,True,True,True,True,False
update,1,True,True,True,True,False
remove,1,True,True,True,True,False
search,1,True,False,True,True,False
get_tag,2,True,True,True,False,True
apply_enrich,2,True,True,True,False,True
contain,1,True,True,True,True,False
get,1,True,True,True,True,False
set,1,True,True,True,True,False
Engine,1,True,False,True,False,False
registerCharset,2,False,True,True,True,False
registerLanguage,2,True,True,True,True,False
Index,1,True,False,True,False,False
append,1,True,True,True,True,False
add,1,True,True,True,True,False
get_score,2,True,True,True,False,True
push_index,2,True,True,True,False,True
search,1,True,False,True,True,False
add_result,2,True,True,True,False,True
single_result,2,True,True,True,False,True
get_array,2,True,True,True,False,True
contain,1,True,True,True,True,False
update,1,True,True,True,True,False
remove,1,True,True,True,True,False
remove_index,2,True,True,True,False,True
intersect,1,True,False,True,True,False
intersect_union,2,True,False,True,False,True
encode,1,True,False,True,True,False
encode,1,True,False,True,True,False
encode,1,True,False,True,True,False
encode,1,True,False,True,True,False
encode,1,True,False,True,True,False
encode,1,True,False,True,True,False
encode,1,True,False,True,True,False
encode,1,True,False,True,True,False
pipeline,1,True,False,True,True,False
normalize,1,True,True,True,True,False
init_filter,2,False,True,True,False,True
init_stemmer_or_matcher,4,False,True,True,False,True
replace,1,True,True,True,True,False
regex,1,True,False,True,True,False
collapse,1,True,False,True,True,False
filter,1,True,True,True,True,False
assign,1,True,True,True,True,False
a,1,True,False,False,True,False
then,1,True,False,True,True,False
apply_preset,2,True,True,True,False,True
async,1,False,False,True,True,False
exportIndex,2,True,False,True,True,False
importIndex,2,True,False,True,True,False
exportDocument,2,True,False,True,True,False
importDocument,2,True,False,True,True,False
IndexInterface,2,True,False,True,False,False
DocumentInterface,2,True,False,True,False,False
onmessage,2,True,False,True,False,False
WorkerIndex,2,True,False,True,False,False
register,1,True,True,True,True,False
create,1,True,True,True,True,False
register,1,True,True,True,True,False
CacheClass,2,True,False,True,False,False
searchCache,2,True,False,True,True,False
set,1,True,True,True,True,False
get,1,True,True,True,True,False
del,1,True,True,True,True,False
parse_option,2,True,True,True,False,True
create_object_array,3,True,True,True,False,True
create_arrays,2,True,True,True,False,True
get_keys,2,True,True,True,False,True
create_object,2,True,True,True,False,True
concat,1,False,False,True,True,False
sort_by_length_down,4,True,True,True,False,True
is_array,2,True,True,True,False,True
is_string,2,True,False,True,False,True
is_object,2,True,False,True,False,True
is_function,2,True,False,True,False,True
Document,1,True,False,True,False,False
parse_descriptor,2,True,True,True,False,True
parse_tree,2,True,True,True,False,True
parse_simple,2,True,True,True,False,True
store_value,2,True,True,True,False,True
add_index,2,True,True,True,False,True
add,1,True,True,True,True,False
append,1,True,True,True,True,False
update,1,True,True,True,True,False
remove,1,True,True,True,True,False
search,1,True,False,True,True,False
get_tag,2,True,True,True,False,True
apply_enrich,2,True,True,True,False,True
contain,1,True,True,True,True,False
get,1,True,True,True,True,False
set,1,True,True,True,True,False
Engine,1,True,False,True,False,False
registerCharset,2,False,True,True,True,False
registerLanguage,2,True,True,True,True,False
Index,1,True,False,True,False,False
append,1,True,True,True,True,False
add,1,True,True,True,True,False
get_score,2,True,True,True,False,True
push_index,2,True,True,True,False,True
search,1,True,False,True,True,False
add_result,2,True,True,True,False,True
single_result,2,True,True,True,False,True
get_array,2,True,True,True,False,True
contain,1,True,True,True,True,False
update,1,True,True,True,True,False
remove,1,True,True,True,True,False
remove_index,2,True,True,True,False,True
intersect,1,True,False,True,True,False
intersect_union,2,True,False,True,False,True
encode,1,True,False,True,True,False
encode,1,True,False,True,True,False
encode,1,True,False,True,True,False
encode,1,True,False,True,True,False
encode,1,True,False,True,True,False
encode,1,True,False,True,True,False
encode,1,True,False,True,True,False
encode,1,True,False,True,True,False
pipeline,1,True,False,True,True,False
normalize,1,True,True,True,True,False
init_filter,2,False,True,True,False,True
init_stemmer_or_matcher,4,False,True,True,False,True
replace,1,True,True,True,True,False
regex,1,True,False,True,True,False
collapse,1,True,False,True,True,False
filter,1,True,True,True,True,False
assign,1,True,True,True,True,False
SimplePromise,2,True,True,True,False,False
then,1,True,False,True,True,False
apply_preset,2,True,True,True,False,True
async,1,False,False,True,True,False
exportIndex,2,True,False,True,True,False
importIndex,2,True,False,True,True,False
exportDocument,2,True,False,True,True,False
importDocument,2,True,False,True,True,False
IndexInterface,2,True,False,True,False,False
DocumentInterface,2,True,False,True,False,False
onmessage,2,True,False,True,False,False
WorkerIndex,2,True,False,True,False,False
register,1,True,True,True,True,False
create,1,True,True,True,True,False
next,1,True,False,True,True,False
hashCode,2,True,False,True,True,False
exec,1,True,True,True,True,False
normalizeJestCoverage,3,True,True,True,True,False
test_encoder,2,True,False,True,False,True
