Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
preorderTraversal,2,True,False,True,True,False
flatten,1,True,True,True,True,False
getIndex,2,True,True,True,True,False
canCompleteCircuit,3,True,True,True,True,False
isCommonPrefix,3,True,True,True,True,False
longestCommonPrefix,3,True,True,True,True,False
backtrack,1,True,True,True,True,False
letterCombinations,2,True,False,True,True,False
findKth,2,False,True,True,True,False
findMedianSortedArrays,4,True,True,True,True,False
findDisappearedNumbers,3,True,True,True,True,False
LFUCache,2,False,False,True,False,False
get,1,True,True,True,True,False
evicted,1,True,True,True,True,False
put,1,True,True,True,True,False
spiralOrder,2,True,True,True,True,False
findLHS,2,False,True,True,True,False
mergeTrees,2,True,True,True,True,False
isPalindromic,2,True,False,True,True,False
extendPalindromic,2,True,True,True,True,False
countSubstrings,2,True,True,True,True,False
helper,1,True,False,True,True,False
longestUnivaluePath,3,False,False,True,True,False
dailyTemperatures,2,True,False,True,True,False
nextGreatestLetter,3,True,False,True,True,False
deckRevealedIncreasing,3,True,True,True,True,False
threeDoors,2,True,False,True,True,False
