Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
clean,1,True,True,True,True,False
build,1,True,True,True,True,False
pack,1,True,True,True,True,False
web,1,True,False,True,True,False
greeting,1,True,True,True,True,False
logStats,2,True,True,True,True,False
startRenderer,2,True,True,True,True,False
startMain,2,True,True,True,True,False
startElectron,2,True,True,True,True,False
electronLog,2,True,True,True,True,False
greeting,1,True,True,True,True,False
init,1,False,False,True,True,False
isIgnore,2,True,False,True,True,False
isMinify,2,True,True,True,True,False
unique,1,True,False,True,True,False
getIPAddress,3,False,True,True,True,False
reload,1,True,False,True,True,False
start,1,True,True,True,True,False
stop,1,True,True,True,True,False
isStarting,2,True,True,True,True,False
getServerInfo,3,True,True,True,True,False
create,1,True,True,True,True,False
set,1,True,True,True,True,False
get,1,True,True,True,True,False
clear,1,True,False,True,True,False
exports,1,True,False,True,True,False
put,1,True,True,True,True,False
get,1,True,True,True,True,False
deleteValue,2,True,True,True,True,False
clear,1,True,False,True,True,False
loadFilterData,3,True,False,True,True,False
addWord,2,True,True,True,True,False
isFilter,2,True,False,True,True,False
extractNumber,2,True,True,True,True,False
extractFloat,2,True,True,True,True,False
extractSizeText,3,True,True,True,True,False
createWindow,2,True,True,True,True,False
registerServer,2,True,True,True,True,False
registerServer,2,True,True,True,True,False
getLocalConfig,3,True,True,True,True,False
registerIPC,2,False,True,True,True,False
colorizeStart,2,True,True,True,True,False
colorizeEnd,2,True,False,True,True,False
colorize,1,True,False,True,True,False
console,1,True,False,True,True,False
getStackInfo,3,True,True,True,True,False
put,1,True,True,True,True,False
get,1,True,True,True,True,False
deleteValue,2,True,True,True,True,False
clear,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
success,1,True,False,True,True,False
exports,1,True,False,True,True,False
extractConfigVariable,3,True,True,True,True,False
getConfig,2,True,True,True,True,False
applyConfig,2,True,True,True,True,False
clearCache,2,True,False,True,True,False
makeupSearchOption,3,True,False,True,True,False
getRuleById,4,False,True,True,True,False
requestDocument,2,True,False,True,True,False
obtainDetailResult,3,True,True,True,True,False
obtainSearchResult,3,True,True,True,True,False
asyncCacheSearchResult,4,False,True,True,True,False
parseItemsDocument,3,True,True,True,True,False
parseDetailDocument,3,True,True,True,True,False
loadRuleByURL,4,False,True,True,True,False
getRule,2,True,True,True,True,False
startServer,2,True,True,True,True,False
$resethttp,2,False,True,True,False,False
create,1,True,True,True,True,False
highlightWord,2,True,True,True,True,False
highlight,1,True,True,True,True,False
save,1,True,True,True,True,False
get,1,True,True,True,True,False
push,1,True,True,True,True,False
push,1,True,True,True,True,False
