Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
handleRequest,handle,True,VERB,6
handleRequest,Request,True,NOUN,7
importReplacer,import,True,NOUN,6
importReplacer,Replacer,True,PROPN,8
converter,converter,True,NOUN,9
providerReplacer,provider,True,VERB,8
providerReplacer,Replacer,True,PROPN,8
bodyify,bodyify,False,VERB,7
toBuffer,to,True,PART,2
toBuffer,Buffer,True,PROPN,6
toHex,to,True,PART,2
toHex,Hex,True,NOUN,3
toBase64,to,True,PART,2
toBase64,Base64,False,VERB,6
remoteMatch,remote,True,VERB,6
remoteMatch,Match,True,VERB,5
waitTimeout,wait,True,VERB,4
waitTimeout,Timeout,True,NOUN,7
searchFunction,search,True,NOUN,6
searchFunction,Function,True,NOUN,8
keyOne,key,True,ADJ,3
keyOne,One,True,NUM,3
keyTwo,key,True,ADJ,3
keyTwo,Two,True,NUM,3
keyThree,key,True,ADJ,3
keyThree,Three,True,NUM,5
onload,on,True,ADP,2
onload,load,True,NOUN,4
keyAjax,key,True,ADJ,3
keyAjax,Ajax,True,ADJ,4
onreadystatechange,on,True,ADP,2
onreadystatechange,ready,True,ADJ,5
onreadystatechange,state,True,NOUN,5
onreadystatechange,change,True,VERB,6
onerror,on,True,ADP,2
onerror,error,True,NOUN,5
collector,collector,True,NOUN,9
done,done,True,VERB,4
exports,exports,True,NOUN,7
pad,pad,True,NOUN,3
usage,usage,True,NOUN,5
slice,slice,True,VERB,5
publish,publish,True,VERB,7
help,help,True,VERB,4
version,version,True,NOUN,7
error,error,True,NOUN,5
decrypt,decrypt,True,ADV,7
encrypt,encrypt,True,VERB,7
derive,derive,True,VERB,6
before,before,True,ADP,6
patch,patch,True,VERB,5
inject,inject,True,VERB,6
after,after,True,ADP,5
before,before,True,ADP,6
before,before,True,ADP,6
pretendPlay,pretend,True,VERB,7
pretendPlay,Play,True,VERB,4
tryCollect,try,True,VERB,3
tryCollect,Collect,True,VERB,7
tryLike,try,True,VERB,3
tryLike,Like,True,ADP,4
computeHash,compute,True,VERB,7
computeHash,Hash,True,VERB,4
newer,newer,True,ADJ,5
inject,inject,True,VERB,6
tryMatch,try,True,VERB,3
tryMatch,Match,True,VERB,5
range,range,True,NOUN,5
power,power,True,NOUN,5
LongArray,Long,True,ADV,4
LongArray,Array,True,VERB,5
bitTransform,bit,True,NOUN,3
bitTransform,Transform,True,VERB,9
DES64,DES64,False,PROPN,5
subKeys,sub,True,VERB,3
subKeys,Keys,True,NOUN,4
crypt,crypt,True,X,5
encrypt,encrypt,True,VERB,7
decrypt,decrypt,True,ADV,7
encryptQuery,encrypt,True,VERB,7
encryptQuery,Query,True,NOUN,5
format,format,True,NOUN,6
search,search,True,NOUN,6
track,track,True,VERB,5
check,check,True,VERB,5
filter,filter,True,VERB,6
length,length,True,NOUN,6
limit,limit,True,VERB,5
find,find,True,VERB,4
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
fit,fit,True,ADJ,3
format,format,True,NOUN,6
search,search,True,NOUN,6
track,track,True,VERB,5
check,check,True,VERB,5
format,format,True,NOUN,6
search,search,True,NOUN,6
track,track,True,VERB,5
check,check,True,VERB,5
format,format,True,NOUN,6
search,search,True,NOUN,6
track,track,True,VERB,5
check,check,True,VERB,5
match,match,True,VERB,5
check,check,True,VERB,5
decode,decode,True,PROPN,6
format,format,True,NOUN,6
search,search,True,NOUN,6
single,single,True,ADJ,6
track,track,True,VERB,5
check,check,True,VERB,5
search,search,True,NOUN,6
track,track,True,VERB,5
check,check,True,VERB,5
playable,playable,True,ADJ,8
format,format,True,NOUN,6
search,search,True,NOUN,6
concatenate,concatenate,True,VERB,11
single,single,True,ADJ,6
track,track,True,VERB,5
check,check,True,VERB,5
exports,exports,True,NOUN,7
format,format,True,NOUN,6
caesar,caesar,False,PROPN,6
token,token,True,VERB,5
search,search,True,NOUN,6
track,track,True,VERB,5
check,check,True,VERB,5
parse,parse,True,VERB,5
signature,signature,True,NOUN,9
apiSearch,api,False,VERB,3
apiSearch,Search,True,NOUN,6
search,search,True,NOUN,6
track,track,True,VERB,5
check,check,True,VERB,5
translate,translate,True,VERB,9
create,create,True,VERB,6
configure,configure,True,NOUN,9
request,request,True,NOUN,7
read,read,True,VERB,4
json,json,False,NOUN,4
jsonp,jsonp,False,PROPN,5
match,match,True,VERB,5
nan,nan,False,PROPN,3
exports,exports,True,NOUN,7
