Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
setDefaultOptions,set,True,VERB,3
setDefaultOptions,Default,True,NOUN,7
setDefaultOptions,Options,True,NOUN,7
updateBadge,update,True,VERB,6
updateBadge,Badge,True,VERB,5
getBadgeText,get,True,VERB,3
getBadgeText,Badge,True,VERB,5
getBadgeText,Text,True,NOUN,4
initGA,init,True,PROPN,4
initGA,GA,True,NOUN,2
isSiteEnabled,is,True,AUX,2
isSiteEnabled,Site,True,NOUN,4
isSiteEnabled,Enabled,True,VERB,7
matchUrlDomain,match,True,VERB,5
matchUrlDomain,Url,False,NOUN,3
matchUrlDomain,Domain,True,NOUN,6
matchDomain,match,True,VERB,5
matchDomain,Domain,True,NOUN,6
urlHost,url,False,NOUN,3
urlHost,Host,True,NOUN,4
main,main,True,ADJ,4
matchDomain,match,True,VERB,5
matchDomain,Domain,True,NOUN,6
waitDOMElement,wait,True,VERB,4
waitDOMElement,DOM,True,NOUN,3
waitDOMElement,Element,True,NOUN,7
removeDOMElement,remove,True,VERB,6
removeDOMElement,DOM,True,NOUN,3
removeDOMElement,Element,True,NOUN,7
removeClassesByPrefix,remove,True,VERB,6
removeClassesByPrefix,Classes,True,NOUN,7
removeClassesByPrefix,By,True,ADP,2
removeClassesByPrefix,Prefix,True,VERB,6
blockElement,block,True,VERB,5
blockElement,Element,True,NOUN,7
ampUnhideSubscriptionsSection,amp,True,PROPN,3
ampUnhideSubscriptionsSection,Unhide,False,ADV,6
ampUnhideSubscriptionsSection,Subscriptions,True,NOUN,13
ampUnhideSubscriptionsSection,Section,True,NOUN,7
selectPane,select,True,ADJ,6
selectPane,Pane,True,NOUN,4
saveOptions,save,True,VERB,4
saveOptions,Options,True,NOUN,7
renderOptions,render,True,VERB,6
renderOptions,Options,True,NOUN,7
selectAll,select,True,ADJ,6
selectAll,All,True,PRON,3
init,init,True,PROPN,4
