Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
external,1,True,False,True,True,False
getClientEnvironment,3,True,True,True,True,False
resolveApp,2,True,True,True,True,False
ensureSlash,2,True,True,True,True,False
getPublicUrl,3,False,True,True,True,False
getServedPath,3,True,True,True,True,False
getNextIdent,3,False,True,True,True,False
getLocalIdent,3,False,True,True,True,False
getLocalIdent,3,False,True,True,True,False
getStyleLoaders,3,True,True,True,True,False
getStyleLoaders,3,True,True,True,True,False
exports,1,True,False,True,True,False
Cell,1,True,False,True,False,False
Example,1,True,False,True,False,False
Column,1,True,False,True,False,False
Example,1,True,False,True,False,False
Row,1,True,False,True,False,False
Example,1,True,False,True,False,False
Row,1,True,False,True,False,False
Example,1,True,False,True,False,False
Cell,1,True,False,True,False,False
Example,1,True,False,True,False,False
getItemSize,3,True,True,True,True,False
Column,1,True,False,True,False,False
Example,1,True,False,True,False,False
getItemSize,3,True,True,True,True,False
Row,1,True,False,True,False,False
Example,1,True,False,True,False,False
build,1,True,True,True,True,False
copyPublicFolder,3,True,False,True,True,False
toRelRootDir,4,False,True,True,True,False
exports,1,True,False,True,True,False
getSemverRegex,4,False,True,True,False,False
verifyPackageTree,3,True,True,True,True,False
App,1,True,False,True,False,False
Cell,1,True,False,True,False,False
Example,1,True,False,True,False,False
itemKey,2,True,False,True,True,False
onItemsRendered,3,True,True,True,True,False
onScroll,2,True,False,True,True,False
Cell,1,True,False,True,False,False
Example,1,True,False,True,False,False
Column,1,True,False,True,False,False
Example,1,True,False,True,False,False
Column,1,True,False,True,False,False
Example,1,True,False,True,False,False
itemKey,2,True,False,True,True,False
onItemsRendered,3,True,True,True,True,False
onScroll,2,True,False,True,True,False
Row,1,True,False,True,False,False
Example,1,True,False,True,False,False
Example,1,True,False,True,False,False
Row,1,True,False,True,False,False
Example,1,True,False,True,False,False
Cell,1,True,False,True,False,False
Example,1,True,False,True,False,False
columnWidth,2,True,False,True,True,False
rowHeight,2,True,True,True,True,False
getItemSize,3,True,True,True,True,False
Column,1,True,False,True,False,False
Example,1,True,False,True,False,False
itemSize,2,True,False,True,True,False
getItemSize,3,True,True,True,True,False
Row,1,True,False,True,False,False
Example,1,True,False,True,False,False
CodeBlock,2,True,True,True,False,False
CodeSandboxLink,3,True,False,True,False,False
MobileGitHubButton,4,False,True,True,False,False
MobileNavButton,3,True,False,True,False,False
SubMenu,2,True,False,True,False,False
scrollGridTo500,4,True,False,True,False,False
scrollGridTo1500,4,True,False,True,False,False
scrollGridToItem8Auto,6,False,False,False,False,False
scrollGridToItem12Center,6,True,False,True,False,False
scrollListTo500,4,True,False,True,False,False
scrollListTo1500,4,True,False,True,False,False
scrollListToItem8Auto,6,False,False,False,False,False
scrollListToItem12Center,6,True,False,True,False,False
escapeStyle,2,True,True,True,True,False
escapeText,2,True,True,True,True,False
appendToLine,3,True,True,True,True,False
loader,1,True,True,True,True,False
loader,1,True,True,True,True,False
