Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
$withBase,with,True,ADP,4
$withBase,Base,True,NOUN,4
createApp,create,True,VERB,6
createApp,App,True,PROPN,3
dataMixin,data,True,NOUN,4
dataMixin,Mixin,False,PROPN,5
prepare,prepare,True,VERB,7
handleRedirectForCleanUrls,handle,True,VERB,6
handleRedirectForCleanUrls,Redirect,True,VERB,8
handleRedirectForCleanUrls,For,True,ADP,3
handleRedirectForCleanUrls,Clean,True,ADJ,5
handleRedirectForCleanUrls,Urls,False,NOUN,4
isRouteExists,is,True,AUX,2
isRouteExists,Route,True,NOUN,5
isRouteExists,Exists,True,NOUN,6
removeCanonicalLink,remove,True,VERB,6
removeCanonicalLink,Canonical,True,ADJ,9
removeCanonicalLink,Link,True,NOUN,4
renderCanonicalLink,render,True,VERB,6
renderCanonicalLink,Canonical,True,ADJ,9
renderCanonicalLink,Link,True,NOUN,4
updateMetaTags,update,True,VERB,6
updateMetaTags,Meta,True,VERB,4
updateMetaTags,Tags,True,NOUN,4
metaIdentifier,meta,True,ADJ,4
metaIdentifier,Identifier,True,NOUN,10
renderPageMeta,render,True,VERB,6
renderPageMeta,Page,True,NOUN,4
renderPageMeta,Meta,True,VERB,4
cachedFn,cached,True,VERB,6
cachedFn,Fn,False,PROPN,2
cached,cached,True,VERB,6
getComponent,get,True,VERB,3
getComponent,Component,True,NOUN,9
asyncComponentsGetter,async,False,NOUN,5
asyncComponentsGetter,Components,True,NOUN,10
asyncComponentsGetter,Getter,True,NOUN,6
pageComponentsGetter,page,True,NOUN,4
pageComponentsGetter,Components,True,NOUN,10
pageComponentsGetter,Getter,True,NOUN,6
layoutComponentsGetter,layout,True,PROPN,6
layoutComponentsGetter,Components,True,NOUN,10
layoutComponentsGetter,Getter,True,NOUN,6
globalComponentsGetter,global,True,ADJ,6
globalComponentsGetter,Components,True,NOUN,10
globalComponentsGetter,Getter,True,NOUN,6
getPageAsyncComponent,get,True,VERB,3
getPageAsyncComponent,Page,True,NOUN,4
getPageAsyncComponent,Async,False,PROPN,5
getPageAsyncComponent,Component,True,NOUN,9
getLayoutAsyncComponent,get,True,VERB,3
getLayoutAsyncComponent,Layout,True,NOUN,6
getLayoutAsyncComponent,Async,False,PROPN,5
getLayoutAsyncComponent,Component,True,NOUN,9
getAsyncComponent,get,True,VERB,3
getAsyncComponent,Async,False,PROPN,5
getAsyncComponent,Component,True,NOUN,9
getVueComponent,get,True,VERB,3
getVueComponent,Vue,False,NOUN,3
getVueComponent,Component,True,NOUN,9
ensureAsyncComponentsLoaded,ensure,True,VERB,6
ensureAsyncComponentsLoaded,Async,False,PROPN,5
ensureAsyncComponentsLoaded,Components,True,NOUN,10
ensureAsyncComponentsLoaded,Loaded,True,VERB,6
arrayInject,array,True,VERB,5
arrayInject,Inject,True,VERB,6
objectInject,object,True,NOUN,6
objectInject,Inject,True,VERB,6
injectComponentOption,inject,True,VERB,6
injectComponentOption,Component,True,NOUN,9
injectComponentOption,Option,True,NOUN,6
findPageForPath,find,True,VERB,4
findPageForPath,Page,True,NOUN,4
findPageForPath,For,True,ADP,3
findPageForPath,Path,True,NOUN,4
findPageByKey,find,True,VERB,4
findPageByKey,Page,True,NOUN,4
findPageByKey,By,True,ADP,2
findPageByKey,Key,True,ADJ,3
normalizeConfig,normalize,True,VERB,9
normalizeConfig,Config,False,PROPN,6
setGlobalInfo,set,True,VERB,3
setGlobalInfo,Global,True,ADJ,6
setGlobalInfo,Info,True,NOUN,4
exports,exports,True,NOUN,7
createApp,create,True,VERB,6
createApp,App,True,PROPN,3
dev,dev,False,NOUN,3
build,build,True,VERB,5
compile,compile,True,NOUN,7
renderHeadTag,render,True,VERB,6
renderHeadTag,Head,True,VERB,4
renderHeadTag,Tag,True,VERB,3
renderAttrs,render,True,VERB,6
renderAttrs,Attrs,False,PROPN,5
workaroundEmptyStyleChunk,workaround,True,NOUN,10
workaroundEmptyStyleChunk,Empty,True,ADJ,5
workaroundEmptyStyleChunk,Style,True,NOUN,5
workaroundEmptyStyleChunk,Chunk,True,PROPN,5
getCacheLoaderOptions,get,True,VERB,3
getCacheLoaderOptions,Cache,True,PROPN,5
getCacheLoaderOptions,Loader,True,PROPN,6
getCacheLoaderOptions,Options,True,NOUN,7
findPageForPath,find,True,VERB,4
findPageForPath,Page,True,NOUN,4
findPageForPath,For,True,ADP,3
findPageForPath,Path,True,NOUN,4
exports,exports,True,NOUN,7
getMetaDescription,get,True,VERB,3
getMetaDescription,Meta,True,VERB,4
getMetaDescription,Description,True,NOUN,11
beforeInstantiate,before,True,ADP,6
beforeInstantiate,Instantiate,True,VERB,11
afterInstantiate,after,True,ADP,5
afterInstantiate,Instantiate,True,VERB,11
exports,exports,True,NOUN,7
writeTemp,write,True,VERB,5
writeTemp,Temp,True,NOUN,4
createTemp,create,True,VERB,6
createTemp,Temp,True,NOUN,4
createTemp,create,True,VERB,6
createTemp,Temp,True,NOUN,4
resolveHost,resolve,True,VERB,7
resolveHost,Host,True,NOUN,4
resolvePort,resolve,True,VERB,7
resolvePort,Port,True,NOUN,4
normalizeWatchFilePath,normalize,True,VERB,9
normalizeWatchFilePath,Watch,True,VERB,5
normalizeWatchFilePath,File,True,VERB,4
normalizeWatchFilePath,Path,True,NOUN,4
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
