Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
saveImage,2,True,True,True,True,False
run,1,True,True,True,True,False
systeminfo,2,True,False,True,False,False
loadParams,2,False,False,True,True,False
transport,1,True,False,True,True,False
transport,1,True,False,True,True,False
contentType,2,True,False,True,True,False
launch,1,True,False,True,True,False
enterTestMode,3,True,True,True,True,False
wrapPrefix,2,True,True,True,True,False
hue2rgb,3,False,False,False,False,False
toRgbValue,3,False,False,True,True,False
toHexValue,3,True,False,True,True,False
toShortHexValue,4,True,False,True,True,False
fileInfo,2,True,True,True,True,False
install,1,True,True,True,True,False
install,1,True,True,True,True,False
preventDefaultShortcuts,3,True,True,True,True,False
install,1,True,True,True,True,False
install,1,True,True,True,True,False
darwin,1,True,False,True,True,False
linux,1,True,False,True,True,False
win32,1,True,False,True,True,False
sort,1,True,True,True,True,False
canAccess,2,True,False,True,True,False
uniq,1,False,False,True,True,False
findChromeExecutables,3,True,True,True,True,False
downloadChromium,2,True,False,True,True,False
findChrome,2,True,True,True,True,False
transport,1,True,False,True,True,False
spawn,1,True,False,True,True,False
transport,1,True,False,True,True,False
init,1,False,False,True,True,False
transport1,2,True,False,False,False,False
transport2,2,True,False,False,False,False
createChildWorld,3,True,True,True,True,False
staticHandler,2,True,False,True,True,False
addTests,2,True,True,True,True,False
addTests,2,True,True,True,True,False
