Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
Acknowledgements,Acknowledgements,True,NOUN,16
Navigation,Navigation,True,NOUN,10
getFrequencyClass,get,True,VERB,3
getFrequencyClass,Frequency,True,NOUN,9
getFrequencyClass,Class,True,NOUN,5
PatternFrequencies,Pattern,True,NOUN,7
PatternFrequencies,Frequencies,True,NOUN,11
CreateDropDownListHelper,Create,True,VERB,6
CreateDropDownListHelper,Drop,True,VERB,4
CreateDropDownListHelper,Down,True,ADV,4
CreateDropDownListHelper,List,True,NOUN,4
CreateDropDownListHelper,Helper,True,NOUN,6
DefaultColumnFilter,Default,True,NOUN,7
DefaultColumnFilter,Column,True,NOUN,6
DefaultColumnFilter,Filter,True,PROPN,6
SelectDifficultyColumnFilter,Select,True,PROPN,6
SelectDifficultyColumnFilter,Difficulty,True,NOUN,10
SelectDifficultyColumnFilter,Column,True,NOUN,6
SelectDifficultyColumnFilter,Filter,True,PROPN,6
SelectColumnFilter,Select,True,PROPN,6
SelectColumnFilter,Column,True,NOUN,6
SelectColumnFilter,Filter,True,PROPN,6
filter,filter,True,VERB,6
SelectCheckedColumnFilter,Select,True,PROPN,6
SelectCheckedColumnFilter,Checked,True,VERB,7
SelectCheckedColumnFilter,Column,True,NOUN,6
SelectCheckedColumnFilter,Filter,True,PROPN,6
toggle,toggle,True,NOUN,6
Tabs,Tabs,True,NOUN,4
Tips,Tips,True,NOUN,4
