Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
main,main,True,ADJ,4
minifyJS,minify,True,VERB,6
minifyJS,JS,False,PROPN,2
innerCallback,inner,True,ADJ,5
innerCallback,Callback,True,NOUN,8
getPreferences,get,True,VERB,3
getPreferences,Preferences,True,NOUN,11
isHostedMode,is,True,AUX,2
isHostedMode,Hosted,True,VERB,6
isHostedMode,Mode,True,NOUN,4
copyText,copy,True,NOUN,4
copyText,Text,True,NOUN,4
openInNewTab,open,True,VERB,4
openInNewTab,In,True,ADP,2
openInNewTab,New,True,ADJ,3
openInNewTab,Tab,True,VERB,3
bringToFront,bring,True,VERB,5
bringToFront,To,True,PART,2
bringToFront,Front,True,NOUN,5
loadNetworkResource,load,True,NOUN,4
loadNetworkResource,Network,True,NOUN,7
loadNetworkResource,Resource,True,NOUN,8
onselect,on,True,ADP,2
onselect,select,True,ADJ,6
removeSourceContentIfMatch,remove,True,VERB,6
removeSourceContentIfMatch,Source,True,NOUN,6
removeSourceContentIfMatch,Content,True,NOUN,7
removeSourceContentIfMatch,If,True,SCONJ,2
removeSourceContentIfMatch,Match,True,VERB,5
readLines,read,True,VERB,4
readLines,Lines,True,NOUN,5
pathToFileURL,path,True,NOUN,4
pathToFileURL,To,True,PART,2
pathToFileURL,File,True,VERB,4
pathToFileURL,URL,True,NOUN,3
fileURLToPath,file,True,VERB,4
fileURLToPath,URL,True,NOUN,3
fileURLToPath,To,True,PART,2
fileURLToPath,Path,True,NOUN,4
silentRpcErrors,silent,True,ADJ,6
silentRpcErrors,Rpc,False,NOUN,3
silentRpcErrors,Errors,True,NOUN,6
prepareProcess,prepare,True,VERB,7
prepareProcess,Process,True,NOUN,7
finished,finished,True,VERB,8
addTests,add,True,VERB,3
addTests,Tests,True,NOUN,5
sleep,sleep,True,NOUN,5
waitForConfigurations,wait,True,VERB,4
waitForConfigurations,For,True,ADP,3
waitForConfigurations,Configurations,True,NOUN,14
showScriptSource,show,True,VERB,4
showScriptSource,Script,True,NOUN,6
showScriptSource,Source,True,NOUN,6
setBreakpoint,set,True,VERB,3
setBreakpoint,Breakpoint,False,PROPN,10
runConfiguration,run,True,VERB,3
runConfiguration,Configuration,True,NOUN,13
waitUntilPaused,wait,True,VERB,4
waitUntilPaused,Until,True,ADP,5
waitUntilPaused,Paused,True,VERB,6
resumeExecution,resume,True,VERB,6
resumeExecution,Execution,True,NOUN,9
setSetting,set,True,VERB,3
setSetting,Setting,True,VERB,7
waitForConsoleMessage,wait,True,VERB,4
waitForConsoleMessage,For,True,ADP,3
waitForConsoleMessage,Console,True,NOUN,7
waitForConsoleMessage,Message,True,NOUN,7
nodeProcess,node,True,PROPN,4
nodeProcess,Process,True,NOUN,7
killProcess,kill,True,VERB,4
killProcess,Process,True,NOUN,7
waitTargetDestroyed,wait,True,VERB,4
waitTargetDestroyed,Target,True,VERB,6
waitTargetDestroyed,Destroyed,True,VERB,9
setupHelpers,setup,True,NOUN,5
setupHelpers,Helpers,True,NOUN,7
addTests,add,True,VERB,3
addTests,Tests,True,NOUN,5
applyMatcher,apply,True,VERB,5
applyMatcher,Matcher,True,VERB,7
stabilize,stabilize,True,VERB,9
stringify,stringify,False,VERB,9
formatLocation,format,True,NOUN,6
formatLocation,Location,True,NOUN,8
createTermination,create,True,VERB,6
createTermination,Termination,True,NOUN,11
assert,assert,True,PROPN,6
main,main,True,ADJ,4
