Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
onLock,2,True,True,True,True,False
resizeHandler,2,True,True,True,True,False
TopBarContent,3,True,True,True,False,False
TabBarContext,3,True,True,True,False,False
ButtonSVG,2,False,False,True,False,False
ButtonText,2,True,False,True,False,False
ConfigSlider,2,True,False,True,False,False
ConfigSelection,2,True,False,True,False,False
ConfigInput,2,True,False,True,False,False
OptionList,2,True,False,True,False,False
openConfig,2,True,True,True,True,False
stackServiceElements,3,True,False,True,True,False
posCallback,2,False,False,True,True,False
removeCallback,2,True,True,True,True,False
onkeydown,3,True,False,True,False,False
openConfig,2,True,True,True,True,False
onclick,2,True,True,True,False,False
createSlider,2,True,True,True,True,False
onclick,2,True,True,True,False,False
onclick,2,True,True,True,False,False
onclick,2,True,True,True,False,False
createServiceOption,3,True,True,True,True,False
resizeHandler,2,True,True,True,True,False
TopBarContent,3,True,True,True,False,False
TabBarContext,3,True,True,True,False,False
ChristianSpotify,2,False,True,True,False,False
SkipVideo,2,True,False,True,False,False
focusOnApp,3,True,True,True,True,False
createScrollCallback,3,True,True,True,True,False
scrollToPosition,3,True,False,True,True,False
findActiveIndex,3,True,True,True,True,False
rotateSidebar,2,True,True,True,True,False
KeyboardShortcut,2,True,True,True,False,False
stopCallback,2,True,True,True,True,False
activate,1,True,True,True,True,False
stopCallback,2,True,True,True,True,False
deactivate,1,True,True,True,True,False
getLinks,2,True,True,True,True,False
getVims,2,False,True,True,True,False
listenToKeys,3,True,True,True,True,False
click,1,True,True,True,True,False
createKey,2,True,True,True,True,False
setCancelKey,3,True,True,True,True,False
VimBind,2,True,True,True,False,False
drawOnBar,3,True,True,True,True,False
reset,1,True,True,True,True,False
onclick,2,True,True,True,False,False
onclick,2,True,True,True,False,False
oncontextmenu,3,True,False,True,False,False
LoopyLoop,2,True,False,True,False,False
