Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
exports,1,True,False,True,True,False
checkConsole,2,True,True,True,True,False
checkConsole,2,True,True,True,True,False
checkConsole,2,True,True,True,True,False
exports,1,True,False,True,True,False
changeDemo,2,True,True,True,True,False
DemoLink,2,True,False,True,False,False
App,1,True,False,True,False,False
stepLogger,2,True,False,True,True,False
createStepLogger,3,True,True,True,True,False
ComponentWithContextHook,4,True,True,True,False,False
ComponentWithContextHookInsideMemoizedParent,7,False,True,True,False,False
Main,1,True,False,True,False,False
onClick,2,True,True,True,True,False
Comp,1,True,False,True,False,False
Main,1,True,False,True,False,False
reducer,1,True,False,True,True,False
Main,1,True,False,True,False,False
DemoComponent,2,True,False,True,False,False
Menu,1,True,False,True,False,False
ClassDemo,2,True,False,True,False,False
Main,1,True,False,True,False,False
ConnectedSimpleComponent,3,True,True,True,False,False
Main,1,True,False,True,False,False
rootReducer,2,True,False,True,True,False
SimpleComponent,2,True,False,True,False,False
Main,1,True,False,True,False,False
SimpleComponent,2,True,False,True,False,False
Main,1,True,False,True,False,False
jsxDEV,2,False,True,True,True,False
jsxDEV,2,False,True,True,True,False
shouldLog,2,True,True,True,True,False
diffFn,2,False,False,True,True,False
logDifference,2,True,True,True,True,False
defaultNotifier,2,True,False,True,True,False
createDefaultNotifier,3,True,True,True,True,False
getDefaultProps,3,True,True,True,True,False
getDisplayName,3,True,True,True,True,False
getOwnerDifferences,3,True,True,True,True,False
getUpdateReason,3,True,True,True,True,False
getUpdateInfo,3,True,True,True,True,False
render,1,True,True,True,True,False
patchClassComponent,3,True,True,True,True,False
patchForwardRefComponent,4,True,True,True,True,False
getFunctionalComponentFromStringComponent,6,True,True,True,True,False
WDYRFunctionalComponent,3,False,False,True,False,False
patchFunctionalOrStrComponent,5,False,True,True,True,False
patchMemoComponent,3,True,True,True,True,False
printDiff,2,True,False,True,True,False
shouldInclude,2,True,True,True,True,False
shouldExclude,2,True,True,True,True,False
shouldTrack,2,True,True,True,True,False
checkIfInsideAStrictModeTree,6,False,True,True,True,False
isReactClassComponent,4,True,True,True,True,False
isMemoComponent,3,True,False,True,True,False
isForwardRefComponent,4,True,True,True,True,False
trackHookChanges,3,True,True,True,True,False
createPatchedComponent,3,True,True,True,True,False
getPatchedComponent,3,True,True,True,True,False
getIsSupportedComponentType,5,True,True,True,True,False
storeOwnerData,3,True,True,True,True,False
resetHooksPerRenderIfNeeded,6,True,True,True,True,False
newHook,2,True,True,True,True,False
trackHooksIfNeeded,4,True,True,True,True,False
getWDYRType,3,False,True,True,True,False
createElement,2,True,True,True,True,False
createFactory,2,True,True,True,True,False
cloneElement,2,True,True,True,True,False
__REVERT_WHY_DID_YOU_RENDER__,5,True,True,True,False,False
whyDidYouRender,4,True,True,True,True,False
MyFunctionalComponent,3,True,False,True,False,False
something,1,True,False,True,True,False
something,1,True,False,True,True,False
something,1,True,False,True,True,False
something,1,True,False,True,True,False
something,1,True,False,True,True,False
something,1,True,False,True,True,False
something,1,True,False,True,True,False
something,1,True,False,True,True,False
InlineComponent,2,True,False,True,False,False
InlineComponent,2,True,False,True,False,False
someFn,2,False,False,True,True,False
Child,1,True,False,True,False,False
fnRegular,2,False,False,True,True,False
ComponentWithMemoHook,4,True,True,True,False,False
Child,1,True,False,True,False,False
fnRegular,2,False,False,True,True,False
ComponentWithMemoHook,4,True,True,True,False,False
Child,1,True,False,True,False,False
fnRegular,2,False,False,True,True,False
ComponentWithMemoHook,4,True,True,True,False,False
ComponentWithHooks,3,True,False,True,False,False
ComponentWithHooks,3,True,False,True,False,False
ComponentWithHooks,3,True,False,True,False,False
ComponentWithHooks,3,True,False,True,False,False
ComponentWithHooks,3,True,False,True,False,False
ComponentWithHooks,3,True,False,True,False,False
ComponentWithHooks,3,True,False,True,False,False
ComponentWithContextHook,4,True,True,True,False,False
OuterComponent,2,True,False,True,False,False
OuterComponent,2,True,False,True,False,False
ComponentWithContextHook,4,True,True,True,False,False
OuterComponent,2,True,False,True,False,False
reducer,1,True,False,True,True,False
ComponentWithHooks,3,True,False,True,False,False
reducer,1,True,False,True,True,False
ComponentWithHooks,3,True,False,True,False,False
reducer,1,True,False,True,True,False
ComponentWithHooks,3,True,False,True,False,False
ComponentWithHooks,3,True,False,True,False,False
ComponentWithHooks,3,True,False,True,False,False
ComponentWithHooks,3,True,False,True,False,False
ComponentWithHooks,3,True,False,True,False,False
ComponentWithHooks,3,True,False,True,False,False
ComponentWithHooks,3,True,False,True,False,False
ComponentWithHooks,3,True,False,True,False,False
ComponentWithHooks,3,True,False,True,False,False
ComponentWithHooks,3,True,False,True,False,False
rootReducer,2,True,False,True,True,False
SimpleComponent,2,True,False,True,False,False
Main,1,True,False,True,False,False
SimpleComponent,2,True,False,True,False,False
Main,1,True,False,True,False,False
SimpleComponent,2,True,False,True,False,False
Main,1,True,False,True,False,False
rootReducer,2,True,False,True,True,False
ConnectedSimpleComponent,3,True,True,True,False,False
Main,1,True,False,True,False,False
ConnectedSimpleComponent,3,True,True,True,False,False
Main,1,True,False,True,False,False
ConnectedSimpleComponent,3,True,True,True,False,False
Main,1,True,False,True,False,False
Comp,1,True,False,True,False,False
rootReducer,2,True,False,True,True,False
InnerFn,2,False,False,True,False,False
Comp,1,True,False,True,False,False
InnerComp,2,True,False,True,False,False
