Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
toggleMenuChange,toggle,True,NOUN,6
toggleMenuChange,Menu,True,PROPN,4
toggleMenuChange,Change,True,VERB,6
onclick,on,True,ADP,2
onclick,click,True,VERB,5
onclick,on,True,ADP,2
onclick,click,True,VERB,5
automaticScroll,automatic,True,ADJ,9
automaticScroll,Scroll,True,PROPN,6
capitalize,capitalize,True,VERB,10
handle,handle,True,VERB,6
sortByApplication,sort,True,VERB,4
sortByApplication,By,True,ADP,2
sortByApplication,Application,True,NOUN,11
onmouseover,onmouse,False,NOUN,7
onmouseover,over,True,ADP,4
onmouseout,onmouse,False,NOUN,7
onmouseout,out,True,ADV,3
sEl,s,True,NOUN,1
sEl,El,True,NOUN,2
onclick,on,True,ADP,2
onclick,click,True,VERB,5
showBannerTop,show,True,VERB,4
showBannerTop,Banner,True,PROPN,6
showBannerTop,Top,True,ADJ,3
addAllPromoBanners,add,True,VERB,3
addAllPromoBanners,All,True,PRON,3
addAllPromoBanners,Promo,True,VERB,5
addAllPromoBanners,Banners,True,NOUN,7
createHsvFontColor,create,True,VERB,6
createHsvFontColor,Hsv,False,VERB,3
createHsvFontColor,Font,True,PROPN,4
createHsvFontColor,Color,True,NOUN,5
addBackgroundColorToLogo,add,True,VERB,3
addBackgroundColorToLogo,Background,True,NOUN,10
addBackgroundColorToLogo,Color,True,NOUN,5
addBackgroundColorToLogo,To,True,PART,2
addBackgroundColorToLogo,Logo,True,PROPN,4
addContributeButtonForAddendum,add,True,VERB,3
addContributeButtonForAddendum,Contribute,True,VERB,10
addContributeButtonForAddendum,Button,True,PROPN,6
addContributeButtonForAddendum,For,True,ADP,3
addContributeButtonForAddendum,Addendum,True,PROPN,8
addHamburgerMenu,add,True,VERB,3
addHamburgerMenu,Hamburger,True,NOUN,9
addHamburgerMenu,Menu,True,PROPN,4
defineProductName,define,True,VERB,6
defineProductName,Product,True,NOUN,7
defineProductName,Name,True,NOUN,4
addHeader,add,True,VERB,3
addHeader,Header,True,NOUN,6
addIDsForHeadings,add,True,VERB,3
addIDsForHeadings,IDs,True,NOUN,3
addIDsForHeadings,For,True,ADP,3
addIDsForHeadings,Headings,True,NOUN,8
addLinksToNavigationElements,add,True,VERB,3
addLinksToNavigationElements,Links,True,NOUN,5
addLinksToNavigationElements,To,True,PART,2
addLinksToNavigationElements,Navigation,True,NOUN,10
addLinksToNavigationElements,Elements,True,NOUN,8
getJS,get,True,VERB,3
getJS,JS,False,PROPN,2
addScripts,add,True,VERB,3
addScripts,Scripts,True,NOUN,7
addWelcomeArticle,add,True,VERB,3
addWelcomeArticle,Welcome,True,VERB,7
addWelcomeArticle,Article,True,NOUN,7
createPromoBanner,create,True,VERB,6
createPromoBanner,Promo,True,VERB,5
createPromoBanner,Banner,True,PROPN,6
editHead,edit,True,VERB,4
editHead,Head,True,VERB,4
createLinkForID,create,True,VERB,6
createLinkForID,Link,True,NOUN,4
createLinkForID,For,True,ADP,3
createLinkForID,ID,True,PROPN,2
deleteAllIconsInDescription,delete,True,VERB,6
deleteAllIconsInDescription,All,True,PRON,3
deleteAllIconsInDescription,Icons,True,NOUN,5
deleteAllIconsInDescription,In,True,ADP,2
deleteAllIconsInDescription,Description,True,NOUN,11
getCssFile,get,True,VERB,3
getCssFile,Css,False,INTJ,3
getCssFile,File,True,VERB,4
removeAllImages,remove,True,VERB,6
removeAllImages,All,True,PRON,3
removeAllImages,Images,True,NOUN,6
removeListInAddendum,remove,True,VERB,6
removeListInAddendum,List,True,NOUN,4
removeListInAddendum,In,True,ADP,2
removeListInAddendum,Addendum,True,PROPN,8
tweakDescriptionOfArticleTopic,tweak,True,ADJ,5
tweakDescriptionOfArticleTopic,Description,True,NOUN,11
tweakDescriptionOfArticleTopic,Of,True,ADP,2
tweakDescriptionOfArticleTopic,Article,True,NOUN,7
tweakDescriptionOfArticleTopic,Topic,True,NOUN,5
capitalizeFirstLetter,capitalize,True,VERB,10
capitalizeFirstLetter,First,True,ADV,5
capitalizeFirstLetter,Letter,True,NOUN,6
removeEmojis,remove,True,VERB,6
removeEmojis,Emojis,True,NOUN,6
makeTextLogo,make,True,VERB,4
makeTextLogo,Text,True,NOUN,4
makeTextLogo,Logo,True,PROPN,4
createTag,create,True,VERB,6
createTag,Tag,True,VERB,3
createLabel,create,True,VERB,6
createLabel,Label,True,PROPN,5
check,check,True,VERB,5
push,push,True,VERB,4
addTag,add,True,VERB,3
addTag,Tag,True,VERB,3
check,check,True,VERB,5
push,push,True,VERB,4
addLabel,add,True,VERB,3
addLabel,Label,True,PROPN,5
tweakToolContainer,tweak,True,ADJ,5
tweakToolContainer,Tool,True,NOUN,4
tweakToolContainer,Container,True,NOUN,9
PromotionBanner,Promotion,True,NOUN,9
PromotionBanner,Banner,True,PROPN,6
createSponsorsBanner,create,True,VERB,6
createSponsorsBanner,Sponsors,True,NOUN,8
createSponsorsBanner,Banner,True,PROPN,6
page,page,True,NOUN,4
writeHtml,write,True,VERB,5
writeHtml,Html,False,NOUN,4
readMd,read,True,VERB,4
readMd,Md,True,PROPN,2
parseTweaks,parse,True,VERB,5
parseTweaks,Tweaks,True,NOUN,6
