Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
injector,injector,True,NOUN,8
_t,t,True,NOUN,1
util_stringify,util,False,NOUN,4
util_stringify,stringify,False,VERB,9
util_arr_stringify,util,False,NOUN,4
util_arr_stringify,arr,True,PROPN,3
util_arr_stringify,stringify,False,VERB,9
util_str_multiply,util,False,NOUN,4
util_str_multiply,str,True,PROPN,3
util_str_multiply,multiply,True,VERB,8
util_str_to_c_like,util,False,NOUN,4
util_str_to_c_like,str,True,PROPN,3
util_str_to_c_like,to,True,PART,2
util_str_to_c_like,c,True,NOUN,1
util_str_to_c_like,like,True,INTJ,4
util_obj_key_to_c_like,util,False,NOUN,4
util_obj_key_to_c_like,obj,True,PROPN,3
util_obj_key_to_c_like,key,True,ADJ,3
util_obj_key_to_c_like,to,True,PART,2
util_obj_key_to_c_like,c,True,NOUN,1
util_obj_key_to_c_like,like,True,INTJ,4
_raw,raw,True,ADV,3
util_regex_url,util,False,NOUN,4
util_regex_url,regex,True,NOUN,5
util_regex_url,url,False,NOUN,3
util_regex_url_path,util,False,NOUN,4
util_regex_url_path,regex,True,NOUN,5
util_regex_url_path,url,False,NOUN,3
util_regex_url_path,path,True,NOUN,4
computefloor,compute,True,VERB,7
computefloor,floor,True,NOUN,5
util_log_impl,util,False,NOUN,4
util_log_impl,log,True,VERB,3
util_log_impl,impl,False,NOUN,4
util_func_noop,util,False,NOUN,4
util_func_noop,func,False,VERB,4
util_func_noop,noop,False,NOUN,4
ret,ret,False,PROPN,3
util_func_catched,util,False,NOUN,4
util_func_catched,func,False,VERB,4
util_func_catched,catched,False,VERB,7
util_safe_get,util,False,NOUN,4
util_safe_get,safe,True,ADJ,4
util_safe_get,get,True,VERB,3
util_ui_alert,util,False,NOUN,4
util_ui_alert,ui,False,INTJ,2
util_ui_alert,alert,True,NOUN,5
util_page_valid,util,False,NOUN,4
util_page_valid,page,True,NOUN,4
util_page_valid,valid,True,ADJ,5
dcl,dcl,False,VERB,3
dclCreator,dcl,False,VERB,3
dclCreator,Creator,True,NOUN,7
util_init,util,False,NOUN,4
util_init,init,True,PROPN,4
shownFeed,shown,True,VERB,5
shownFeed,Feed,True,NOUN,4
avaliableNotification,avaliable,False,ADJ,9
avaliableNotification,Notification,True,NOUN,12
choseNotification,chose,True,VERB,5
choseNotification,Notification,True,NOUN,12
hasPermission,has,True,VERB,3
hasPermission,Permission,True,NOUN,10
requestPermission,request,True,NOUN,7
requestPermission,Permission,True,NOUN,10
showNotification,show,True,VERB,4
showNotification,Notification,True,NOUN,12
hideNotification,hide,True,VERB,4
hideNotification,Notification,True,NOUN,12
afterHideNotification,after,True,ADP,5
afterHideNotification,Hide,True,VERB,4
