Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
loadStories,load,True,NOUN,4
loadStories,Stories,True,NOUN,7
runServer,run,True,VERB,3
runServer,Server,True,PROPN,6
runServer,run,True,VERB,3
runServer,Server,True,PROPN,6
mergeResults,merge,True,VERB,5
mergeResults,Results,True,NOUN,7
filter,filter,True,VERB,6
Stagger,Stagger,True,NOUN,7
createAnimation,create,True,VERB,6
createAnimation,Animation,True,NOUN,9
SlideToLeft,Slide,True,VERB,5
SlideToLeft,To,True,PART,2
SlideToLeft,Left,True,VERB,4
ShrinkHeight,Shrink,True,VERB,6
ShrinkHeight,Height,True,NOUN,6
SlideFromRight,Slide,True,VERB,5
SlideFromRight,From,True,ADP,4
SlideFromRight,Right,True,INTJ,5
GrowHeight,Grow,True,VERB,4
GrowHeight,Height,True,NOUN,6
SwitchLines,Switch,True,VERB,6
SwitchLines,Lines,True,NOUN,5
Center,Center,True,NOUN,6
Loading,Loading,True,VERB,7
Error,Error,True,NOUN,5
useDocumentTitle,use,True,VERB,3
useDocumentTitle,Document,True,NOUN,8
useDocumentTitle,Title,True,NOUN,5
getCommits,get,True,VERB,3
getCommits,Commits,True,VERB,7
getContent,get,True,VERB,3
getContent,Content,True,NOUN,7
getCommits,get,True,VERB,3
getCommits,Commits,True,VERB,7
getPath,get,True,VERB,3
getPath,Path,True,NOUN,4
showLanding,show,True,VERB,4
showLanding,Landing,True,VERB,7
getVersions,get,True,VERB,3
getVersions,Versions,True,NOUN,8
myDiff,my,True,PRON,2
myDiff,Diff,True,NOUN,4
insert,insert,True,ADJ,6
slideDiff,slide,True,VERB,5
slideDiff,Diff,True,NOUN,4
parseLines,parse,True,VERB,5
parseLines,Lines,True,NOUN,5
getSlides,get,True,VERB,3
getSlides,Slides,True,NOUN,6
isNewLine,is,True,AUX,2
isNewLine,New,True,ADJ,3
isNewLine,Line,True,NOUN,4
getChanges,get,True,VERB,3
getChanges,Changes,True,NOUN,7
getCommits,get,True,VERB,3
getCommits,Commits,True,VERB,7
getContent,get,True,VERB,3
getContent,Content,True,NOUN,7
getCommits,get,True,VERB,3
getCommits,Commits,True,VERB,7
getContent,get,True,VERB,3
getContent,Content,True,NOUN,7
getGitProvider,get,True,VERB,3
getGitProvider,Git,True,NOUN,3
getGitProvider,Provider,True,NOUN,8
getSource,get,True,VERB,3
getSource,Source,True,NOUN,6
flattenTokens,flatten,True,VERB,7
flattenTokens,Tokens,True,PROPN,6
tokenizeStrings,tokenize,False,VERB,8
tokenizeStrings,Strings,True,NOUN,7
tokenize,tokenize,False,VERB,8
getVersions,get,True,VERB,3
getVersions,Versions,True,NOUN,8
getPath,get,True,VERB,3
getPath,Path,True,NOUN,4
showLanding,show,True,VERB,4
showLanding,Landing,True,VERB,7
getCommits,get,True,VERB,3
getCommits,Commits,True,VERB,7
getVersions,get,True,VERB,3
getVersions,Versions,True,NOUN,8
CommitInfo,Commit,True,VERB,6
CommitInfo,Info,True,NOUN,4
mouseWheelEvent,mouse,True,VERB,5
mouseWheelEvent,Wheel,True,NOUN,5
mouseWheelEvent,Event,True,NOUN,5
CommitList,Commit,True,VERB,6
CommitList,List,True,NOUN,4
History,History,True,NOUN,7
setClampedTarget,set,True,VERB,3
setClampedTarget,Clamped,True,VERB,7
setClampedTarget,Target,True,VERB,6
nextSlide,next,True,ADV,4
nextSlide,Slide,True,VERB,5
prevSlide,prev,False,NOUN,4
prevSlide,Slide,True,VERB,5
onkeydown,on,True,ADP,2
onkeydown,key,True,ADJ,3
onkeydown,down,True,ADV,4
Slides,Slides,True,NOUN,6
useSliderSpring,use,True,VERB,3
useSliderSpring,Slider,True,NOUN,6
useSliderSpring,Spring,True,NOUN,6
Landing,Landing,True,VERB,7
Testimonies,Testimonies,True,NOUN,11
Testimony,Testimony,True,NOUN,9
ResponsivePicture,Responsive,True,ADJ,10
ResponsivePicture,Picture,True,NOUN,7
Backers,Backers,True,NOUN,7
getRow,get,True,VERB,3
getRow,Row,True,NOUN,3
getRowHeight,get,True,VERB,3
getRowHeight,Row,True,NOUN,3
getRowHeight,Height,True,NOUN,6
BasicScroller,Basic,True,ADJ,5
BasicScroller,Scroller,False,NOUN,8
DoubleScroller,Double,True,ADJ,6
DoubleScroller,Scroller,False,NOUN,8
getLineHeight,get,True,VERB,3
getLineHeight,Line,True,NOUN,4
getLineHeight,Height,True,NOUN,6
getLine,get,True,VERB,3
getLine,Line,True,NOUN,4
Slide,Slide,True,VERB,5
SlideWrapper,Slide,True,VERB,5
SlideWrapper,Wrapper,True,NOUN,7
useSpring,use,True,VERB,3
useSpring,Spring,True,NOUN,6
Test,Test,True,VERB,4
useChildren,use,True,VERB,3
useChildren,Children,True,NOUN,8
nextIndex,next,True,ADV,4
nextIndex,Index,True,NOUN,5
prevIndex,prev,False,NOUN,4
prevIndex,Index,True,NOUN,5
closestIndex,closest,True,ADJ,7
closestIndex,Index,True,NOUN,5
getScrollTop,get,True,VERB,3
getScrollTop,Scroll,True,PROPN,6
getScrollTop,Top,True,ADJ,3
activate,activate,True,VERB,8
getCurrentPath,get,True,VERB,3
getCurrentPath,Current,True,ADJ,7
getCurrentPath,Path,True,NOUN,4
deactivate,deactivate,True,VERB,10
