Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
exec,1,True,True,True,True,False
exports,1,True,False,True,True,False
assetsPath,2,True,False,True,True,False
generateLoaders,2,True,True,True,True,False
cssLoaders,2,False,False,True,True,False
styleLoaders,2,True,False,True,True,False
resolve,1,True,True,True,True,False
mapFile,2,True,True,True,True,False
chalkPrint,2,True,True,True,True,False
chalkPrint,2,True,True,True,True,False
randomColor,2,True,False,True,True,False
randomColor,2,True,False,True,True,False
randomInt,2,True,True,True,True,False
randomInt,2,True,True,True,True,False
randomString,2,True,False,True,True,False
randomString,2,True,False,True,True,False
isArr,2,True,True,True,True,False
isArr,2,True,True,True,True,False
quickSortArr,3,True,True,True,True,False
quickSortArr,3,True,True,True,True,False
uniqueArr,2,True,True,True,True,False
uniqueArr,2,True,True,True,True,False
shuffleArr,2,True,True,True,True,False
shuffleArr,2,True,True,True,True,False
binarySearchArr,3,True,True,True,True,False
binarySearchArr,3,True,True,True,True,False
$outlineAnything,2,True,False,True,True,False
$outlineAnything,2,True,False,True,True,False
$getRate,2,True,True,True,True,False
$getRate,2,True,True,True,True,False
$uuid,1,False,False,True,True,False
$uuid,1,False,False,True,True,False
$isPrime,2,True,False,True,True,False
$isPrime,2,True,False,True,True,False
$sleep,1,True,False,True,True,False
$sleep,1,True,False,True,True,False
formatDate,2,True,False,True,True,False
formatDate,2,True,False,True,True,False
getDateObj,3,True,True,True,True,False
getDateObj,3,True,True,True,True,False
setClass,2,True,True,True,True,False
hasClass,2,True,True,True,True,False
addClass,2,True,True,True,True,False
removeClass,2,True,True,True,True,False
_typeof,2,False,True,True,False,False
invokeFunc,2,False,False,True,True,False
startTimer,2,True,True,True,True,False
cancelTimer,2,True,True,True,True,False
leadingEdge,2,True,True,True,True,False
remainingWait,2,True,True,True,True,False
shouldInvoke,2,True,True,True,True,False
timerExpired,2,True,True,True,True,False
trailingEdge,2,True,True,True,True,False
cancel,1,True,True,True,True,False
flush,1,True,False,True,True,False
pending,1,True,True,True,True,False
debounced,1,True,True,True,True,False
debounce,1,True,False,True,True,False
throttle,1,True,True,True,True,False
p,1,True,False,False,True,False
poll,1,True,False,True,True,False
once,1,True,False,True,True,False
isPlainObj,3,True,True,True,True,False
isPlainObj,3,True,True,True,True,False
isEmptyObj,3,True,False,True,True,False
isEmptyObj,3,True,False,True,True,False
extend,1,True,True,True,True,False
extend,1,True,True,True,True,False
stringfyQueryString,3,False,False,True,True,False
stringfyQueryString,3,False,False,True,True,False
getOS,2,False,True,True,True,False
getOS,2,False,True,True,True,False
getBrowser,2,True,True,True,True,False
getBrowser,2,True,True,True,True,False
isWeixin,2,False,False,True,True,False
isWeixin,2,False,False,True,True,False
isEmail,2,True,False,True,True,False
isIdCard,3,False,False,True,True,False
isPhoneNum,3,False,False,True,True,False
isUrl,2,False,False,True,True,False
setCookie,2,True,True,True,True,False
setCookie,2,True,True,True,True,False
getCookie,2,True,True,True,True,False
getCookie,2,True,True,True,True,False
removeCookie,2,True,True,True,True,False
removeCookie,2,True,True,True,True,False
cutString,2,True,True,True,True,False
cutString,2,True,True,True,True,False
upcaseMoney,3,True,False,True,False,False
upcaseMoney,3,True,False,True,False,False
encode_char,2,True,False,True,False,True
replaceXSS,2,False,True,True,True,False
replaceXSS,2,False,True,True,True,False
parseQueryString,3,True,True,True,True,False
parseQueryString,3,True,True,True,True,False
b64EncodeUnicode,4,False,False,False,False,False
b64EncodeUnicode,4,False,False,False,False,False
b64DecodeUnicode,4,False,False,False,False,False
b64DecodeUnicode,4,False,False,False,False,False
loop,1,True,False,True,True,False
loop,1,True,False,True,True,False
isNoteNameValid,4,True,True,True,True,False
isDark,2,True,False,True,True,False
isDark,2,True,False,True,True,False
addBlank,2,True,True,True,True,False
u,1,True,False,False,True,False
g,1,True,False,False,True,False
i,1,True,False,False,True,False
c,1,True,False,False,True,False
s,1,True,False,False,True,False
e,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
qrcode,2,True,False,True,False,False
w,1,True,False,False,True,False
o,1,True,False,False,True,False
i,1,True,False,False,True,False
c,1,True,False,False,True,False
h,1,True,False,False,True,False
g,1,True,False,False,True,False
d,1,True,False,False,True,False
v,1,True,False,False,True,False
p,1,True,False,False,True,False
addData,2,True,True,True,True,False
isDark,2,True,False,True,True,False
getModuleCount,3,True,True,True,True,False
make,1,True,True,True,True,False
createTableTag,3,True,True,True,True,False
createImgTag,3,False,True,True,True,False
o,1,True,False,False,True,False
stringToBytes,3,True,False,True,True,False
r,1,True,False,False,True,False
createStringToBytes,4,True,True,True,True,False
g,1,True,False,False,True,False
i,1,True,False,False,True,False
h,1,True,False,False,True,False
h,1,True,False,False,True,False
getBCHTypeInfo,4,False,True,True,True,False
getBCHTypeNumber,4,False,True,True,True,False
getPatternPosition,3,True,True,True,True,False
getMaskFunction,3,True,True,True,True,False
getErrorCorrectPolynomial,4,True,True,True,True,False
getLengthInBits,4,True,True,True,True,False
getLostPoint,3,True,True,True,True,False
getRSBlocks,3,True,True,True,True,False
B,1,True,False,False,False,False
L,1,True,False,False,False,False
a,1,True,False,False,True,False
S,1,True,False,False,False,False
e,1,True,False,False,True,False
t,1,True,False,False,True,False
writeByte,2,True,True,True,True,False
flush,1,True,False,True,True,False
toString,2,True,False,True,True,False
