Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
runs,1,True,False,True,True,False
adURL,2,False,False,True,True,False
playURL,2,False,True,True,True,False
get,1,True,True,True,True,False
signTieBa,3,False,True,True,True,False
signBar,2,True,True,True,True,False
signBars,2,True,True,True,True,False
checkIsAllProcessed,4,True,True,True,True,False
GetCookie,2,True,True,True,False,False
notify,1,True,True,True,True,False
write,1,True,True,True,True,False
read,1,True,True,True,True,False
adapterStatus,2,True,False,True,True,False
get,1,True,True,True,True,False
post,1,True,False,True,True,False
done,1,True,True,True,True,False
nobyda,3,False,True,True,False,False
GetUserPoint,3,True,True,True,False,False
ListProduct,2,True,False,True,False,False
ExchangeProduct,2,True,True,True,False,False
startExchange,2,True,True,True,True,False
adapterStatus,2,True,False,True,True,False
read,1,True,True,True,True,False
notify,1,True,True,True,True,False
post,1,True,False,True,True,False
done,1,True,True,True,True,False
nobyda,3,False,True,True,False,False
startServer,2,True,True,True,True,False
fileCheck,2,True,True,True,True,False
install,1,True,True,True,True,False
delayClose,2,True,True,True,True,False
login,1,True,True,True,True,False
stringRandom,2,True,False,True,True,False
Checkin,2,True,True,True,False,False
Lottery,1,True,False,True,False,False
getTaskList,3,True,True,True,True,False
joinTask,2,True,True,True,True,False
notifyTask,2,True,True,True,True,False
getTaskRewards,3,True,True,True,True,False
GetCookie,2,True,True,True,False,False
BarkNotify,2,True,True,True,False,False
notify,1,True,True,True,True,False
write,1,True,True,True,True,False
read,1,True,True,True,True,False
adapterStatus,2,True,False,True,True,False
get,1,True,True,True,True,False
post,1,True,False,True,True,False
log,1,True,True,True,True,False
time,1,True,False,True,True,False
done,1,True,True,True,True,False
nobyda,3,False,True,True,False,False
k,1,True,False,False,True,False
RotateLeft,2,True,True,True,False,False
AddUnsigned,2,True,True,True,False,False
F,1,True,False,False,False,False
G,1,True,False,False,False,False
H,1,True,False,False,False,False
I,1,True,False,False,False,False
FF,1,True,False,True,False,False
GG,1,False,False,True,False,False
HH,1,False,False,True,False,False
II,1,True,False,True,False,False
ConvertToWordArray,4,True,True,True,False,False
WordToHex,3,True,False,True,False,False
Utf8Encode,2,True,False,True,False,False
md5,1,True,False,True,True,False
w,1,True,False,False,True,False
all,1,True,False,True,True,False
notify,1,True,True,True,True,False
ReadCookie,2,True,True,True,False,False
JingDongBean,3,True,False,True,False,False
JingDongTurn,3,True,True,True,False,False
JingRongSteel,3,False,False,True,False,False
JingDongShake,3,True,True,True,False,False
JDUserSignPre,4,False,True,True,False,False
JDUserSignPre1,5,False,True,False,False,False
JDUserSignPre2,5,False,True,False,False,False
JDUserSign1,4,False,True,False,False,False
JDUserSign2,4,False,True,False,False,False
JDFlashSale,3,False,True,True,False,False
FlashSaleDivide,3,True,True,True,False,False
JingDongCash,3,True,False,True,False,False
JDMagicCube,3,False,False,True,False,False
JDMagicCubeSign,4,False,True,True,False,False
JingDongSubsidy,3,True,False,True,False,False
JingRongDoll,3,False,False,True,False,False
JingDongGetCash,4,True,True,True,False,False
JingDongStore,3,True,False,True,False,False
JDSecKilling,3,False,True,True,False,False
TotalSteel,2,True,False,True,False,False
TotalBean,2,True,False,True,False,False
TotalCash,2,True,False,True,False,False
TotalSubsidy,2,True,False,True,False,False
TotalMoney,2,True,False,True,False,False
disable,1,True,False,True,True,False
Wait,1,True,True,True,False,False
move,1,True,True,True,True,False
CookieMove,2,True,True,True,False,False
checkFormat,2,True,True,True,True,False
CookieUpdate,2,True,True,True,False,False
GetCookie,2,True,True,True,False,False
Opts,1,True,False,True,False,False
notify,1,True,True,True,True,False
write,1,True,True,True,True,False
read,1,True,True,True,True,False
adapterStatus,2,True,False,True,True,False
get,1,True,True,True,True,False
post,1,True,False,True,True,False
AnError,2,True,False,True,False,False
time,1,True,False,True,True,False
done,1,True,True,True,True,False
nobyda,3,False,True,True,False,False
SwitchPoliy,2,False,True,True,False,False
getGroup,2,True,True,True,True,False
getPolicy,2,True,True,True,True,False
setPolicy,2,True,True,True,True,False
done,1,True,True,True,True,False
nobyda,3,False,True,True,False,False
operator,1,True,False,True,True,False
parseInfo,2,True,True,True,True,False
SwitchRegion,2,True,True,True,False,False
EnvInfo,2,True,False,True,False,False
QueryRating,2,True,True,True,False,False
ExtractMovieInfo,3,True,False,True,False,False
GetRawInfo,3,True,True,True,False,False
notify,1,True,True,True,True,False
read,1,True,True,True,True,False
adapterStatus,2,True,False,True,True,False
getPolicy,2,True,True,True,True,False
setPolicy,2,True,True,True,True,False
get,1,True,True,True,True,False
nobyda,3,False,True,True,False,False
zhHans,2,False,False,True,True,False
setHMACKey,3,False,True,True,True,False
update,1,True,True,True,True,False
getHash,2,True,True,True,True,False
getHMAC,2,False,True,True,True,False
t,1,True,False,False,True,False
J,1,True,False,False,False,False
K,1,True,False,False,False,False
L,1,True,False,False,False,False
M,1,True,False,False,False,False
C,1,True,False,False,False,False
D,1,True,False,False,False,False
E,1,True,False,False,False,False
F,1,True,False,False,False,False
B,1,True,False,False,False,False
z,1,True,False,False,True,False
p,1,True,False,False,True,False
q,1,True,False,False,True,False
u,1,True,False,False,True,False
x,1,True,True,False,True,False
A,1,True,False,False,False,False
H,1,True,False,False,False,False
X,1,True,False,False,False,False
V,1,True,False,False,False,False
T,1,True,False,False,False,False
TOTP,1,False,False,True,False,False
