Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
styles,1,True,False,True,True,False
LogoRenderer,2,True,False,True,False,False
template,1,True,False,True,True,False
emptyOldTypes,3,True,False,True,True,False
getItem,2,True,True,True,True,False
deleteItem,2,True,True,True,True,False
setItem,2,True,True,True,True,False
createCookieStoreApiMock,5,False,True,True,True,False
simulateObservation,2,True,True,True,True,False
simulateResize,2,True,True,True,True,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
fn,1,False,False,True,True,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
fooCallback,2,True,False,True,True,False
shouldThrow,2,True,True,True,True,False
TestComponent,2,True,True,True,False,False
matchMedia,2,True,True,True,True,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
requestAnimationFrame,3,True,False,True,True,False
requestAnimationFrame,3,True,False,True,True,False
requestAnimationFrame,3,True,False,True,True,False
TestComponent,2,True,True,True,False,False
fn,1,False,False,True,True,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
makeValidator,2,True,True,True,True,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
TestComponent,2,True,True,True,False,False
assertFunction,2,True,False,True,True,False
assertHook,2,True,True,True,True,False
promiseDelay,2,True,True,True,True,False
ReactRouterWrapper,3,True,True,True,False,False
