Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
styles,styles,True,NOUN,6
LogoRenderer,Logo,True,PROPN,4
LogoRenderer,Renderer,True,NOUN,8
template,template,True,NOUN,8
emptyOldTypes,empty,True,ADJ,5
emptyOldTypes,Old,True,ADJ,3
emptyOldTypes,Types,True,NOUN,5
getItem,get,True,VERB,3
getItem,Item,True,NOUN,4
deleteItem,delete,True,VERB,6
deleteItem,Item,True,NOUN,4
setItem,set,True,VERB,3
setItem,Item,True,NOUN,4
createCookieStoreApiMock,create,True,VERB,6
createCookieStoreApiMock,Cookie,True,PROPN,6
createCookieStoreApiMock,Store,True,NOUN,5
createCookieStoreApiMock,Api,False,PROPN,3
createCookieStoreApiMock,Mock,True,ADJ,4
simulateObservation,simulate,True,VERB,8
simulateObservation,Observation,True,NOUN,11
simulateResize,simulate,True,VERB,8
simulateResize,Resize,True,NOUN,6
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
fn,fn,False,INTJ,2
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
fooCallback,foo,True,NOUN,3
fooCallback,Callback,True,NOUN,8
shouldThrow,should,True,AUX,6
shouldThrow,Throw,True,VERB,5
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
matchMedia,match,True,VERB,5
matchMedia,Media,True,NOUN,5
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
requestAnimationFrame,request,True,NOUN,7
requestAnimationFrame,Animation,True,NOUN,9
requestAnimationFrame,Frame,True,NOUN,5
requestAnimationFrame,request,True,NOUN,7
requestAnimationFrame,Animation,True,NOUN,9
requestAnimationFrame,Frame,True,NOUN,5
requestAnimationFrame,request,True,NOUN,7
requestAnimationFrame,Animation,True,NOUN,9
requestAnimationFrame,Frame,True,NOUN,5
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
fn,fn,False,INTJ,2
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
makeValidator,make,True,VERB,4
makeValidator,Validator,False,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
TestComponent,Test,True,VERB,4
TestComponent,Component,True,NOUN,9
assertFunction,assert,True,PROPN,6
assertFunction,Function,True,NOUN,8
assertHook,assert,True,PROPN,6
assertHook,Hook,True,VERB,4
promiseDelay,promise,True,VERB,7
promiseDelay,Delay,True,NOUN,5
ReactRouterWrapper,React,True,VERB,5
ReactRouterWrapper,Router,True,NOUN,6
ReactRouterWrapper,Wrapper,True,NOUN,7
