Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
array1d,3,True,True,False,False,False
array2d,3,True,True,False,False,False
generateOutputMappings,3,True,True,True,True,False
compute_input_multiplies_with_weight,5,True,True,True,False,True
getMatrixSliceFromInputHighlights,6,True,True,True,True,False
getMatrixSliceFromOutputHighlights,6,True,True,True,True,False
getVisualizationSizeConstraint,4,True,True,True,True,False
getDataRange,3,True,True,True,True,False
gridData,2,True,False,True,True,False
getExtent,2,True,True,True,True,False
getMidCoords,3,False,True,True,True,False
getOutputKnot,3,False,True,True,True,False
getInputKnot,3,False,True,True,True,False
getLinkData,3,True,True,True,True,False
gappedColorScale,3,True,True,True,True,False
moveLegend,2,True,True,True,True,False
logitCircleMouseOverHandler,5,False,True,True,True,False
logitCircleMouseLeaveHandler,5,False,True,True,True,False
softmaxDetailViewMouseOverHandler,6,False,False,True,True,False
softmaxDetailViewMouseLeaveHandler,6,False,True,True,True,False
drawOneEdgeGroup,4,True,True,True,True,False
drawLogitLayer,3,False,True,True,True,False
removeLogitLayer,3,False,True,True,True,False
softmaxClicked,2,False,True,True,True,False
flattenMouseOverHandler,4,True,True,True,True,False
flattenMouseLeaveHandler,4,True,True,True,True,False
drawFlatten,2,True,True,True,True,False
drawIntermidiateImage,3,False,True,True,True,False
createIntermediateNode,3,True,True,True,True,False
slidingAnimation,2,True,True,True,True,False
startOutputAnimation,3,True,True,True,True,False
slidingAnimation,2,True,True,True,True,False
startIntermediateAnimation,3,True,True,True,True,False
animationButtonClicked,3,True,True,True,True,False
animateEdge,2,True,True,True,True,False
drawIntermediateLayer,3,True,True,True,True,False
drawIntermediateLayerAnnotation,4,True,True,True,True,False
addUnderneathRect,3,True,True,True,True,False
addOverlayRect,3,True,True,True,True,False
redrawLayerIfNeeded,4,True,True,True,True,False
drawConv1,3,False,True,False,False,False
drawConv2,3,False,True,False,False,False
drawConv3,3,False,True,False,False,False
drawConv4,3,False,True,False,False,False
moveLayerX,3,True,True,False,True,False
addOverlayGradient,3,True,True,True,True,False
normalizedColor,2,True,True,True,True,False
drawIntermediateLayerLegend,4,True,True,True,True,False
drawArrow,2,True,True,True,True,False
drawOutput,2,True,True,True,True,False
drawOutputScore,3,True,True,True,True,False
drawCustomImage,3,True,True,True,True,False
getLegendGradient,3,True,True,True,True,False
drawLegends,2,True,True,True,True,False
drawCNN,2,False,True,True,True,False
updateCNN,2,False,True,True,True,False
updateCNNLayerRanges,4,False,True,True,True,False
constructCNNFromOutputs,4,False,True,True,True,False
constructCNN,2,False,True,True,True,False
cropCentralSquare,3,True,False,True,True,False
imageDataTo3DTensor,5,True,False,True,False,False
onload,2,True,False,True,False,False
getInputImageArray,4,True,True,True,True,False
loadTrainedModel,3,True,True,True,True,False
constructNNFromJSON,4,False,True,True,True,False
constructNN,2,False,True,True,True,False
init2DArray,4,False,True,False,False,False
matrixDot,2,True,False,True,True,False
matrixAdd,2,True,True,True,True,False
matrixSlice,2,True,False,True,True,False
matrixMax,2,True,False,True,True,False
imageDataTo3DArray,5,True,True,True,False,False
onload,2,True,False,True,False,False
getInputImageArray,4,True,True,True,True,False
singleConv,2,False,False,True,True,False
convolute,1,False,True,True,True,False
singleRelu,2,False,False,True,True,False
relu,1,False,False,True,True,False
singleMaxPooling,3,True,True,True,True,False
maxPooling,2,True,True,True,True,False
flatten,1,True,True,True,True,False
fullyConnect,2,True,True,True,True,False
tempMain,2,True,False,True,True,False
