Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
getRepos,get,True,VERB,3
getRepos,Repos,False,PROPN,5
getUser,get,True,VERB,3
getUser,User,True,NOUN,4
populateCSS,populate,True,VERB,8
populateCSS,CSS,False,NOUN,3
populateConfig,populate,True,VERB,8
populateConfig,Config,False,PROPN,6
buildCommand,build,True,VERB,5
buildCommand,Command,True,NOUN,7
convertToEmoji,convert,True,VERB,7
convertToEmoji,To,True,PART,2
convertToEmoji,Emoji,True,PROPN,5
updateHTML,update,True,VERB,6
updateHTML,HTML,True,NOUN,4
runCommand,run,True,VERB,3
runCommand,Command,True,NOUN,7
createBlog,create,True,VERB,6
createBlog,Blog,True,NOUN,4
uiCommand,ui,False,INTJ,2
uiCommand,Command,True,NOUN,7
updateCommand,update,True,VERB,6
updateCommand,Command,True,NOUN,7
getFileWithDefaults,get,True,VERB,3
getFileWithDefaults,File,True,VERB,4
getFileWithDefaults,With,True,ADP,4
getFileWithDefaults,Defaults,True,NOUN,8
getConfig,get,True,VERB,3
getConfig,Config,False,PROPN,6
getBlog,get,True,VERB,3
getBlog,Blog,True,NOUN,4
