Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
freedom,freedom,True,NOUN,7
printGithubForEveryone,print,True,NOUN,5
printGithubForEveryone,Github,False,NOUN,6
printGithubForEveryone,For,True,ADP,3
printGithubForEveryone,Everyone,True,PRON,8
print,print,True,NOUN,5
github,github,False,PROPN,6
showSupport,show,True,VERB,4
showSupport,Support,True,NOUN,7
chain,chain,True,NOUN,5
freedom,freedom,True,NOUN,7
community,community,True,NOUN,9
replaceLastItemMapper,replace,True,VERB,7
replaceLastItemMapper,Last,True,ADJ,4
replaceLastItemMapper,Item,True,NOUN,4
replaceLastItemMapper,Mapper,True,NOUN,6
concatSpace,concat,False,NOUN,6
concatSpace,Space,True,NOUN,5
splitChars,split,True,VERB,5
splitChars,Chars,True,NOUN,5
pushToStream,push,True,VERB,4
pushToStream,To,True,PART,2
pushToStream,Stream,True,VERB,6
execution,execution,True,NOUN,9
init,init,True,PROPN,4
w,w,True,PROPN,1
h,h,True,NOUN,1
draw,draw,True,VERB,4
drawHint,draw,True,VERB,4
drawHint,Hint,True,NOUN,4
drawTextLine,draw,True,VERB,4
drawTextLine,Text,True,NOUN,4
drawTextLine,Line,True,NOUN,4
anim,anim,True,NOUN,4
