Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
getIssueDetailsModal,4,True,True,True,True,False
getListIssue,3,True,True,True,True,False
getNumberInputAtIndex,5,True,True,True,True,False
getSearchInput,3,True,True,True,True,False
getUserAvatar,3,True,True,True,True,False
getMyOnlyButton,4,True,True,True,True,False
getRecentButton,3,True,True,True,True,False
assertIssuesCount,3,True,False,True,True,False
getIssueAtIndex,4,True,True,True,True,False
moveFirstIssue,3,True,True,True,True,False
getIssueSearchModal,4,True,True,True,True,False
getIssues,2,True,True,True,True,False
exports,1,True,False,True,True,False
testid,2,False,False,True,False,False
useCurrentUser,3,True,True,True,True,False
useDeepCompareMemoize,4,False,True,True,True,False
handleKeyDown,3,True,True,True,True,False
useOnEscapeKeyDown,5,True,True,True,True,False
handleMouseDown,3,True,True,True,True,False
handleMouseUp,3,True,True,True,True,False
useOnOutsideClick,4,True,True,True,True,False
api,1,False,True,True,True,False
optimisticUpdate,2,True,True,True,True,False
getStoredAuthToken,4,True,True,True,True,False
storeAuthToken,3,True,True,True,True,False
removeStoredAuthToken,4,True,True,True,True,False
getTextContentsFromHtmlString,6,False,True,True,True,False
copyToClipboard,3,True,False,True,True,False
isFocusedElementEditable,4,True,True,True,True,False
formatDate,2,True,False,True,True,False
formatDateTime,3,True,False,True,True,False
formatDateTimeForAPI,5,False,False,True,True,False
formatDateTimeConversational,4,True,False,True,True,False
open,1,True,True,True,True,False
close,1,True,True,True,True,False
isOpen,2,True,True,True,True,False
createQueryParamModalHelpers,5,False,True,True,True,False
show,1,True,True,True,True,False
success,1,True,False,True,True,False
error,1,True,False,True,True,False
isNilOrEmptyString,5,True,True,True,True,False
generateErrors,2,True,True,True,True,False
