Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
getIpFormat,3,False,True,True,True,False
jwtVerify,2,False,True,True,True,False
exitHandler,2,True,False,True,True,False
unexpectedErrorHandler,3,True,False,True,True,False
verifyCallback,2,True,True,True,True,False
auth,1,True,False,True,True,False
validate,1,True,True,True,True,False
paginate,1,True,False,True,True,False
paginate,1,True,False,True,True,False
deleteAtPath,3,True,True,True,True,False
toJSON,2,False,False,True,True,False
isEmailTaken,3,True,True,True,True,False
isPasswordMatch,3,True,True,True,True,False
loginUserWithEmailAndPassword,6,True,True,True,True,False
logout,1,True,True,True,True,False
refreshAuth,2,True,True,True,True,False
resetPassword,2,True,True,True,True,False
verifyEmail,2,True,True,True,True,False
sendEmail,2,True,True,True,True,False
sendResetPasswordEmail,4,True,True,True,True,False
sendVerificationEmail,3,True,True,True,True,False
generateToken,2,True,True,True,True,False
saveToken,2,True,True,True,True,False
verifyToken,2,True,True,True,True,False
generateAuthTokens,3,True,True,True,True,False
generateResetPasswordToken,4,True,True,True,True,False
generateVerifyEmailToken,4,True,True,True,True,False
createUser,2,True,True,True,True,False
queryUsers,2,True,False,True,True,False
getUserById,4,False,True,True,True,False
getUserByEmail,4,True,True,True,True,False
updateUserById,4,False,True,True,True,False
deleteUserById,4,False,True,True,True,False
catchAsync,2,False,True,True,True,False
pick,1,True,True,True,True,False
objectId,2,False,False,True,True,False
password,1,True,False,True,True,False
setupTestDB,3,True,True,True,True,False
