Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
encode,encode,True,ADJ,6
deepClone,deep,True,ADV,4
deepClone,Clone,True,NOUN,5
DFS,DFS,False,PROPN,3
insertHighlightedCode,insert,True,ADJ,6
insertHighlightedCode,Highlighted,True,VERB,11
insertHighlightedCode,Code,True,NOUN,4
onmessage,on,True,ADP,2
onmessage,message,True,NOUN,7
Token,Token,True,PROPN,5
stringify,stringify,False,VERB,9
stringify,stringify,False,VERB,9
matchPattern,match,True,VERB,5
matchPattern,Pattern,True,NOUN,7
matchGrammar,match,True,VERB,5
matchGrammar,Grammar,True,PROPN,7
LinkedList,Linked,True,VERB,6
LinkedList,List,True,NOUN,4
addAfter,add,True,VERB,3
addAfter,After,True,ADP,5
removeRange,remove,True,VERB,6
removeRange,Range,True,NOUN,5
toArray,to,True,PART,2
toArray,Array,True,VERB,5
highlightAutomaticallyCallback,highlight,True,VERB,9
highlightAutomaticallyCallback,Automatically,True,ADV,13
highlightAutomaticallyCallback,Callback,True,NOUN,8
addInlined,add,True,VERB,3
addInlined,Inlined,False,VERB,7
NormalizeWhitespace,Normalize,True,PROPN,9
NormalizeWhitespace,Whitespace,False,PROPN,10
toCamelCase,to,True,PART,2
toCamelCase,Camel,True,NOUN,5
toCamelCase,Case,True,NOUN,4
tabLen,tab,True,VERB,3
tabLen,Len,True,NOUN,3
Tablesort,Table,True,NOUN,5
Tablesort,sort,True,VERB,4
createEvent,create,True,VERB,6
createEvent,Event,True,NOUN,5
getInnerText,get,True,VERB,3
getInnerText,Inner,True,ADJ,5
getInnerText,Text,True,NOUN,4
caseInsensitiveSort,case,True,NOUN,4
caseInsensitiveSort,Insensitive,True,VERB,11
caseInsensitiveSort,Sort,True,ADV,4
getCellByKey,get,True,VERB,3
getCellByKey,Cell,True,NOUN,4
getCellByKey,By,True,ADP,2
getCellByKey,Key,True,ADJ,3
stabilize,stabilize,True,VERB,9
extend,extend,True,VERB,6
onClick,on,True,ADP,2
onClick,Click,True,VERB,5
cleanNumber,clean,True,VERB,5
cleanNumber,Number,True,NOUN,6
compareNumber,compare,True,VERB,7
compareNumber,Number,True,NOUN,6
