Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
useRouter,2,True,True,True,True,False
useLocationFromRouter,4,True,True,True,True,False
useLocation,2,True,True,True,True,False
useRoute,2,True,True,True,True,False
useParams,2,False,True,True,True,False
updateRouter,2,True,True,True,True,False
Router,1,True,False,True,False,False
ParamsWrapper,2,False,False,True,False,False
Route,1,True,False,True,False,False
flattenChildren,2,True,True,True,True,False
Switch,1,True,True,True,False,False
Redirect,1,True,True,True,False,False
getRegexp,2,True,True,True,True,False
makeMatcher,2,True,True,True,True,False
escapeRx,2,False,True,True,True,False
rxForSegment,3,True,True,True,True,False
pathToRegexp,3,True,False,True,True,False
relativePath,2,True,False,True,True,False
absolutePath,2,True,True,True,True,False
is,1,True,False,True,True,False
useSyncExternalStore,4,True,True,True,True,False
forwardRef,2,True,True,True,True,False
useEvent,2,True,True,True,True,False
useEvent,2,True,True,True,True,False
hook,1,True,False,True,True,False
customMatcher,2,True,True,True,True,False
routeMatches,2,True,False,True,True,False
LinkWithForwardedRef,4,True,True,True,False,False
clickHandler,2,True,True,True,True,False
LocationPrinter,2,True,False,True,False,False
App,1,True,False,True,False,False
testRouteRender,3,True,False,True,True,False
Users,1,True,False,True,False,False
App,1,True,False,True,False,False
HookRoute,2,True,True,True,False,False
App,1,True,False,True,False,False
App,1,True,False,True,False,False
App,1,True,False,True,False,False
memoryLocation,2,True,False,True,True,False
navigate,1,True,True,True,True,False
customHookWithReturn,4,True,True,True,True,False
subscribeToLocationUpdates,4,True,True,True,True,False
useLocationProperty,3,True,True,True,True,False
currentSearch,2,True,False,True,True,False
useSearch,2,True,True,True,True,False
currentPathname,3,True,False,True,False,False
usePathname,3,True,True,True,False,False
navigate,1,True,True,True,True,False
useLocation,2,True,True,True,True,False
type,1,True,False,True,True,False
