Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
useRouter,use,True,VERB,3
useRouter,Router,True,NOUN,6
useLocationFromRouter,use,True,VERB,3
useLocationFromRouter,Location,True,NOUN,8
useLocationFromRouter,From,True,ADP,4
useLocationFromRouter,Router,True,NOUN,6
useLocation,use,True,VERB,3
useLocation,Location,True,NOUN,8
useRoute,use,True,VERB,3
useRoute,Route,True,NOUN,5
useParams,use,True,VERB,3
useParams,Params,False,NOUN,6
updateRouter,update,True,VERB,6
updateRouter,Router,True,NOUN,6
Router,Router,True,NOUN,6
ParamsWrapper,Params,False,NOUN,6
ParamsWrapper,Wrapper,True,NOUN,7
Route,Route,True,NOUN,5
flattenChildren,flatten,True,VERB,7
flattenChildren,Children,True,NOUN,8
Switch,Switch,True,VERB,6
Redirect,Redirect,True,VERB,8
getRegexp,get,True,VERB,3
getRegexp,Regexp,True,PROPN,6
makeMatcher,make,True,VERB,4
makeMatcher,Matcher,True,VERB,7
escapeRx,escape,True,VERB,6
escapeRx,Rx,True,VERB,2
rxForSegment,rx,False,VERB,2
rxForSegment,For,True,ADP,3
rxForSegment,Segment,True,NOUN,7
pathToRegexp,path,True,NOUN,4
pathToRegexp,To,True,PART,2
pathToRegexp,Regexp,True,PROPN,6
relativePath,relative,True,NOUN,8
relativePath,Path,True,NOUN,4
absolutePath,absolute,True,VERB,8
absolutePath,Path,True,NOUN,4
is,is,True,AUX,2
useSyncExternalStore,use,True,VERB,3
useSyncExternalStore,Sync,True,NOUN,4
useSyncExternalStore,External,True,ADJ,8
useSyncExternalStore,Store,True,NOUN,5
forwardRef,forward,True,ADV,7
forwardRef,Ref,True,VERB,3
useEvent,use,True,VERB,3
useEvent,Event,True,NOUN,5
useEvent,use,True,VERB,3
useEvent,Event,True,NOUN,5
hook,hook,True,NOUN,4
customMatcher,custom,True,NOUN,6
customMatcher,Matcher,True,VERB,7
routeMatches,route,True,NOUN,5
routeMatches,Matches,True,NOUN,7
LinkWithForwardedRef,Link,True,NOUN,4
LinkWithForwardedRef,With,True,ADP,4
LinkWithForwardedRef,Forwarded,True,VERB,9
LinkWithForwardedRef,Ref,True,VERB,3
clickHandler,click,True,VERB,5
clickHandler,Handler,True,NOUN,7
LocationPrinter,Location,True,NOUN,8
LocationPrinter,Printer,True,NOUN,7
App,App,True,PROPN,3
testRouteRender,test,True,NOUN,4
testRouteRender,Route,True,NOUN,5
testRouteRender,Render,True,PROPN,6
Users,Users,True,NOUN,5
App,App,True,PROPN,3
HookRoute,Hook,True,VERB,4
HookRoute,Route,True,NOUN,5
App,App,True,PROPN,3
App,App,True,PROPN,3
App,App,True,PROPN,3
memoryLocation,memory,True,NOUN,6
memoryLocation,Location,True,NOUN,8
navigate,navigate,True,VERB,8
customHookWithReturn,custom,True,NOUN,6
customHookWithReturn,Hook,True,VERB,4
customHookWithReturn,With,True,ADP,4
customHookWithReturn,Return,True,VERB,6
subscribeToLocationUpdates,subscribe,True,VERB,9
subscribeToLocationUpdates,To,True,PART,2
subscribeToLocationUpdates,Location,True,NOUN,8
subscribeToLocationUpdates,Updates,True,NOUN,7
useLocationProperty,use,True,VERB,3
useLocationProperty,Location,True,NOUN,8
useLocationProperty,Property,True,NOUN,8
currentSearch,current,True,ADJ,7
currentSearch,Search,True,NOUN,6
useSearch,use,True,VERB,3
useSearch,Search,True,NOUN,6
currentPathname,current,True,ADJ,7
currentPathname,Path,True,NOUN,4
currentPathname,name,True,NOUN,4
usePathname,use,True,VERB,3
usePathname,Path,True,NOUN,4
usePathname,name,True,NOUN,4
navigate,navigate,True,VERB,8
useLocation,use,True,VERB,3
useLocation,Location,True,NOUN,8
type,type,True,NOUN,4
