Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
addTwo,add,True,VERB,3
addTwo,Two,True,NUM,3
multiply,multiply,True,VERB,8
subtract,subtract,True,VERB,8
doSomeMath,do,True,VERB,2
doSomeMath,Some,True,PRON,4
doSomeMath,Math,True,NOUN,4
hexaColor,hexa,False,NOUN,4
hexaColor,Color,True,NOUN,5
HexaColor,Hexa,False,NOUN,4
HexaColor,Color,True,NOUN,5
Header,Header,True,NOUN,6
UserCard,User,True,NOUN,4
UserCard,Card,True,NOUN,4
TechList,Tech,True,NOUN,4
TechList,List,True,NOUN,4
Button,Button,True,PROPN,6
Main,Main,True,ADJ,4
Footer,Footer,True,PROPN,6
App,App,True,PROPN,3
Country,Country,True,NOUN,7
Countries,Countries,True,NOUN,9
App,App,True,PROPN,3
HexaColor,Hexa,False,NOUN,4
HexaColor,Color,True,NOUN,5
Footer,Footer,True,PROPN,6
Header,Header,True,NOUN,6
Message,Message,True,NOUN,7
Login,Login,True,VERB,5
Welcome,Welcome,True,VERB,7
Button,Button,True,PROPN,6
UserCard,User,True,NOUN,4
UserCard,Card,True,NOUN,4
showDate,show,True,VERB,4
showDate,Date,True,NOUN,4
hexaColor,hexa,False,NOUN,4
hexaColor,Color,True,NOUN,5
Button,Button,True,PROPN,6
buttonWithStyles,button,True,PROPN,6
buttonWithStyles,With,True,ADP,4
buttonWithStyles,Styles,True,NOUN,6
Country,Country,True,NOUN,7
fetchData,fetch,True,VERB,5
fetchData,Data,True,NOUN,4
App,App,True,PROPN,3
Country,Country,True,NOUN,7
fetchData,fetch,True,VERB,5
fetchData,Data,True,NOUN,4
App,App,True,PROPN,3
Country,Country,True,NOUN,7
App,App,True,PROPN,3
fetchData,fetch,True,VERB,5
fetchData,Data,True,NOUN,4
useFetch,use,True,VERB,3
useFetch,Fetch,True,VERB,5
Country,Country,True,NOUN,7
App,App,True,PROPN,3
fetchData,fetch,True,VERB,5
fetchData,Data,True,NOUN,4
useFetch,use,True,VERB,3
useFetch,Fetch,True,VERB,5
onClick,on,True,ADP,2
onClick,Click,True,VERB,5
App,App,True,PROPN,3
fetchData,fetch,True,VERB,5
fetchData,Data,True,NOUN,4
useFetch,use,True,VERB,3
useFetch,Fetch,True,VERB,5
onClick,on,True,ADP,2
onClick,Click,True,VERB,5
App,App,True,PROPN,3
fetchData,fetch,True,VERB,5
fetchData,Data,True,NOUN,4
useFetch,use,True,VERB,3
useFetch,Fetch,True,VERB,5
onClick,on,True,ADP,2
onClick,Click,True,VERB,5
App,App,True,PROPN,3
fetchData,fetch,True,VERB,5
fetchData,Data,True,NOUN,4
useFetch,use,True,VERB,3
useFetch,Fetch,True,VERB,5
onClick,on,True,ADP,2
onClick,Click,True,VERB,5
App,App,True,PROPN,3
fetchData,fetch,True,VERB,5
fetchData,Data,True,NOUN,4
useFetch,use,True,VERB,3
useFetch,Fetch,True,VERB,5
