Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
hooks,hooks,True,NOUN,5
setHookCallback,set,True,VERB,3
setHookCallback,Hook,True,VERB,4
setHookCallback,Callback,True,NOUN,8
isArray,is,True,AUX,2
isArray,Array,True,VERB,5
isObject,is,True,AUX,2
isObject,Object,True,VERB,6
hasOwnProp,has,True,VERB,3
hasOwnProp,Own,True,VERB,3
hasOwnProp,Prop,True,PROPN,4
isObjectEmpty,is,True,AUX,2
isObjectEmpty,Object,True,VERB,6
isObjectEmpty,Empty,True,ADJ,5
isUndefined,is,True,AUX,2
isUndefined,Undefined,True,VERB,9
isNumber,is,True,AUX,2
isNumber,Number,True,NOUN,6
isDate,is,True,AUX,2
isDate,Date,True,NOUN,4
map,map,True,NOUN,3
extend,extend,True,VERB,6
createUTC,create,True,VERB,6
createUTC,UTC,True,NOUN,3
defaultParsingFlags,default,True,NOUN,7
defaultParsingFlags,Parsing,True,VERB,7
defaultParsingFlags,Flags,True,NOUN,5
getParsingFlags,get,True,VERB,3
getParsingFlags,Parsing,True,VERB,7
getParsingFlags,Flags,True,NOUN,5
isValid,is,True,AUX,2
isValid,Valid,True,ADJ,5
createInvalid,create,True,VERB,6
createInvalid,Invalid,True,PROPN,7
copyConfig,copy,True,NOUN,4
copyConfig,Config,False,PROPN,6
Moment,Moment,True,NOUN,6
isMoment,is,True,AUX,2
isMoment,Moment,True,NOUN,6
warn,warn,True,VERB,4
deprecate,deprecate,True,NOUN,9
deprecateSimple,deprecate,True,NOUN,9
deprecateSimple,Simple,True,ADJ,6
isFunction,is,True,AUX,2
isFunction,Function,True,NOUN,8
set,set,True,VERB,3
mergeConfigs,merge,True,VERB,5
mergeConfigs,Configs,False,NOUN,7
Locale,Locale,True,NOUN,6
calendar,calendar,True,NOUN,8
zeroFill,zero,True,NUM,4
zeroFill,Fill,True,VERB,4
ordinal,ordinal,True,ADJ,7
addFormatToken,add,True,VERB,3
addFormatToken,Format,True,PROPN,6
addFormatToken,Token,True,PROPN,5
removeFormattingTokens,remove,True,VERB,6
removeFormattingTokens,Formatting,True,VERB,10
removeFormattingTokens,Tokens,True,PROPN,6
makeFormatFunction,make,True,VERB,4
makeFormatFunction,Format,True,PROPN,6
makeFormatFunction,Function,True,NOUN,8
formatMoment,format,True,NOUN,6
formatMoment,Moment,True,NOUN,6
replaceLongDateFormatTokens,replace,True,VERB,7
replaceLongDateFormatTokens,Long,True,ADV,4
