Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
travel,travel,True,NOUN,6
compare,compare,True,VERB,7
getDir,get,True,VERB,3
getDir,Dir,True,PROPN,3
getEasySpiderLocation,get,True,VERB,3
getEasySpiderLocation,Easy,True,ADJ,4
getEasySpiderLocation,Spider,True,PROPN,6
getEasySpiderLocation,Location,True,NOUN,8
start,start,True,VERB,5
bzreadXPath,bz,False,ADJ,2
bzreadXPath,read,True,VERB,4
bzreadXPath,X,True,NOUN,1
bzreadXPath,Path,True,NOUN,4
oncontextmenu,on,True,ADP,2
oncontextmenu,context,True,NOUN,7
oncontextmenu,menu,True,NOUN,4
onkeydown,on,True,ADP,2
onkeydown,key,True,ADJ,3
onkeydown,down,True,ADV,4
bzaddEl,bz,False,ADJ,2
bzaddEl,add,True,VERB,3
bzaddEl,El,True,NOUN,2
bzclear,bz,False,ADJ,2
bzclear,clear,True,ADJ,5
readXPath,read,True,VERB,4
readXPath,X,True,NOUN,1
readXPath,Path,True,NOUN,4
clear,clear,True,ADJ,5
m,m,True,VERB,1
x,x,True,VERB,1
b,b,True,X,1
w,w,True,PROPN,1
k,k,True,NOUN,1
d,d,True,X,1
extend,extend,True,VERB,6
D,D,True,PROPN,1
P,P,True,NOUN,1
ne,ne,True,PROPN,2
ie,ie,False,ADP,2
oe,oe,False,ADV,2
se,se,False,PROPN,2
e,e,True,X,1
ue,ue,False,ADV,2
le,le,False,INTJ,2
ce,ce,False,VERB,2
fe,fe,False,X,2
pe,pe,True,ADP,2
de,de,True,X,2
he,he,True,PRON,2
ge,ge,False,PROPN,2
ve,ve,False,VERB,2
ye,ye,True,ADJ,2
isXML,is,True,AUX,2
isXML,XML,True,VERB,3
ID,ID,True,PROPN,2
ID,ID,True,PROPN,2
ID,ID,True,PROPN,2
ID,ID,True,PROPN,2
setDocument,set,True,VERB,3
setDocument,Document,True,NOUN,8
matches,matches,True,NOUN,7
matchesSelector,matches,True,NOUN,7
matchesSelector,Selector,True,NOUN,8
contains,contains,True,VERB,8
attr,attr,False,PROPN,4
escape,escape,True,VERB,6
error,error,True,NOUN,5
uniqueSort,unique,True,ADJ,6
uniqueSort,Sort,True,ADV,4
getText,get,True,VERB,3
getText,Text,True,NOUN,4
me,me,True,PRON,2
xe,xe,False,PROPN,2
be,be,True,AUX,2
we,we,True,PRON,2
Te,Te,True,ADV,2
Ce,Ce,True,VERB,2
Ee,Ee,False,NOUN,2
tokenize,tokenize,False,VERB,8
compile,compile,True,NOUN,7
select,select,True,ADJ,6
T,T,True,NOUN,1
S,S,True,NOUN,1
A,A,True,PRON,1
j,j,True,NOUN,1
filter,filter,True,VERB,6
init,init,True,PROPN,4
P,P,True,NOUN,1
r,r,True,X,1
M,M,True,NOUN,1
I,I,True,PRON,1
W,W,True,NOUN,1
c,c,True,NOUN,1
n,n,True,CCONJ,1
Callbacks,Callbacks,True,NOUN,9
e,e,True,X,1
l,l,True,NOUN,1
a,a,True,PRON,1
exceptionHook,exception,True,NOUN,9
exceptionHook,Hook,True,VERB,4
readyException,ready,True,ADJ,5
readyException,Exception,True,NOUN,9
B,B,True,NOUN,1
ready,ready,True,ADJ,5
X,X,True,NOUN,1
V,V,True,NOUN,1
G,G,True,NOUN,1
Y,Y,True,NOUN,1
ee,ee,False,PROPN,2
s,s,True,NOUN,1
oe,oe,False,ADV,2
se,se,False,PROPN,2
ue,ue,False,ADV,2
le,le,False,INTJ,2
fe,fe,False,X,2
ve,ve,False,VERB,2
ye,ye,True,ADJ,2
we,we,True,PRON,2
ke,ke,False,VERB,2
Se,Se,True,PROPN,2
Ne,Ne,True,NOUN,2
Ae,Ae,True,ADV,2
De,De,True,INTJ,2
handle,handle,True,VERB,6
removeEvent,remove,True,VERB,6
removeEvent,Event,True,NOUN,5
Event,Event,True,NOUN,5
Oe,Oe,True,NOUN,2
Pe,Pe,True,NOUN,2
Re,Re,True,ADP,2
Me,Me,True,PRON,2
Ie,Ie,False,VERB,2
We,We,True,PRON,2
e,e,True,X,1
Fe,Fe,True,NOUN,2
_e,e,True,X,1
ze,ze,False,PROPN,2
e,e,True,X,1
t,t,True,NOUN,1
Ge,Ge,True,PROPN,2
Ze,Ze,False,NOUN,2
et,et,True,VERB,2
tt,tt,False,NOUN,2
nt,nt,False,PART,2
lt,lt,False,PROPN,2
ct,ct,True,ADV,2
ft,ft,True,PROPN,2
pt,pt,True,X,2
u,u,True,NOUN,1
dt,dt,False,PROPN,2
fire,fire,True,NOUN,4
complete,complete,True,ADJ,8
speed,speed,True,NOUN,5
a,a,True,PRON,1
a,a,True,PRON,1
r,r,True,X,1
e,e,True,X,1
tick,tick,True,VERB,4
timer,timer,True,NOUN,5
start,start,True,VERB,5
stop,stop,True,VERB,4
stop,stop,True,VERB,4
delay,delay,True,NOUN,5
t,t,True,NOUN,1
mt,mt,True,PROPN,2
xt,xt,False,ADP,2
bt,bt,False,ADJ,2
get,get,True,VERB,3
Ct,Ct,True,NOUN,2
i,i,True,PRON,1
parseXML,parse,True,VERB,5
parseXML,XML,True,VERB,3
qt,qt,True,VERB,2
i,i,True,PRON,1
param,param,False,VERB,5
Bt,Bt,True,PROPN,2
l,l,True,NOUN,1
_t,t,True,NOUN,1
zt,zt,False,PROPN,2
l,l,True,NOUN,1
i,i,True,PRON,1
_evalUrl,eval,False,NOUN,4
_evalUrl,Url,False,NOUN,3
hidden,hidden,True,VERB,6
visible,visible,True,ADJ,7
xhr,xhr,False,PROPN,3
onreadystatechange,on,True,ADP,2
onreadystatechange,ready,True,ADJ,5
onreadystatechange,state,True,NOUN,5
onreadystatechange,change,True,VERB,6
r,r,True,X,1
parseHTML,parse,True,VERB,5
parseHTML,HTML,True,NOUN,4
load,load,True,NOUN,4
t,t,True,NOUN,1
animated,animated,True,VERB,8
t,t,True,NOUN,1
o,o,True,X,1
n,n,True,CCONJ,1
proxy,proxy,True,NOUN,5
holdReady,hold,True,VERB,4
holdReady,Ready,True,ADJ,5
isNumeric,is,True,AUX,2
isNumeric,Numeric,True,PROPN,7
noConflict,no,True,INTJ,2
noConflict,Conflict,True,NOUN,8
_defineProperties,define,True,VERB,6
_defineProperties,Properties,True,NOUN,10
_createClass,create,True,VERB,6
_createClass,Class,True,NOUN,5
_defineProperty,define,True,VERB,6
_defineProperty,Property,True,NOUN,8
ownKeys,own,True,ADJ,3
ownKeys,Keys,True,NOUN,4
_objectSpread2,object,True,NOUN,6
_objectSpread2,Spread,True,VERB,6
_objectSpread2,2,True,NUM,1
_inheritsLoose,inherits,True,NOUN,8
_inheritsLoose,Loose,True,ADJ,5
toType,to,True,PART,2
toType,Type,True,NOUN,4
handle,handle,True,VERB,6
getSpecialTransitionEndEvent,get,True,VERB,3
getSpecialTransitionEndEvent,Special,True,ADJ,7
getSpecialTransitionEndEvent,Transition,True,NOUN,10
getSpecialTransitionEndEvent,End,True,NOUN,3
getSpecialTransitionEndEvent,Event,True,NOUN,5
transitionEndEmulator,transition,True,NOUN,10
transitionEndEmulator,End,True,NOUN,3
transitionEndEmulator,Emulator,True,NOUN,8
setTransitionEndSupport,set,True,VERB,3
setTransitionEndSupport,Transition,True,NOUN,10
setTransitionEndSupport,End,True,NOUN,3
setTransitionEndSupport,Support,True,NOUN,7
getUID,get,True,VERB,3
getUID,UID,False,PROPN,3
getSelectorFromElement,get,True,VERB,3
getSelectorFromElement,Selector,True,NOUN,8
getSelectorFromElement,From,True,ADP,4
getSelectorFromElement,Element,True,NOUN,7
getTransitionDurationFromElement,get,True,VERB,3
getTransitionDurationFromElement,Transition,True,NOUN,10
getTransitionDurationFromElement,Duration,True,NOUN,8
getTransitionDurationFromElement,From,True,ADP,4
getTransitionDurationFromElement,Element,True,NOUN,7
reflow,reflow,True,NOUN,6
triggerTransitionEnd,trigger,True,NOUN,7
triggerTransitionEnd,Transition,True,NOUN,10
triggerTransitionEnd,End,True,NOUN,3
supportsTransitionEnd,supports,True,VERB,8
supportsTransitionEnd,Transition,True,NOUN,10
supportsTransitionEnd,End,True,NOUN,3
isElement,is,True,AUX,2
isElement,Element,True,NOUN,7
typeCheckConfig,type,True,NOUN,4
typeCheckConfig,Check,True,VERB,5
typeCheckConfig,Config,False,PROPN,6
findShadowRoot,find,True,VERB,4
findShadowRoot,Shadow,True,PROPN,6
findShadowRoot,Root,True,VERB,4
jQueryDetection,j,True,NOUN,1
jQueryDetection,Query,True,NOUN,5
jQueryDetection,Detection,True,NOUN,9
Alert,Alert,True,NOUN,5
close,close,True,VERB,5
close,close,True,VERB,5
dispose,dispose,True,VERB,7
dispose,dispose,True,VERB,7
_getRootElement,get,True,VERB,3
_getRootElement,Root,True,VERB,4
_getRootElement,Element,True,NOUN,7
_getRootElement,get,True,VERB,3
_getRootElement,Root,True,VERB,4
