Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
createDocumentHandler,create,True,VERB,6
createDocumentHandler,Document,True,NOUN,8
createDocumentHandler,Handler,True,NOUN,7
_colorChange,color,True,NOUN,5
_colorChange,Change,True,VERB,6
clear,clear,True,ADJ,5
handleMouseDown,handle,True,VERB,6
handleMouseDown,Mouse,True,NOUN,5
handleMouseDown,Down,True,ADV,4
handleMouseMove,handle,True,VERB,6
handleMouseMove,Mouse,True,NOUN,5
handleMouseMove,Move,True,VERB,4
handleMouseUp,handle,True,VERB,6
handleMouseUp,Mouse,True,NOUN,5
handleMouseUp,Up,True,ADV,2
handleTouchStart,handle,True,VERB,6
handleTouchStart,Touch,True,VERB,5
handleTouchStart,Start,True,VERB,5
handleTouchEnd,handle,True,VERB,6
handleTouchEnd,Touch,True,VERB,5
handleTouchEnd,End,True,NOUN,3
handleTouchMove,handle,True,VERB,6
handleTouchMove,Touch,True,VERB,5
handleTouchMove,Move,True,VERB,4
onPointerDown,on,True,ADP,2
onPointerDown,Pointer,True,NOUN,7
onPointerDown,Down,True,ADV,4
onPointerUp,on,True,ADP,2
onPointerUp,Pointer,True,NOUN,7
onPointerUp,Up,True,ADV,2
onPointerMove,on,True,ADP,2
onPointerMove,Pointer,True,NOUN,7
onPointerMove,Move,True,VERB,4
addDragOverlay,add,True,VERB,3
addDragOverlay,Drag,True,VERB,4
addDragOverlay,Overlay,True,VERB,7
removeOverlay,remove,True,VERB,6
removeOverlay,Overlay,True,VERB,7
isSingleClick,is,True,AUX,2
isSingleClick,Single,True,ADJ,6
isSingleClick,Click,True,VERB,5
findTrackedElementUnderCursor,find,True,VERB,4
findTrackedElementUnderCursor,Tracked,True,VERB,7
findTrackedElementUnderCursor,Element,True,NOUN,7
findTrackedElementUnderCursor,Under,True,ADP,5
findTrackedElementUnderCursor,Cursor,True,PROPN,6
deselect,deselect,True,VERB,8
select,select,True,ADJ,6
intersects,intersects,True,NOUN,10
getRectangle,get,True,VERB,3
getRectangle,Rectangle,True,NOUN,9
track,track,True,VERB,5
dispose,dispose,True,VERB,7
createOverlayManager,create,True,VERB,6
createOverlayManager,Overlay,True,VERB,7
createOverlayManager,Manager,True,NOUN,7
renderResizeHandlers,render,True,VERB,6
renderResizeHandlers,Resize,True,NOUN,6
renderResizeHandlers,Handlers,True,NOUN,8
toBlob,to,True,PART,2
toBlob,Blob,True,PROPN,4
toBlob,to,True,PART,2
toBlob,Blob,True,PROPN,4
load,load,True,NOUN,4
queryLayerAll,query,True,NOUN,5
queryLayerAll,Layer,True,NOUN,5
queryLayerAll,All,True,PRON,3
queryLayer,query,True,NOUN,5
queryLayer,Layer,True,NOUN,5
add,add,True,VERB,3
saveToPNG,save,True,VERB,4
saveToPNG,To,True,PART,2
saveToPNG,PNG,False,PROPN,3
saveToSVG,save,True,VERB,4
saveToSVG,To,True,PART,2
saveToSVG,SVG,False,PROPN,3
triggerTransform,trigger,True,NOUN,7
triggerTransform,Transform,True,VERB,9
triggerAdd,trigger,True,NOUN,7
triggerAdd,Add,True,VERB,3
triggerRemove,trigger,True,NOUN,7
triggerRemove,Remove,True,VERB,6
listenToEvents,listen,True,VERB,6
listenToEvents,To,True,PART,2
listenToEvents,Events,True,NOUN,6
unsubscribeFromEvents,unsubscribe,True,ADJ,11
unsubscribeFromEvents,From,True,ADP,4
unsubscribeFromEvents,Events,True,NOUN,6
onKeyDown,on,True,ADP,2
onKeyDown,Key,True,ADJ,3
onKeyDown,Down,True,ADV,4
onKeyUp,on,True,ADP,2
onKeyUp,Key,True,ADJ,3
onKeyUp,Up,True,ADV,2
createScene,create,True,VERB,6
createScene,Scene,True,NOUN,5
findBoundaryByName,find,True,VERB,4
findBoundaryByName,Boundary,True,NOUN,8
findBoundaryByName,By,True,ADP,2
findBoundaryByName,Name,True,NOUN,4
extractBoundaries,extract,True,VERB,7
extractBoundaries,Boundaries,True,NOUN,10
getZazzleLink,get,True,VERB,3
getZazzleLink,Zazzle,False,PROPN,6
getZazzleLink,Link,True,NOUN,4
generateZazzleLink,generate,True,VERB,8
generateZazzleLink,Zazzle,False,PROPN,6
generateZazzleLink,Link,True,NOUN,4
project,project,True,NOUN,7
toRatioColor,to,True,PART,2
toRatioColor,Ratio,True,NOUN,5
toRatioColor,Color,True,NOUN,5
getProtoLayer,get,True,VERB,3
getProtoLayer,Proto,False,PROPN,5
getProtoLayer,Layer,True,NOUN,5
serializeBBox,serialize,True,VERB,9
serializeBBox,B,True,NOUN,1
serializeBBox,Box,True,NOUN,3
fetchFrom,fetch,True,VERB,5
fetchFrom,From,True,ADP,4
handleError,handle,True,VERB,6
handleError,Error,True,NOUN,5
postData,post,True,NOUN,4
postData,Data,True,NOUN,4
protoBufExport,proto,False,NOUN,5
protoBufExport,Buf,False,PROPN,3
protoBufExport,Export,True,NOUN,6
cancelDownload,cancel,True,VERB,6
cancelDownload,Download,True,NOUN,8
updateProgress,update,True,VERB,6
