Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
uptimeFetcher,2,True,True,True,True,False
shieldsUptimeBadge,3,True,True,True,True,False
getReviewer,2,True,True,True,True,False
fetchOpenPRs,3,False,True,True,True,False
pullsWithLabel,3,True,True,True,True,False
isStale,2,True,False,True,True,False
run,1,True,True,True,True,False
createRepoMdLink,4,False,True,True,True,False
createStatMdLink,4,False,True,True,True,False
generateLinks,2,True,True,True,True,False
createTableItem,3,True,True,True,True,False
generateTable,2,True,True,True,True,False
buildReadme,2,False,True,True,True,False
getRepoInfo,3,True,True,True,True,False
getGithubToken,3,False,True,True,True,False
exponential_cdf,2,False,False,True,False,True
log_normal_cdf,3,False,True,True,False,True
calculateRank,2,True,True,True,True,False
getBadgeSVG,3,False,True,True,True,False
renderRepoCard,3,True,True,True,True,False
getLongestLang,3,False,True,True,True,False
degreesToRadians,3,True,False,True,True,False
radiansToDegrees,3,True,False,True,True,False
polarToCartesian,3,False,False,True,True,False
cartesianToPolar,3,True,False,True,True,False
getCircleLength,3,True,True,True,True,False
calculateCompactLayoutHeight,4,True,True,True,True,False
calculateNormalLayoutHeight,4,True,True,True,True,False
calculateDonutLayoutHeight,4,True,True,True,True,False
calculateDonutVerticalLayoutHeight,5,True,True,True,True,False
calculatePieLayoutHeight,4,True,True,True,True,False
donutCenterTranslation,3,True,False,True,True,False
trimTopLanguages,3,True,True,True,True,False
createProgressTextNode,4,True,True,True,True,False
createCompactLangNode,4,False,True,True,True,False
createLanguageTextNode,4,True,True,True,True,False
createDonutLanguagesNode,4,True,True,True,True,False
renderNormalLayout,3,True,True,True,True,False
renderCompactLayout,3,True,True,True,True,False
renderDonutVerticalLayout,4,True,True,True,True,False
renderPieLayout,3,True,True,True,True,False
createDonutPaths,3,True,True,True,True,False
renderDonutLayout,3,True,True,True,True,False
noLanguagesDataNode,4,False,False,True,True,False
getDefaultLanguagesCountByLayout,6,True,True,True,True,False
renderTopLanguages,3,True,True,True,True,False
createProgressNode,3,True,True,True,True,False
rankIcon,2,True,False,True,True,False
retryer,1,False,False,True,True,False
fetcher,1,True,False,True,True,False
calculatePrimaryLanguage,3,True,True,True,True,False
fetchGist,2,True,True,True,True,False
fetcher,1,True,False,True,True,False
statsFetcher,2,True,False,True,True,False
fetchTotalCommits,3,True,True,True,True,False
totalCommitsFetcher,3,True,True,True,True,False
fetchStats,2,True,True,True,True,False
fetchWakatimeStats,4,False,True,True,False,False
calculateCircleProgress,3,True,True,True,True,False
getProgressAnimation,3,True,True,True,True,False
getAnimations,2,True,True,True,True,False
getStyles,2,True,True,True,True,False
statCardLocales,3,True,False,True,True,False
isLocaleAvailable,3,True,False,True,True,False
