Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
handler,1,True,False,True,True,False
handler,1,True,False,True,True,False
_retry,1,True,False,True,True,False
MagicJS,2,False,False,True,False,False
CheckInNewVerrsion,6,False,True,True,False,False
GetMili,2,False,True,True,False,False
handler,1,True,False,True,True,False
handler,1,True,False,True,True,False
_retry,1,True,False,True,True,False
MagicJS,2,False,False,True,False,False
Signin,2,True,True,True,False,False
SigninHomePage,4,True,True,True,False,False
handler,1,True,False,True,True,False
handler,1,True,False,True,True,False
_retry,1,True,False,True,True,False
MagicJS,2,False,False,True,False,False
Main,1,True,False,True,False,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
MagicJS,2,False,False,True,False,False
UserLogin,2,True,True,True,False,False
AppSignin,3,True,True,True,False,False
DoubleAdPlaying,3,True,True,True,False,False
GetContinueCount,3,True,True,True,False,False
GetUserInfo,3,True,True,True,False,False
GetMeituanCoupon,3,False,True,True,False,False
GetSigninTasks,4,True,True,True,False,False
FinishVideo,2,True,False,True,False,False
GetSigninTaskPirze,5,False,True,True,False,False
GetLotteryCountDisable,4,True,True,True,False,False
GetLotteryCountNewVersionDisable,6,True,True,True,False,False
DailyLotteryDisable,3,True,False,True,False,False
DailyLotteryNewVersionDisable,5,True,False,True,False,False
StartDailyLottery,3,True,True,True,False,False
StartDailyLotteryNewVersionDisable,6,True,True,True,False,False
GetLotteryCountNewVersion,5,True,True,True,False,False
DailyLotteryNewVersion,4,True,False,True,False,False
StartDailyLotteryNewVersion,5,True,True,True,False,False
convertOptions,2,True,True,True,True,False
_retry,1,True,False,True,True,False
MagicJS,2,False,False,True,False,False
UserLogin,2,True,True,True,False,False
AppSignin,3,True,True,True,False,False
DoubleAdPlaying,3,True,True,True,False,False
GetContinueCount,3,True,True,True,False,False
GetUserInfo,3,True,True,True,False,False
GetMeituanCoupon,3,False,True,True,False,False
GetSigninTasks,4,True,True,True,False,False
FinishVideo,2,True,False,True,False,False
GetSigninTaskPirze,5,False,True,True,False,False
GetLotteryCount,3,True,True,True,False,False
GetLotteryCountNewVersion,5,True,True,True,False,False
DailyLottery,2,True,False,True,False,False
DailyLotteryNewVersion,4,True,False,True,False,False
StartDailyLottery,3,True,True,True,False,False
StartDailyLotteryNewVersion,5,True,True,True,False,False
handler,1,True,False,True,True,False
handler,1,True,False,True,True,False
_retry,1,True,False,True,True,False
MagicJS,2,False,False,True,False,False
CheckCookie,2,True,True,True,False,False
Checkin,2,True,True,True,False,False
GetBeikeAccount,4,False,True,True,False,False
AddBeikeAccount,4,False,True,True,False,False
GetAccountAllBeike,5,False,True,True,False,False
Main,1,True,False,True,False,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
MagicJS,2,False,False,True,False,False
BenefitCheckIn,3,True,True,True,False,False
GetOrderList,3,True,True,True,False,False
GetRewards,2,True,True,True,False,False
GetDrawAmount,3,True,True,True,False,False
LotteryDraw,2,True,True,True,False,False
getSourceId,3,False,True,True,True,False
DailyLotteryDraw,3,True,True,True,False,False
DailyLotteryRestart,3,True,False,True,False,False
GetUserInfo,3,True,True,True,False,False
CollectPoint,2,True,True,True,False,False
GetActivitiesDetail,3,True,True,True,False,False
PointSignin,3,True,True,True,False,False
PointLottery,2,True,True,True,False,False
GetPointSigninDay,5,True,True,True,False,False
GetWoolActivity,3,True,True,True,False,False
WoolSignin,3,True,True,True,False,False
CollectWools,2,False,True,True,False,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
MagicJS,2,False,False,True,False,False
Main,1,True,False,True,False,False
o,1,True,False,False,True,False
