Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
bunker,bunker,True,PROPN,6
_defineProperty,define,True,VERB,6
_defineProperty,Property,True,NOUN,8
_objectSpread,object,True,NOUN,6
_objectSpread,Spread,True,VERB,6
defineIcons,define,True,VERB,6
defineIcons,Icons,True,NOUN,5
bunker,bunker,True,PROPN,6
_defineProperty,define,True,VERB,6
_defineProperty,Property,True,NOUN,8
_objectSpread,object,True,NOUN,6
_objectSpread,Spread,True,VERB,6
defineIcons,define,True,VERB,6
defineIcons,Icons,True,NOUN,5
bunker,bunker,True,PROPN,6
_defineProperty,define,True,VERB,6
_defineProperty,Property,True,NOUN,8
_objectSpread,object,True,NOUN,6
_objectSpread,Spread,True,VERB,6
defineIcons,define,True,VERB,6
defineIcons,Icons,True,NOUN,5
_typeof,typ,True,NOUN,3
_typeof,eof,False,VERB,3
_classCallCheck,class,True,NOUN,5
_classCallCheck,Call,True,VERB,4
_classCallCheck,Check,True,VERB,5
_defineProperties,define,True,VERB,6
_defineProperties,Properties,True,NOUN,10
_createClass,create,True,VERB,6
_createClass,Class,True,NOUN,5
_defineProperty,define,True,VERB,6
_defineProperty,Property,True,NOUN,8
_objectSpread,object,True,NOUN,6
_objectSpread,Spread,True,VERB,6
_slicedToArray,sliced,True,VERB,6
_slicedToArray,To,True,PART,2
_slicedToArray,Array,True,VERB,5
_toConsumableArray,to,True,PART,2
_toConsumableArray,Consumable,True,ADJ,10
_toConsumableArray,Array,True,VERB,5
_arrayWithoutHoles,array,True,VERB,5
_arrayWithoutHoles,Without,True,ADP,7
_arrayWithoutHoles,Holes,True,NOUN,5
_arrayWithHoles,array,True,VERB,5
_arrayWithHoles,With,True,ADP,4
_arrayWithHoles,Holes,True,NOUN,5
_iterableToArray,iterable,False,ADJ,8
_iterableToArray,To,True,PART,2
_iterableToArray,Array,True,VERB,5
_iterableToArrayLimit,iterable,False,ADJ,8
_iterableToArrayLimit,To,True,PART,2
_iterableToArrayLimit,Array,True,VERB,5
_iterableToArrayLimit,Limit,True,VERB,5
_nonIterableSpread,non,True,NOUN,3
_nonIterableSpread,Iterable,False,ADJ,8
_nonIterableSpread,Spread,True,VERB,6
_nonIterableRest,non,True,NOUN,3
_nonIterableRest,Iterable,False,ADJ,8
_nonIterableRest,Rest,True,VERB,4
noop,noop,False,NOUN,4
noop,noop,False,NOUN,4
getAttrConfig,get,True,VERB,3
getAttrConfig,Attr,False,VERB,4
getAttrConfig,Config,False,PROPN,6
coerce,coerce,True,NOUN,6
listener,listener,True,NOUN,8
listener,listener,True,NOUN,8
domready,dom,True,NOUN,3
domready,ready,True,ADJ,5
NOOP,NOOP,False,PROPN,4
