Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
getUserDataDiskPath,5,True,True,True,True,False
isFile,2,True,True,True,True,False
isHiddenFile,3,True,True,True,True,False
isCDImage,3,False,False,True,True,False
isDiskImage,3,True,False,True,True,False
cleanupCopyPath,3,True,True,True,True,False
getUserDataDiskImage,5,True,True,True,True,False
preloadFilesAtPath,4,True,False,True,True,False
createPreloadedFile,3,True,True,True,True,False
loadDatafiles,3,True,False,True,False,False
addAutoloader,2,True,True,True,True,False
asyncInitCallback,3,False,False,True,True,False
waitForCustomAsyncInit,5,False,True,True,True,False
addCustomAsyncInit,4,False,True,True,True,False
writeSafely,2,True,True,True,True,False
writePrefs,2,False,True,True,True,False
getUserImages,3,True,True,True,True,False
getAutoLoadFiles,4,False,True,True,True,False
saveFilesInPath,4,True,True,True,True,False
onmessage,2,True,False,True,False,False
waitForTwoStateLock,5,True,True,True,True,False
releaseTwoStateLock,4,True,True,True,True,False
tryToAcquireCyclicalLock,5,True,True,True,True,False
releaseCyclicalLock,3,True,True,True,True,False
acquireInputLock,3,True,True,True,True,False
releaseInputLock,3,True,True,True,True,False
blit,2,True,True,False,False,False
openAudio,2,True,True,True,True,False
enqueueAudio,2,True,False,True,True,False
debugPointer,2,True,False,True,True,False
getInputValue,3,True,True,True,True,False
startEmulator,2,True,True,True,True,False
shell_read,2,False,True,True,False,True
readBinary,2,True,True,True,True,False
load,1,True,False,True,True,False
shell_read,2,False,True,True,False,True
readBinary,2,True,True,True,True,False
shell_read,2,False,True,True,False,True
readBinary,2,True,True,True,True,False
xhr_onload,3,False,False,True,False,False
xhr_onload,3,False,False,True,False,False
readAsync,2,False,True,True,True,False
shell_print,2,False,False,True,False,True
shell_printErr,3,False,False,True,False,False
globalEval,2,False,False,True,True,False
load,1,True,False,True,True,False
dynCall_wrapper,3,False,True,True,False,False
dynCall_wrapper,3,False,True,True,False,False
dynCall_wrapper,3,False,True,True,False,False
dynCall_wrapper,3,False,True,True,False,False
dynCall_wrapper,3,False,True,True,False,False
dynCall_wrapper,3,False,True,True,False,False
assert,1,True,False,True,True,False
getCFunc,3,False,True,False,True,False
ccallFunc,3,False,True,False,False,False
parseJSFunc,3,False,True,True,True,False
ensureJSsource,3,False,True,True,False,False
cwrap,2,True,True,False,False,False
setValue,2,True,True,True,True,False
getValue,2,True,True,True,True,False
allocate,1,True,True,True,True,False
getMemory,2,True,True,True,True,False
Pointer_stringify,2,False,True,True,False,True
AsciiToString,3,False,False,True,False,False
stringToAscii,3,False,False,True,True,False
UTF8ArrayToString,4,True,True,True,False,False
UTF8ToString,3,True,True,True,False,False
stringToUTF8Array,4,True,True,True,True,False
stringToUTF8,3,True,True,True,True,False
lengthBytesUTF8,3,True,True,True,True,False
UTF16ToString,3,True,False,True,False,False
stringToUTF16,3,True,False,True,True,False
lengthBytesUTF16,3,True,False,True,True,False
UTF32ToString,3,True,False,True,False,False
stringToUTF32,3,True,False,True,True,False
lengthBytesUTF32,3,True,False,True,True,False
demangle,2,True,False,True,False,False
demangleAll,3,False,False,True,False,False
jsStackTrace,3,False,True,True,True,False
stackTrace,2,True,True,True,True,False
alignUp,2,True,True,True,True,False
updateGlobalBuffer,3,True,True,True,True,False
updateGlobalBufferViews,4,True,True,True,True,False
abortOnCannotGrowMemory,5,True,True,True,True,False
enlargeMemory,2,True,True,True,True,False
getTotalMemory,3,True,True,True,True,False
callRuntimeCallbacks,3,True,True,True,True,False
preRun,2,True,True,True,True,False
ensureInitRuntime,3,False,True,True,True,False
preMain,2,True,True,True,True,False
exitRuntime,2,True,False,True,True,False
postRun,2,True,True,True,True,False
addOnPreRun,4,True,True,True,True,False
addOnInit,3,False,True,True,True,False
addOnPreMain,4,True,True,True,True,False
addOnExit,3,True,True,True,True,False
addOnPostRun,4,True,True,True,True,False
intArrayFromString,4,True,True,True,True,False
intArrayToString,4,True,True,True,True,False
writeStringToMemory,4,True,True,True,True,False
writeArrayToMemory,4,True,True,True,True,False
writeAsciiToMemory,4,False,True,True,True,False
unSign,2,True,True,True,True,False
reSign,2,False,True,True,True,False
imul,1,False,True,True,True,False
getUniqueRunDependency,4,True,True,True,True,False
addRunDependency,3,True,True,True,True,False
removeRunDependency,3,True,True,True,True,False
_emscripten_asm_const_iiiii,4,False,True,True,False,False
_emscripten_asm_const_i,4,False,True,False,False,False
_emscripten_asm_const_ii,4,False,True,True,False,False
_emscripten_asm_const_iiii,4,False,True,True,False,False
_emscripten_asm_const_iiiiii,4,False,True,True,False,False
copyTempFloat,3,True,True,True,True,False
copyTempDouble,3,True,False,True,True,False
_atexit,1,False,True,True,True,False
___cxa_atexit,2,False,True,True,False,False
extractZone,2,True,True,True,True,False
_tzset,2,False,True,True,False,False
