Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
getUserDataDiskPath,get,True,VERB,3
getUserDataDiskPath,User,True,NOUN,4
getUserDataDiskPath,Data,True,NOUN,4
getUserDataDiskPath,Disk,True,NOUN,4
getUserDataDiskPath,Path,True,NOUN,4
isFile,is,True,AUX,2
isFile,File,True,VERB,4
isHiddenFile,is,True,AUX,2
isHiddenFile,Hidden,True,VERB,6
isHiddenFile,File,True,VERB,4
isCDImage,is,True,AUX,2
isCDImage,CD,True,NOUN,2
isCDImage,Image,True,NOUN,5
isDiskImage,is,True,AUX,2
isDiskImage,Disk,True,NOUN,4
isDiskImage,Image,True,NOUN,5
cleanupCopyPath,cleanup,True,NOUN,7
cleanupCopyPath,Copy,True,VERB,4
cleanupCopyPath,Path,True,NOUN,4
getUserDataDiskImage,get,True,VERB,3
getUserDataDiskImage,User,True,NOUN,4
getUserDataDiskImage,Data,True,NOUN,4
getUserDataDiskImage,Disk,True,NOUN,4
getUserDataDiskImage,Image,True,NOUN,5
preloadFilesAtPath,preload,False,NOUN,7
preloadFilesAtPath,Files,True,NOUN,5
preloadFilesAtPath,At,True,ADP,2
preloadFilesAtPath,Path,True,NOUN,4
createPreloadedFile,create,True,VERB,6
createPreloadedFile,Preloaded,False,VERB,9
createPreloadedFile,File,True,VERB,4
loadDatafiles,load,True,NOUN,4
loadDatafiles,Data,True,NOUN,4
loadDatafiles,files,True,NOUN,5
addAutoloader,add,True,VERB,3
addAutoloader,Autoloader,False,NOUN,10
asyncInitCallback,async,False,NOUN,5
asyncInitCallback,Init,True,NOUN,4
asyncInitCallback,Callback,True,NOUN,8
waitForCustomAsyncInit,wait,True,VERB,4
waitForCustomAsyncInit,For,True,ADP,3
waitForCustomAsyncInit,Custom,True,NOUN,6
waitForCustomAsyncInit,Async,False,PROPN,5
waitForCustomAsyncInit,Init,True,NOUN,4
addCustomAsyncInit,add,True,VERB,3
addCustomAsyncInit,Custom,True,NOUN,6
addCustomAsyncInit,Async,False,PROPN,5
addCustomAsyncInit,Init,True,NOUN,4
writeSafely,write,True,VERB,5
writeSafely,Safely,True,ADV,6
writePrefs,write,True,VERB,5
writePrefs,Prefs,False,NOUN,5
getUserImages,get,True,VERB,3
getUserImages,User,True,NOUN,4
getUserImages,Images,True,NOUN,6
getAutoLoadFiles,get,True,VERB,3
getAutoLoadFiles,Auto,True,NOUN,4
getAutoLoadFiles,Load,True,NOUN,4
getAutoLoadFiles,Files,True,NOUN,5
saveFilesInPath,save,True,VERB,4
saveFilesInPath,Files,True,NOUN,5
saveFilesInPath,In,True,ADP,2
saveFilesInPath,Path,True,NOUN,4
onmessage,on,True,ADP,2
onmessage,message,True,NOUN,7
waitForTwoStateLock,wait,True,VERB,4
waitForTwoStateLock,For,True,ADP,3
waitForTwoStateLock,Two,True,NUM,3
waitForTwoStateLock,State,True,NOUN,5
waitForTwoStateLock,Lock,True,VERB,4
releaseTwoStateLock,release,True,VERB,7
releaseTwoStateLock,Two,True,NUM,3
releaseTwoStateLock,State,True,NOUN,5
releaseTwoStateLock,Lock,True,VERB,4
tryToAcquireCyclicalLock,try,True,VERB,3
tryToAcquireCyclicalLock,To,True,PART,2
tryToAcquireCyclicalLock,Acquire,True,VERB,7
tryToAcquireCyclicalLock,Cyclical,True,ADJ,8
tryToAcquireCyclicalLock,Lock,True,VERB,4
releaseCyclicalLock,release,True,VERB,7
releaseCyclicalLock,Cyclical,True,ADJ,8
releaseCyclicalLock,Lock,True,VERB,4
acquireInputLock,acquire,True,VERB,7
acquireInputLock,Input,True,NOUN,5
acquireInputLock,Lock,True,VERB,4
releaseInputLock,release,True,VERB,7
releaseInputLock,Input,True,NOUN,5
releaseInputLock,Lock,True,VERB,4
blit,b,True,X,1
blit,lit,True,VERB,3
openAudio,open,True,VERB,4
openAudio,Audio,True,NOUN,5
enqueueAudio,enqueue,False,NOUN,7
enqueueAudio,Audio,True,NOUN,5
debugPointer,debug,True,ADV,5
debugPointer,Pointer,True,NOUN,7
getInputValue,get,True,VERB,3
getInputValue,Input,True,NOUN,5
getInputValue,Value,True,NOUN,5
startEmulator,start,True,VERB,5
startEmulator,Emulator,True,NOUN,8
shell_read,shell,True,PROPN,5
shell_read,read,True,VERB,4
readBinary,read,True,VERB,4
readBinary,Binary,True,ADJ,6
load,load,True,NOUN,4
shell_read,shell,True,PROPN,5
shell_read,read,True,VERB,4
readBinary,read,True,VERB,4
readBinary,Binary,True,ADJ,6
shell_read,shell,True,PROPN,5
