Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
pipeExists,2,True,False,True,True,False
createCancellationToken,3,True,True,True,True,False
verb,1,True,False,True,True,False
step,1,True,False,True,True,False
tryGetNativeMap,4,False,True,True,True,False
createMap,2,True,True,True,True,False
createMapFromEntries,4,True,True,True,True,False
createMapFromTemplate,4,True,True,True,True,False
length,1,True,False,True,True,False
forEach,2,True,False,True,True,False
forEachRight,3,True,False,True,True,False
firstDefined,2,True,True,True,True,False
firstDefinedIterator,3,True,True,True,True,False
zipWith,2,True,True,True,True,False
zipToIterator,3,True,True,True,True,False
zipToMap,3,True,True,True,True,False
every,1,True,False,True,True,False
find,1,True,True,True,True,False
findLast,2,True,True,True,True,False
findIndex,2,True,True,True,True,False
findLastIndex,3,True,True,True,True,False
findMap,2,True,True,True,True,False
contains,1,True,True,True,True,False
arraysEqual,2,True,False,True,True,False
indexOfAnyCharCode,5,True,False,True,True,False
countWhere,2,True,True,True,True,False
filter,1,True,True,True,True,False
filterMutate,2,True,True,True,True,False
clear,1,True,False,True,True,False
map,1,True,False,True,True,False
mapIterator,2,True,False,True,True,False
sameMap,2,True,False,True,True,False
flatten,1,True,True,True,True,False
flatMap,2,True,False,True,True,False
flatMapToMutable,4,True,False,True,True,False
getIterator,2,True,True,True,True,False
flatMapIterator,3,True,False,True,True,False
sameFlatMap,3,True,False,True,True,False
mapAllOrFail,4,True,True,True,True,False
mapDefined,2,True,True,True,True,False
mapDefinedIterator,3,True,True,True,True,False
mapDefinedMap,3,True,True,True,True,False
singleIterator,2,True,False,True,True,False
spanMap,2,True,False,True,True,False
mapEntries,2,True,False,True,True,False
some,1,True,False,True,True,False
getRangesWhere,3,True,True,True,True,False
concatenate,1,True,True,True,True,False
selectIndex,2,True,False,True,True,False
indicesOf,2,True,False,True,True,False
deduplicateRelational,2,False,True,True,True,False
deduplicateEquality,2,False,True,True,True,False
deduplicate,1,False,True,True,True,False
deduplicateSorted,2,False,True,True,True,False
insertSorted,2,True,True,True,True,False
sortAndDeduplicate,3,False,True,True,True,False
arrayIsEqualTo,4,True,True,True,True,False
compact,1,True,True,True,True,False
relativeComplement,2,True,False,True,True,False
sum,1,True,True,True,True,False
append,1,True,True,True,True,False
combine,1,True,True,True,True,False
toOffset,2,True,True,True,True,False
addRange,2,True,True,True,True,False
pushIfUnique,3,True,True,True,True,False
appendIfUnique,3,True,True,True,True,False
stableSortIndices,3,True,False,True,True,False
sort,1,True,True,True,True,False
arrayIterator,2,True,True,True,True,False
arrayReverseIterator,3,True,True,True,True,False
stableSort,2,True,False,True,True,False
rangeEquals,2,True,False,True,True,False
elementAt,2,True,False,True,True,False
firstOrUndefined,3,True,True,True,True,False
first,1,True,False,True,True,False
lastOrUndefined,3,True,True,True,True,False
last,1,True,False,True,True,False
singleOrUndefined,3,True,True,True,True,False
