Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
onloadedmetadata,3,True,True,True,False,False
setupCamera,2,True,False,True,True,False
loadVideo,2,True,False,True,True,False
setupGui,2,False,False,True,True,False
setupFPS,2,True,False,True,True,False
poseDetectionFrame,3,True,True,True,True,False
detectPoseInRealTime,5,True,True,True,True,False
setupCanvas,2,True,False,True,True,False
bindPage,2,True,True,True,True,False
parseSVG,2,False,True,True,True,False
getConfidenceScore,3,True,True,True,True,False
drawCircle,2,True,True,True,True,False
drawLine,2,True,True,True,True,False
getKeyPointFromSVG,5,False,True,True,True,False
getPartFromPose,4,True,True,True,True,False
getKeypointFromFaceFrame,6,True,True,True,False,False
addLabel,2,True,True,True,True,False
updateMinMax,3,True,True,True,True,False
drawResults,2,True,True,True,True,False
onload,2,True,False,True,False,False
loadImage,2,True,False,True,True,False
multiPersonCanvas,3,True,True,True,True,False
getIllustrationCanvas,3,True,True,True,True,False
drawDetectionResults,3,True,True,True,True,False
testImageAndEstimatePoses,5,True,False,True,True,False
setupGui,2,False,False,True,True,False
bindPage,2,True,True,True,True,False
loadSVG,2,False,False,True,True,False
varColor,2,True,False,True,True,False
isAndroid,2,True,False,True,True,False
isiOS,2,False,True,True,True,False
isMobile,2,True,False,True,True,False
setDatGuiPropertyCss,5,False,True,True,True,False
toggleLoadingUI,3,False,True,True,True,False
toTuple,2,True,False,True,True,False
drawPoint,2,True,True,True,True,False
drawSegment,2,True,True,True,True,False
drawSkeleton,2,True,True,True,True,False
drawKeypoints,3,True,True,True,False,False
renderImageToCanvas,4,True,True,True,True,False
setStatusText,3,True,True,True,True,False
onload,2,True,False,True,False,False
getDistance,2,True,True,True,True,False
intersects,1,True,False,True,True,False
