Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
onloadedmetadata,on,True,ADP,2
onloadedmetadata,loaded,True,VERB,6
onloadedmetadata,metadata,True,PROPN,8
setupCamera,setup,True,NOUN,5
setupCamera,Camera,True,NOUN,6
loadVideo,load,True,NOUN,4
loadVideo,Video,True,NOUN,5
setupGui,setup,True,NOUN,5
setupGui,Gui,False,NOUN,3
setupFPS,setup,True,NOUN,5
setupFPS,FPS,True,PROPN,3
poseDetectionFrame,pose,True,VERB,4
poseDetectionFrame,Detection,True,NOUN,9
poseDetectionFrame,Frame,True,NOUN,5
detectPoseInRealTime,detect,True,VERB,6
detectPoseInRealTime,Pose,True,VERB,4
detectPoseInRealTime,In,True,ADP,2
detectPoseInRealTime,Real,True,ADJ,4
detectPoseInRealTime,Time,True,NOUN,4
setupCanvas,setup,True,NOUN,5
setupCanvas,Canvas,True,NOUN,6
bindPage,bind,True,VERB,4
bindPage,Page,True,NOUN,4
parseSVG,parse,True,VERB,5
parseSVG,SVG,False,PROPN,3
getConfidenceScore,get,True,VERB,3
getConfidenceScore,Confidence,True,NOUN,10
getConfidenceScore,Score,True,NOUN,5
drawCircle,draw,True,VERB,4
drawCircle,Circle,True,NOUN,6
drawLine,draw,True,VERB,4
drawLine,Line,True,NOUN,4
getKeyPointFromSVG,get,True,VERB,3
getKeyPointFromSVG,Key,True,ADJ,3
getKeyPointFromSVG,Point,True,VERB,5
getKeyPointFromSVG,From,True,ADP,4
getKeyPointFromSVG,SVG,False,PROPN,3
getPartFromPose,get,True,VERB,3
getPartFromPose,Part,True,NOUN,4
getPartFromPose,From,True,ADP,4
getPartFromPose,Pose,True,VERB,4
getKeypointFromFaceFrame,get,True,VERB,3
getKeypointFromFaceFrame,Key,True,ADJ,3
getKeypointFromFaceFrame,point,True,VERB,5
getKeypointFromFaceFrame,From,True,ADP,4
getKeypointFromFaceFrame,Face,True,VERB,4
getKeypointFromFaceFrame,Frame,True,NOUN,5
addLabel,add,True,VERB,3
addLabel,Label,True,PROPN,5
updateMinMax,update,True,VERB,6
updateMinMax,Min,True,PROPN,3
updateMinMax,Max,True,PROPN,3
drawResults,draw,True,VERB,4
drawResults,Results,True,NOUN,7
onload,on,True,ADP,2
onload,load,True,NOUN,4
loadImage,load,True,NOUN,4
loadImage,Image,True,NOUN,5
multiPersonCanvas,multi,True,VERB,5
multiPersonCanvas,Person,True,PROPN,6
multiPersonCanvas,Canvas,True,NOUN,6
getIllustrationCanvas,get,True,VERB,3
getIllustrationCanvas,Illustration,True,NOUN,12
getIllustrationCanvas,Canvas,True,NOUN,6
drawDetectionResults,draw,True,VERB,4
drawDetectionResults,Detection,True,NOUN,9
drawDetectionResults,Results,True,NOUN,7
testImageAndEstimatePoses,test,True,NOUN,4
testImageAndEstimatePoses,Image,True,NOUN,5
testImageAndEstimatePoses,And,True,CCONJ,3
testImageAndEstimatePoses,Estimate,True,PROPN,8
testImageAndEstimatePoses,Poses,True,NOUN,5
setupGui,setup,True,NOUN,5
setupGui,Gui,False,NOUN,3
bindPage,bind,True,VERB,4
bindPage,Page,True,NOUN,4
loadSVG,load,True,NOUN,4
loadSVG,SVG,False,PROPN,3
varColor,var,True,PROPN,3
varColor,Color,True,NOUN,5
isAndroid,is,True,AUX,2
isAndroid,Android,True,NOUN,7
isiOS,isi,False,X,3
isiOS,OS,True,VERB,2
isMobile,is,True,AUX,2
isMobile,Mobile,True,ADJ,6
setDatGuiPropertyCss,set,True,VERB,3
setDatGuiPropertyCss,Dat,True,VERB,3
setDatGuiPropertyCss,Gui,False,NOUN,3
setDatGuiPropertyCss,Property,True,NOUN,8
setDatGuiPropertyCss,Css,False,INTJ,3
toggleLoadingUI,toggle,True,NOUN,6
toggleLoadingUI,Loading,True,VERB,7
toggleLoadingUI,UI,False,NOUN,2
toTuple,to,True,PART,2
toTuple,Tuple,True,NOUN,5
drawPoint,draw,True,VERB,4
drawPoint,Point,True,VERB,5
drawSegment,draw,True,VERB,4
drawSegment,Segment,True,NOUN,7
drawSkeleton,draw,True,VERB,4
drawSkeleton,Skeleton,True,PROPN,8
drawKeypoints,draw,True,VERB,4
drawKeypoints,Key,True,ADJ,3
drawKeypoints,points,True,VERB,6
renderImageToCanvas,render,True,VERB,6
renderImageToCanvas,Image,True,NOUN,5
renderImageToCanvas,To,True,PART,2
renderImageToCanvas,Canvas,True,NOUN,6
setStatusText,set,True,VERB,3
setStatusText,Status,True,NOUN,6
setStatusText,Text,True,NOUN,4
onload,on,True,ADP,2
onload,load,True,NOUN,4
getDistance,get,True,VERB,3
getDistance,Distance,True,NOUN,8
intersects,intersects,True,NOUN,10
