Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
customCollectEndpoint,custom,True,NOUN,6
customCollectEndpoint,Collect,True,VERB,7
customCollectEndpoint,Endpoint,True,VERB,8
customScriptName,custom,True,NOUN,6
customScriptName,Script,True,NOUN,6
customScriptName,Name,True,NOUN,4
middleware,middleware,False,NOUN,10
download,download,True,NOUN,8
runQuery,run,True,VERB,3
runQuery,Query,True,NOUN,5
updateUserByUsername,update,True,VERB,6
updateUserByUsername,User,True,NOUN,4
updateUserByUsername,By,True,ADP,2
updateUserByUsername,Username,True,NOUN,8
changePassword,change,True,VERB,6
changePassword,Password,True,PROPN,8
getUsernameAndPassword,get,True,VERB,3
getUsernameAndPassword,Username,True,NOUN,8
getUsernameAndPassword,And,True,CCONJ,3
getUsernameAndPassword,Password,True,PROPN,8
getDatabaseType,get,True,VERB,3
getDatabaseType,Database,True,PROPN,8
getDatabaseType,Type,True,NOUN,4
success,success,True,NOUN,7
error,error,True,NOUN,5
checkEnv,check,True,VERB,5
checkEnv,Env,False,PROPN,3
checkConnection,check,True,VERB,5
checkConnection,Connection,True,NOUN,10
checkDatabaseVersion,check,True,VERB,5
checkDatabaseVersion,Database,True,PROPN,8
checkDatabaseVersion,Version,True,NOUN,7
checkV1Tables,check,True,VERB,5
checkV1Tables,V,True,NOUN,1
checkV1Tables,1,True,NUM,1
checkV1Tables,Tables,True,NOUN,6
applyMigration,apply,True,VERB,5
applyMigration,Migration,True,NOUN,9
checkMissing,check,True,VERB,5
checkMissing,Missing,True,VERB,7
getDatabaseType,get,True,VERB,3
getDatabaseType,Database,True,PROPN,8
getDatabaseType,Type,True,NOUN,4
getUrl,get,True,VERB,3
getUrl,Url,False,NOUN,3
asyncForEach,async,False,NOUN,5
asyncForEach,For,True,ADP,3
asyncForEach,Each,True,PRON,4
download,download,True,NOUN,8
getUrl,get,True,VERB,3
getUrl,Url,False,NOUN,3
asyncForEach,async,False,NOUN,5
asyncForEach,For,True,ADP,3
asyncForEach,Each,True,PRON,4
download,download,True,NOUN,8
run,run,True,VERB,3
run,run,True,VERB,3
handleConfirm,handle,True,VERB,6
handleConfirm,Confirm,True,VERB,7
ConfirmDeleteForm,Confirm,True,VERB,7
ConfirmDeleteForm,Delete,True,PROPN,6
ConfirmDeleteForm,Form,True,VERB,4
Empty,Empty,True,ADJ,5
EmptyPlaceholder,Empty,True,ADJ,5
EmptyPlaceholder,Placeholder,True,NOUN,11
logError,log,True,VERB,3
logError,Error,True,NOUN,5
fallbackRender,fallback,True,NOUN,8
fallbackRender,Render,True,PROPN,6
ErrorBoundary,Error,True,NOUN,5
ErrorBoundary,Boundary,True,NOUN,8
ErrorMessage,Error,True,NOUN,5
ErrorMessage,Message,True,NOUN,7
FilterButtons,Filter,True,PROPN,6
FilterButtons,Buttons,True,NOUN,7
FilterLink,Filter,True,PROPN,6
FilterLink,Link,True,NOUN,4
handler,handler,True,NOUN,7
HoverTooltip,Hover,True,ADV,5
HoverTooltip,Tooltip,False,NOUN,7
LinkButton,Link,True,NOUN,4
