Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
ThemeWrapper,Theme,True,NOUN,5
ThemeWrapper,Wrapper,True,NOUN,7
Delete,Delete,True,PROPN,6
Edit,Edit,True,NOUN,4
Navigation,Navigation,True,NOUN,10
Navigation,Navigation,True,NOUN,10
Alert,Alert,True,NOUN,5
Badge,Badge,True,VERB,5
BreadCrumb,Bread,True,NOUN,5
BreadCrumb,Crumb,True,NOUN,5
Bulb,Bulb,True,PROPN,4
CallToAction,Call,True,VERB,4
CallToAction,To,True,PART,2
CallToAction,Action,True,NOUN,6
copyTextToClipboard,copy,True,NOUN,4
copyTextToClipboard,Text,True,NOUN,4
copyTextToClipboard,To,True,PART,2
copyTextToClipboard,Clipboard,True,PROPN,9
handleCopyClick,handle,True,VERB,6
handleCopyClick,Copy,True,VERB,4
handleCopyClick,Click,True,VERB,5
ClipboardCopy,Clipboard,True,PROPN,9
ClipboardCopy,Copy,True,VERB,4
ConfirmDialog,Confirm,True,VERB,7
ConfirmDialog,Dialog,True,NOUN,6
DataList,Data,True,NOUN,4
DataList,List,True,NOUN,4
EditOnGitHub,Edit,True,NOUN,4
EditOnGitHub,On,True,ADP,2
EditOnGitHub,Git,True,NOUN,3
EditOnGitHub,Hub,True,VERB,3
Youtube,Youtube,False,VERB,7
EventKey,Event,True,NOUN,5
EventKey,Key,True,ADJ,3
Footer,Footer,True,PROPN,6
Toggle,Toggle,True,PROPN,6
IconSearch,Icon,True,NOUN,4
IconSearch,Search,True,NOUN,6
BlankLayout,Blank,True,PROPN,5
BlankLayout,Layout,True,NOUN,6
Map,Map,True,PROPN,3
UserMarker,User,True,NOUN,4
UserMarker,Marker,True,NOUN,6
BlockQuote,Block,True,VERB,5
BlockQuote,Quote,True,VERB,5
getAnchor,get,True,VERB,3
getAnchor,Anchor,True,NOUN,6
H2,H,True,NOUN,1
H2,2,True,NUM,1
Li,Li,True,PROPN,2
Strong,Strong,True,ADJ,6
Table,Table,True,NOUN,5
Modal,Modal,True,ADJ,5
Notification,Notification,True,NOUN,12
Page,Page,True,NOUN,4
PageHead,Page,True,NOUN,4
PageHead,Head,True,VERB,4
handleKeyDown,handle,True,VERB,6
handleKeyDown,Key,True,ADJ,3
handleKeyDown,Down,True,ADV,4
Pagination,Pagination,True,NOUN,10
SkipLink,Skip,True,NOUN,4
SkipLink,Link,True,NOUN,4
ProgressBar,Progress,True,NOUN,8
ProgressBar,Bar,True,VERB,3
formatDate,format,True,NOUN,6
formatDate,Date,True,NOUN,4
StatsChart,Stats,True,NOUN,5
StatsChart,Chart,True,PROPN,5
Tabs,Tabs,True,NOUN,4
Tag,Tag,True,VERB,3
TagSimple,Tag,True,VERB,3
TagSimple,Simple,True,ADJ,6
Testimonials,Testimonials,True,NOUN,12
item,item,True,NOUN,4
edit,edit,True,VERB,4
UserLink,User,True,NOUN,4
UserLink,Link,True,NOUN,4
item,item,True,NOUN,4
edit,edit,True,VERB,4
UserMilestone,User,True,NOUN,4
UserMilestone,Milestone,True,NOUN,9
UserMini,User,True,NOUN,4
UserMini,Mini,True,PROPN,4
item,item,True,NOUN,4
manageDelete,manage,True,VERB,6
manageDelete,Delete,True,PROPN,6
UserRepos,User,True,NOUN,4
UserRepos,Repos,False,PROPN,5
UserSocial,User,True,NOUN,4
UserSocial,Social,True,ADJ,6
connectMongo,connect,True,VERB,7
connectMongo,Mongo,True,PROPN,5
stripe,stripe,True,VERB,6
handler,handler,True,NOUN,7
getAccountByProviderAccountId,get,True,VERB,3
getAccountByProviderAccountId,Account,True,NOUN,7
getAccountByProviderAccountId,By,True,ADP,2
getAccountByProviderAccountId,Provider,True,NOUN,8
getAccountByProviderAccountId,Account,True,NOUN,7
getAccountByProviderAccountId,Id,True,PROPN,2
associateProfileWithAccount,associate,True,VERB,9
associateProfileWithAccount,Profile,True,VERB,7
associateProfileWithAccount,With,True,ADP,4
associateProfileWithAccount,Account,True,NOUN,7
handler,handler,True,NOUN,7
getEventsApi,get,True,VERB,3
getEventsApi,Events,True,NOUN,6
getEventsApi,Api,False,PROPN,3
handler,handler,True,NOUN,7
getLinkApi,get,True,VERB,3
getLinkApi,Link,True,NOUN,4
getLinkApi,Api,False,PROPN,3
addLinkApi,add,True,VERB,3
addLinkApi,Link,True,NOUN,4
addLinkApi,Api,False,PROPN,3
updateLinkApi,update,True,VERB,6
