Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
default,default,True,NOUN,7
getCertificateTypes,get,True,VERB,3
getCertificateTypes,Certificate,True,NOUN,11
getCertificateTypes,Types,True,NOUN,5
notarizing,no,True,INTJ,2
notarizing,tar,True,NOUN,3
notarizing,iz,False,VERB,2
notarizing,ing,False,PROPN,3
notarizing,no,True,INTJ,2
notarizing,tar,True,NOUN,3
notarizing,iz,False,VERB,2
notarizing,ing,False,PROPN,3
onclose,on,True,ADP,2
onclose,close,True,VERB,5
CiderCastController,Cider,True,NOUN,5
CiderCastController,Cast,True,VERB,4
CiderCastController,Controller,True,NOUN,10
sendIp,send,True,VERB,4
sendIp,Ip,False,VERB,2
kill,kill,True,VERB,4
onstatus,on,True,ADP,2
onstatus,status,True,NOUN,6
CiderReceiver,Cider,True,NOUN,5
CiderReceiver,Receiver,True,ADV,8
getStatus,get,True,VERB,3
getStatus,Status,True,NOUN,6
load,load,True,NOUN,4
play,play,True,VERB,4
pause,pause,True,VERB,5
stop,stop,True,VERB,4
seek,seek,True,VERB,4
queueLoad,queue,True,NOUN,5
queueLoad,Load,True,NOUN,4
queueInsert,queue,True,NOUN,5
queueInsert,Insert,True,NOUN,6
queueRemove,queue,True,NOUN,5
queueRemove,Remove,True,VERB,6
queueReorder,queue,True,NOUN,5
queueReorder,Reorder,True,NOUN,7
queueUpdate,queue,True,NOUN,5
queueUpdate,Update,True,VERB,6
sendIp,send,True,VERB,4
sendIp,Ip,False,VERB,2
kill,kill,True,VERB,4
hasUMDWorker,has,True,VERB,3
hasUMDWorker,UMD,False,PROPN,3
hasUMDWorker,Worker,True,PROPN,6
check,check,True,VERB,5
removePadding,remove,True,VERB,6
removePadding,Padding,True,NOUN,7
decrypt,decrypt,True,ADV,7
logFn,log,True,VERB,3
logFn,Fn,False,PROPN,2
child,child,True,NOUN,5
bindLogger,bind,True,VERB,4
bindLogger,Logger,True,NOUN,6
LoggerRPCClient,Logger,True,NOUN,6
LoggerRPCClient,RPC,False,PROPN,3
LoggerRPCClient,Client,True,NOUN,6
convertTimestampToSeconds,convert,True,VERB,7
convertTimestampToSeconds,Timestamp,True,NOUN,9
convertTimestampToSeconds,To,True,PART,2
convertTimestampToSeconds,Seconds,True,NOUN,7
convertSecondsToTimestamp,convert,True,VERB,7
convertSecondsToTimestamp,Seconds,True,NOUN,7
convertSecondsToTimestamp,To,True,PART,2
convertSecondsToTimestamp,Timestamp,True,NOUN,9
convertTimescale,convert,True,VERB,7
convertTimescale,Time,True,NOUN,4
convertTimescale,scale,True,NOUN,5
determineMinTimestamp,determine,True,VERB,9
determineMinTimestamp,Min,True,PROPN,3
determineMinTimestamp,Timestamp,True,NOUN,9
determineMaxTimestamp,determine,True,VERB,9
determineMaxTimestamp,Max,True,PROPN,3
determineMaxTimestamp,Timestamp,True,NOUN,9
diffSeconds,diff,True,NOUN,4
diffSeconds,Seconds,True,NOUN,7
getSilentFrame,get,True,VERB,3
getSilentFrame,Silent,True,ADJ,6
getSilentFrame,Frame,True,NOUN,5
isFiniteNumber,is,True,AUX,2
isFiniteNumber,Finite,True,PROPN,6
isFiniteNumber,Number,True,NOUN,6
toFixed,to,True,PART,2
toFixed,Fixed,True,VERB,5
stringifyWithPrecision,stringify,False,VERB,9
stringifyWithPrecision,With,True,ADP,4
stringifyWithPrecision,Precision,True,NOUN,9
replaceAll,replace,True,VERB,7
replaceAll,All,True,PRON,3
setupRedactUrl,setup,True,NOUN,5
setupRedactUrl,Redact,True,VERB,6
setupRedactUrl,Url,False,NOUN,3
redactUrl,redact,True,NOUN,6
redactUrl,Url,False,NOUN,3
deepCpy,deep,True,ADV,4
deepCpy,Cpy,False,PROPN,3
urlRedactedLevelInfo,url,False,NOUN,3
urlRedactedLevelInfo,Redacted,True,VERB,8
urlRedactedLevelInfo,Level,True,VERB,5
urlRedactedLevelInfo,Info,True,NOUN,4
urlRedactedAltMediaOption,url,False,NOUN,3
urlRedactedAltMediaOption,Redacted,True,VERB,8
urlRedactedAltMediaOption,Alt,True,ADJ,3
