Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
ABDetected,2,True,True,True,False,False
docReady,2,True,False,True,True,False
AdBlockDetect,3,True,True,True,False,False
Busuanzi,1,False,False,True,False,False
DisableCopy,2,True,True,True,False,False
e,1,True,False,False,True,False
start,1,True,True,True,True,False
move,1,True,True,True,True,False
stop,1,True,True,True,True,False
updatePosition,2,True,True,True,True,False
inDragBox,3,True,True,True,True,False
checkInWindow,3,True,True,True,True,False
Draggable,1,True,False,True,False,False
ExternalScript,2,True,False,True,False,False
Messenger,1,True,False,True,False,False
fbAsyncInit,3,False,False,True,True,False
removeElementByIds,4,False,True,True,True,False
Fireworks,1,True,False,True,False,False
setCanvasSize,3,True,True,True,True,False
updateCoords,2,False,True,True,True,False
setParticuleDirection,3,False,True,True,True,False
draw,1,True,True,True,True,False
createParticule,2,False,True,True,True,False
draw,1,True,True,True,True,False
createCircle,2,True,True,True,True,False
renderParticule,2,False,True,True,True,False
animateParticules,2,False,True,True,True,False
createFireworks,2,True,True,True,True,False
handleCardFlip,3,True,True,True,True,False
FlipCard,2,True,True,True,False,False
handleFullScreenClick,4,True,True,True,True,False
FullScreenButton,3,True,False,True,False,False
GiscusComponent,3,False,False,True,False,False
loadGitalk,3,False,True,True,False,False
Gitalk,2,False,True,True,False,False
initGoogleAdsense,4,False,False,True,False,False
GoogleAdsense,3,True,False,True,False,False
AdSlot,2,True,False,True,False,False
gtagRouteChange,4,True,True,False,False,False
Gtag,2,True,True,False,False,False
Moon,1,True,False,True,False,False
Sun,1,True,False,True,False,False
Home,1,True,False,True,False,False
User,1,True,False,True,False,False
ArrowPath,2,True,False,True,False,False
ChevronLeft,2,True,True,True,False,False
ChevronRight,2,True,False,True,False,False
ChevronDoubleLeft,3,True,True,True,False,False
ChevronDoubleRight,3,True,False,True,False,False
InformationCircle,2,True,False,True,False,False
HashTag,2,False,True,True,False,False
GlobeAlt,2,True,False,True,False,False
ArrowRightCircle,3,True,False,True,False,False
PlusSmall,2,True,False,True,False,False
ArrowSmallRight,3,True,False,True,False,False
ArrowSmallUp,3,True,False,True,False,False
Loading,1,True,True,True,False,False
replaceSearchResult,3,True,True,True,True,False
Player,1,True,False,True,False,False
QrCode,2,True,False,True,False,False
StarrySky,2,True,True,True,False,False
f,1,True,False,False,True,False
u,1,True,False,False,True,False
reset,1,True,True,True,True,False
fadeIn,2,True,False,True,True,False
fadeOut,2,True,False,True,True,False
draw,1,True,True,True,True,False
move,1,True,True,True,True,False
y,1,True,False,False,True,False
m,1,True,True,False,True,False
l,1,True,False,False,True,False
t,1,True,False,False,True,False
dark,1,True,False,True,True,False
TwikooCommentCount,3,False,False,True,False,False
TwikooRecentComments,3,False,False,True,False,False
Utterances,1,True,False,True,False,False
loadValine,2,True,False,True,True,False
ValineComponent,2,True,False,True,False,False
loadVConsole,3,True,False,False,True,False
clickListener,2,True,True,True,True,False
VConsole,2,True,False,False,False,False
Vercel,1,False,False,True,False,False
fetchCounts,2,True,True,True,True,False
getCounts,2,True,True,True,True,False
WebmentionCount,3,True,True,True,False,False
Avatar,1,True,False,True,False,False
fetchMentions,2,True,True,True,True,False
getMentions,2,True,True,True,True,False
WebmentionReplies,3,True,True,True,False,False
WebMentionBlock,3,True,True,True,False,False
WebWhiz,2,True,False,True,False,False
WWAds,2,False,False,True,False,False
fetch,1,True,True,True,True,False
getDataFromCache,4,True,True,True,True,False
setDataToCache,4,True,True,True,True,False
delCacheData,3,True,True,True,True,False
getCache,2,True,True,True,True,False
setCache,2,True,True,True,True,False
delCache,2,True,True,True,True,False
getCache,2,True,True,True,True,False
setCache,2,True,True,True,True,False
delCache,2,True,True,True,True,False
getCache,2,True,True,True,True,False
setCache,2,True,True,True,True,False
delCache,2,True,True,True,True,False
CJK,1,False,False,True,False,False
formatDate,2,True,False,True,True,False
formatDateFmt,3,False,False,True,True,False
pageview,2,True,False,True,False,False
event,1,True,False,True,True,False
generateLocaleDict,3,True,True,True,True,False
initLocale,2,False,False,True,True,False
loadLangFromCookies,4,False,False,True,True,False
saveLangToCookies,4,False,True,True,True,False
subscribeToMailchimpApi,4,False,True,True,True,False
subscribeToNewsletter,3,True,True,True,True,False
chemParse,2,True,True,True,True,False
_match,1,True,True,True,True,False
_findObserveGroups,3,True,True,True,True,False
assertNever,2,True,False,True,True,False
assertString,2,True,False,True,True,False
compressImage,2,True,True,True,True,False
mapImgUrl,3,False,False,True,True,False
generateRobotsTxt,3,False,True,True,True,False
MemoizedComponent,2,False,True,True,False,False
memorize,1,True,True,True,True,False
