Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
getAllDomNodes,4,False,True,True,True,False
setCustomWaitForPageIdle,6,True,True,True,True,False
getCustomWaitForPageIdle,6,True,True,True,True,False
urlsAreEqual,3,False,False,True,True,False
clickFirstVisible,3,True,True,True,True,False
createTests,2,True,True,True,True,False
iteration,1,True,False,True,True,False
formatStacktraces,3,True,True,True,False,False
formatLeakingObjects,3,True,True,True,True,False
formatLeakingEventListeners,4,True,True,True,True,False
formatLeakingDomNodes,4,False,True,True,True,False
formatLeakingCollections,3,True,True,True,True,False
formatResult,2,True,True,True,True,False
getDescriptors,2,True,True,True,True,False
collectionsMetric,2,True,False,True,True,False
createDescriptionToCounts,4,True,True,True,True,False
analyzeDomNodes,3,False,True,True,True,False
getSumForSummaryAndListenerType,7,True,True,True,True,False
createListenerTypeToAggregatesMap,6,True,True,True,True,False
analyzeEventListeners,3,True,True,True,True,False
calculateEventListenersSummary,4,True,True,True,True,False
domNodesAndListenersMetric,5,False,False,True,True,False
takeHeapSnapshot,3,True,True,True,True,False
createHeapSnapshotModel,4,True,True,True,True,False
heapsnapshotsMetric,3,True,False,True,False,False
prettifyStacktrace,3,True,True,True,False,False
waitForMainThreadIdle,5,True,True,True,True,False
defaultWaitForPageIdle,5,True,True,True,True,False
readFileNoCache,4,True,True,True,True,False
readFile,2,True,True,True,True,False
readFileAsErrback,5,True,True,True,False,False
resolveSourceMappedPositions,4,True,True,True,True,False
AllocationProfile,2,True,True,True,False,False
buildFunctionAllocationInfos,4,False,True,True,True,False
traverseNode,2,True,True,True,True,False
buildAllocationTree,3,True,True,True,True,False
serializeTraceTops,3,True,True,True,True,False
serializeCallers,2,True,True,True,True,False
serializeAllocationStack,3,True,True,True,True,False
traceIds,2,False,False,True,True,False
ensureBottomUpNode,4,True,True,True,True,False
serializeCaller,2,True,True,True,True,False
serializeNode,2,True,True,True,True,False
TopDownAllocationNode,4,True,False,True,False,False
BottomUpAllocationNode,4,True,False,True,False,False
addCaller,2,True,True,True,True,False
callers,1,True,False,True,True,False
hasCallers,2,True,True,True,True,False
FunctionAllocationInfo,3,True,False,True,False,False
addTraceTopNode,4,True,True,True,True,False
bottomUpRoot,3,True,True,True,True,False
buildAllocationTraceTree,4,True,True,True,True,False
removeElement,2,True,True,True,True,False
swap,1,True,True,True,True,False
partition,1,True,False,True,True,False
quickSortRange,3,True,False,True,True,False
sortRange,2,True,True,True,True,False
binaryIndexOf,3,True,False,True,True,False
mergeOrIntersect,3,True,True,True,True,False
intersectOrdered,2,True,True,True,True,False
mergeOrdered,2,True,True,True,True,False
DEFAULT_COMPARATOR,2,True,False,True,False,True
lowerBound,2,True,True,True,True,False
upperBound,2,True,True,True,True,False
ContentProvider,2,True,False,True,False,False
SearchMatch,2,True,True,True,False,False
contentAsDataURL,4,False,False,True,True,False
extendStatics,2,True,True,True,True,False
HeapSnapshotEdge,3,True,False,True,False,False
clone,1,True,True,True,True,False
hasStringName,3,True,True,True,True,False
name,1,True,False,True,True,False
node,1,True,False,True,True,False
nodeIndex,2,True,False,True,True,False
toString,2,True,False,True,True,False
type,1,True,False,True,True,False
itemIndex,2,True,False,True,True,False
serialize,1,True,True,True,True,False
rawType,2,True,False,True,True,False
isInvisible,2,True,False,True,True,False
isWeak,2,True,False,True,True,False
HeapSnapshotNodeIndexProvider,5,True,False,True,False,False
itemForIndex,3,True,False,True,True,False
HeapSnapshotEdgeIndexProvider,5,True,False,True,False,False
itemForIndex,3,True,False,True,True,False
HeapSnapshotRetainerEdgeIndexProvider,6,True,False,True,False,False
itemForIndex,3,True,False,True,True,False
HeapSnapshotEdgeIterator,4,True,False,True,False,False
hasNext,2,True,True,True,True,False
item,1,True,False,True,True,False
next,1,True,False,True,True,False
HeapSnapshotRetainerEdge,4,True,False,True,False,False
clone,1,True,True,True,True,False
hasStringName,3,True,True,True,True,False
name,1,True,False,True,True,False
node,1,True,False,True,True,False
nodeIndex,2,True,False,True,True,False
retainerIndex,2,True,False,True,True,False
setRetainerIndex,3,True,True,True,True,False
nodeInternal,2,True,False,True,True,False
edge,1,True,False,True,True,False
toString,2,True,False,True,True,False
itemIndex,2,True,False,True,True,False
serialize,1,True,True,True,True,False
type,1,True,False,True,True,False
HeapSnapshotRetainerEdgeIterator,5,True,False,True,False,False
hasNext,2,True,True,True,True,False
item,1,True,False,True,True,False
next,1,True,False,True,True,False
HeapSnapshotNode,3,True,False,True,False,False
distance,1,True,False,True,True,False
className,2,True,False,True,True,False
classIndex,2,True,False,True,True,False
dominatorIndex,2,True,False,True,True,False
edges,1,True,False,True,True,False
edgesCount,2,True,False,True,True,False
id,1,False,False,True,True,False
rawName,2,True,False,True,True,False
isRoot,2,True,True,True,True,False
isUserRoot,3,True,True,True,True,False
isHidden,2,True,True,True,True,False
isArray,2,True,True,True,True,False
isDocumentDOMTreesRoot,5,False,True,True,True,False
name,1,True,False,True,True,False
retainedSize,2,True,True,True,True,False
retainers,1,True,False,True,True,False
retainersCount,2,True,False,True,True,False
selfSize,2,True,False,True,True,False
type,1,True,False,True,True,False
traceNodeId,3,False,False,True,True,False
itemIndex,2,True,False,True,True,False
serialize,1,True,True,True,True,False
nameInternal,2,True,False,True,True,False
edgeIndexesStart,3,True,True,True,True,False
edgeIndexesEnd,3,True,False,True,True,False
ordinal,1,True,False,True,True,False
nextNodeIndex,3,True,False,True,True,False
rawType,2,True,False,True,True,False
HeapSnapshotNodeIterator,4,True,False,True,False,False
hasNext,2,True,True,True,True,False
item,1,True,False,True,True,False
next,1,True,False,True,True,False
HeapSnapshotIndexRangeIterator,5,True,False,True,False,False
hasNext,2,True,True,True,True,False
item,1,True,False,True,True,False
next,1,True,False,True,True,False
HeapSnapshotFilteredIterator,4,True,True,True,False,False
hasNext,2,True,True,True,True,False
item,1,True,False,True,True,False
next,1,True,False,True,True,False
skipFilteredItems,3,True,True,True,True,False
HeapSnapshotProgress,3,True,False,True,False,False
updateStatus,2,True,True,True,True,False
updateProgress,2,True,True,True,True,False
reportProblem,2,True,False,True,True,False
sendUpdateEvent,3,True,True,True,True,False
