Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
clean,1,True,True,True,True,False
unionBuild,2,True,True,True,True,False
web,1,True,False,True,True,False
greeting,1,True,True,True,True,False
logStats,2,True,True,True,True,False
removeJunk,2,True,True,True,True,False
startRenderer,2,True,True,True,True,False
startMain,2,True,True,True,True,False
startElectron,2,True,True,True,True,False
electronLog,2,True,True,True,True,False
greeting,1,True,True,True,True,False
init,1,False,False,True,True,False
exports,1,True,False,True,True,False
hash,1,True,False,True,True,False
createZip,2,True,True,True,True,False
start,1,True,True,True,True,False
copyAppZip,3,True,False,True,True,False
copyHTML,2,False,False,True,True,False
resolve,1,True,True,True,True,False
getLocalConfig,3,True,True,True,True,False
setConfig,2,True,True,True,True,False
saveConfig,2,True,True,True,True,False
getPlainConfig,3,True,True,True,True,False
pad,1,True,False,True,True,False
getTimeString,3,True,True,True,True,False
start,1,True,True,True,True,False
saveData,2,True,True,True,True,False
readData,2,True,True,True,True,False
changeCurrent,2,True,True,True,True,False
compareList,2,True,True,True,True,False
mergeList,2,True,True,True,True,False
mergeData,2,True,True,True,True,False
detectGameType,3,True,True,True,True,False
readLog,2,True,True,True,True,False
getGachaLog,3,False,True,True,True,False
getGachaLogs,3,False,True,True,True,False
checkResStatus,3,True,True,True,True,False
tryGetUid,3,False,True,True,True,False
getGachaType,3,False,True,True,True,False
fixAuthkey,3,True,True,True,False,False
getQuerystring,3,True,True,True,False,False
proxyServer,2,True,False,True,True,False
useProxy,2,True,True,True,True,False
tryRequest,2,True,True,True,True,False
getUrl,2,False,True,True,True,False
fetchData,2,True,True,True,True,False
fetchDataByProxy,4,True,True,True,True,False
getData,2,True,True,True,True,False
start,1,True,True,True,True,False
addProp,2,True,True,True,True,False
parseData,2,True,True,True,True,False
prepareData,2,True,True,True,True,False
parseText,2,True,True,True,True,False
createWindow,2,True,True,True,True,False
i,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
r,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
t,1,True,False,False,True,False
a,1,True,False,False,True,False
u,1,True,False,False,True,False
n,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
r,1,True,False,False,True,False
n,1,True,False,False,True,False
e,1,True,False,False,True,False
n,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
t,1,True,False,False,True,False
u,1,True,False,False,True,False
s,1,True,False,False,True,False
bufferToString,3,True,True,True,True,False
stringToBuffer,3,True,False,True,True,False
n,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
n,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
_invoke,1,True,False,True,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
next,1,True,False,True,True,False
throw,1,True,True,True,True,False
return,1,True,True,True,True,False
t,1,True,False,False,True,False
i,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
y,1,True,False,False,True,False
r,1,True,False,False,True,False
o,1,True,False,False,True,False
i,1,True,False,False,True,False
r,1,True,False,False,True,False
e,1,True,False,False,True,False
n,1,True,False,False,True,False
o,1,True,False,False,True,False
n,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
m,1,True,True,False,True,False
t,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
o,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
c,1,True,False,False,True,False
d,1,True,False,False,True,False
p,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
c,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
c,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
c,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
c,1,True,False,False,True,False
r,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
u,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
u,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
u,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
c,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
u,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
u,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
u,1,True,False,False,True,False
V_SHAPE_ATTRIBUTES,3,True,True,False,False,True
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
c,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
c,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
c,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
c,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
u,1,True,False,False,True,False
DateFormat,2,True,False,True,False,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
c,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
u,1,True,False,False,True,False
DateFormat,2,True,False,True,False,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
c,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
u,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
c,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
u,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
c,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
c,1,True,False,False,True,False
n,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
u,1,True,False,False,True,False
n,1,True,False,False,True,False
