Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
clean,clean,True,VERB,5
unionBuild,union,True,NOUN,5
unionBuild,Build,True,VERB,5
web,web,True,NOUN,3
greeting,greeting,True,VERB,8
logStats,log,True,VERB,3
logStats,Stats,True,NOUN,5
removeJunk,remove,True,VERB,6
removeJunk,Junk,True,NOUN,4
startRenderer,start,True,VERB,5
startRenderer,Renderer,True,NOUN,8
startMain,start,True,VERB,5
startMain,Main,True,ADJ,4
startElectron,start,True,VERB,5
startElectron,Electron,True,PROPN,8
electronLog,electron,True,NOUN,8
electronLog,Log,True,VERB,3
greeting,greeting,True,VERB,8
init,init,True,PROPN,4
exports,exports,True,NOUN,7
hash,hash,True,NOUN,4
createZip,create,True,VERB,6
createZip,Zip,True,NOUN,3
start,start,True,VERB,5
copyAppZip,copy,True,NOUN,4
copyAppZip,App,True,PROPN,3
copyAppZip,Zip,True,NOUN,3
copyHTML,copy,True,NOUN,4
copyHTML,HTML,True,NOUN,4
resolve,resolve,True,VERB,7
getLocalConfig,get,True,VERB,3
getLocalConfig,Local,True,ADJ,5
getLocalConfig,Config,False,PROPN,6
setConfig,set,True,VERB,3
setConfig,Config,False,PROPN,6
saveConfig,save,True,VERB,4
saveConfig,Config,False,PROPN,6
getPlainConfig,get,True,VERB,3
getPlainConfig,Plain,True,VERB,5
getPlainConfig,Config,False,PROPN,6
pad,pad,True,NOUN,3
getTimeString,get,True,VERB,3
getTimeString,Time,True,NOUN,4
getTimeString,String,True,NOUN,6
start,start,True,VERB,5
saveData,save,True,VERB,4
saveData,Data,True,NOUN,4
readData,read,True,VERB,4
readData,Data,True,NOUN,4
changeCurrent,change,True,VERB,6
changeCurrent,Current,True,ADJ,7
compareList,compare,True,VERB,7
compareList,List,True,NOUN,4
mergeList,merge,True,VERB,5
mergeList,List,True,NOUN,4
mergeData,merge,True,VERB,5
mergeData,Data,True,NOUN,4
detectGameType,detect,True,VERB,6
detectGameType,Game,True,NOUN,4
detectGameType,Type,True,NOUN,4
readLog,read,True,VERB,4
readLog,Log,True,VERB,3
getGachaLog,get,True,VERB,3
getGachaLog,Gacha,False,INTJ,5
getGachaLog,Log,True,VERB,3
getGachaLogs,get,True,VERB,3
getGachaLogs,Gacha,False,INTJ,5
getGachaLogs,Logs,True,NOUN,4
checkResStatus,check,True,VERB,5
checkResStatus,Res,True,NOUN,3
checkResStatus,Status,True,NOUN,6
tryGetUid,try,True,VERB,3
tryGetUid,Get,True,VERB,3
tryGetUid,Uid,False,ADJ,3
getGachaType,get,True,VERB,3
getGachaType,Gacha,False,INTJ,5
getGachaType,Type,True,NOUN,4
fixAuthkey,fix,True,VERB,3
fixAuthkey,Auth,True,PROPN,4
fixAuthkey,key,True,ADJ,3
getQuerystring,get,True,VERB,3
getQuerystring,Query,True,NOUN,5
getQuerystring,string,True,PROPN,6
proxyServer,proxy,True,NOUN,5
proxyServer,Server,True,PROPN,6
useProxy,use,True,VERB,3
useProxy,Proxy,True,INTJ,5
tryRequest,try,True,VERB,3
tryRequest,Request,True,NOUN,7
getUrl,get,True,VERB,3
getUrl,Url,False,NOUN,3
fetchData,fetch,True,VERB,5
fetchData,Data,True,NOUN,4
fetchDataByProxy,fetch,True,VERB,5
fetchDataByProxy,Data,True,NOUN,4
fetchDataByProxy,By,True,ADP,2
fetchDataByProxy,Proxy,True,INTJ,5
getData,get,True,VERB,3
getData,Data,True,NOUN,4
start,start,True,VERB,5
addProp,add,True,VERB,3
addProp,Prop,True,PROPN,4
parseData,parse,True,VERB,5
parseData,Data,True,NOUN,4
prepareData,prepare,True,VERB,7
prepareData,Data,True,NOUN,4
parseText,parse,True,VERB,5
parseText,Text,True,NOUN,4
createWindow,create,True,VERB,6
createWindow,Window,True,NOUN,6
i,i,True,PRON,1
t,t,True,NOUN,1
n,n,True,CCONJ,1
i,i,True,PRON,1
s,s,True,NOUN,1
u,u,True,NOUN,1
o,o,True,X,1
a,a,True,PRON,1
t,t,True,NOUN,1
t,t,True,NOUN,1
t,t,True,NOUN,1
n,n,True,CCONJ,1
i,i,True,PRON,1
t,t,True,NOUN,1
n,n,True,CCONJ,1
i,i,True,PRON,1
o,o,True,X,1
t,t,True,NOUN,1
t,t,True,NOUN,1
t,t,True,NOUN,1
t,t,True,NOUN,1
t,t,True,NOUN,1
t,t,True,NOUN,1
