Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
fn,1,False,False,True,True,False
increaser,1,False,False,True,True,False
exports,1,True,False,True,True,False
fn,1,False,False,True,True,False
increaser,1,False,False,True,True,False
transformVarToLetRollupPlugin,7,True,True,True,False,False
fn,1,False,False,True,True,False
increaser,1,False,False,True,True,False
transformVarToLetVitePlugin,7,True,True,False,False,False
fn,1,False,False,True,True,False
increaser,1,False,False,True,True,False
getUsedComponents,3,True,True,True,True,False
importStyle,2,True,False,True,True,False
importComponent,2,True,False,True,True,False
astReplace,2,False,True,True,True,False
transformContents,2,True,True,True,True,False
pluginImport,2,True,True,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
customName,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__export,1,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
__reExport,2,False,True,True,True,False
__toModule,2,True,False,True,True,False
__markAsModule,3,True,False,True,True,False
