Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
fn,fn,False,INTJ,2
increaser,increaser,False,NOUN,9
exports,exports,True,NOUN,7
fn,fn,False,INTJ,2
increaser,increaser,False,NOUN,9
transformVarToLetRollupPlugin,transform,True,VERB,9
transformVarToLetRollupPlugin,Var,True,PROPN,3
transformVarToLetRollupPlugin,To,True,PART,2
transformVarToLetRollupPlugin,Let,True,VERB,3
transformVarToLetRollupPlugin,Roll,True,NOUN,4
transformVarToLetRollupPlugin,up,True,ADV,2
transformVarToLetRollupPlugin,Plugin,True,VERB,6
fn,fn,False,INTJ,2
increaser,increaser,False,NOUN,9
transformVarToLetVitePlugin,transform,True,VERB,9
transformVarToLetVitePlugin,Var,True,PROPN,3
transformVarToLetVitePlugin,To,True,PART,2
transformVarToLetVitePlugin,Let,True,VERB,3
transformVarToLetVitePlugin,V,True,NOUN,1
transformVarToLetVitePlugin,ite,False,PROPN,3
transformVarToLetVitePlugin,Plugin,True,VERB,6
fn,fn,False,INTJ,2
increaser,increaser,False,NOUN,9
getUsedComponents,get,True,VERB,3
getUsedComponents,Used,True,VERB,4
getUsedComponents,Components,True,NOUN,10
importStyle,import,True,NOUN,6
importStyle,Style,True,NOUN,5
importComponent,import,True,NOUN,6
importComponent,Component,True,NOUN,9
astReplace,ast,False,ADP,3
astReplace,Replace,True,VERB,7
transformContents,transform,True,VERB,9
transformContents,Contents,True,NOUN,8
pluginImport,plugin,True,VERB,6
pluginImport,Import,True,NOUN,6
__markAsModule,mark,True,NOUN,4
__markAsModule,As,True,ADP,2
__markAsModule,Module,True,NOUN,6
__reExport,re,True,VERB,2
__reExport,Export,True,NOUN,6
__toModule,to,True,PART,2
__toModule,Module,True,NOUN,6
__markAsModule,mark,True,NOUN,4
__markAsModule,As,True,ADP,2
__markAsModule,Module,True,NOUN,6
__reExport,re,True,VERB,2
__reExport,Export,True,NOUN,6
__toModule,to,True,PART,2
__toModule,Module,True,NOUN,6
__markAsModule,mark,True,NOUN,4
__markAsModule,As,True,ADP,2
__markAsModule,Module,True,NOUN,6
__reExport,re,True,VERB,2
__reExport,Export,True,NOUN,6
__toModule,to,True,PART,2
__toModule,Module,True,NOUN,6
__markAsModule,mark,True,NOUN,4
__markAsModule,As,True,ADP,2
__markAsModule,Module,True,NOUN,6
__reExport,re,True,VERB,2
__reExport,Export,True,NOUN,6
__toModule,to,True,PART,2
__toModule,Module,True,NOUN,6
__markAsModule,mark,True,NOUN,4
__markAsModule,As,True,ADP,2
__markAsModule,Module,True,NOUN,6
__reExport,re,True,VERB,2
__reExport,Export,True,NOUN,6
__toModule,to,True,PART,2
__toModule,Module,True,NOUN,6
__markAsModule,mark,True,NOUN,4
__markAsModule,As,True,ADP,2
__markAsModule,Module,True,NOUN,6
__reExport,re,True,VERB,2
__reExport,Export,True,NOUN,6
__toModule,to,True,PART,2
__toModule,Module,True,NOUN,6
customName,custom,True,NOUN,6
customName,Name,True,NOUN,4
__markAsModule,mark,True,NOUN,4
__markAsModule,As,True,ADP,2
__markAsModule,Module,True,NOUN,6
__reExport,re,True,VERB,2
__reExport,Export,True,NOUN,6
__toModule,to,True,PART,2
__toModule,Module,True,NOUN,6
__markAsModule,mark,True,NOUN,4
__markAsModule,As,True,ADP,2
__markAsModule,Module,True,NOUN,6
__reExport,re,True,VERB,2
__reExport,Export,True,NOUN,6
__toModule,to,True,PART,2
__toModule,Module,True,NOUN,6
__markAsModule,mark,True,NOUN,4
__markAsModule,As,True,ADP,2
__markAsModule,Module,True,NOUN,6
__reExport,re,True,VERB,2
__reExport,Export,True,NOUN,6
__toModule,to,True,PART,2
__toModule,Module,True,NOUN,6
__markAsModule,mark,True,NOUN,4
__markAsModule,As,True,ADP,2
__markAsModule,Module,True,NOUN,6
__reExport,re,True,VERB,2
__reExport,Export,True,NOUN,6
__toModule,to,True,PART,2
__toModule,Module,True,NOUN,6
__markAsModule,mark,True,NOUN,4
__markAsModule,As,True,ADP,2
__markAsModule,Module,True,NOUN,6
__reExport,re,True,VERB,2
__reExport,Export,True,NOUN,6
__toModule,to,True,PART,2
__toModule,Module,True,NOUN,6
__markAsModule,mark,True,NOUN,4
__markAsModule,As,True,ADP,2
__markAsModule,Module,True,NOUN,6
__reExport,re,True,VERB,2
__reExport,Export,True,NOUN,6
__toModule,to,True,PART,2
__toModule,Module,True,NOUN,6
__markAsModule,mark,True,NOUN,4
__markAsModule,As,True,ADP,2
__markAsModule,Module,True,NOUN,6
__export,export,True,NOUN,6
__reExport,re,True,VERB,2
__reExport,Export,True,NOUN,6
__toModule,to,True,PART,2
__toModule,Module,True,NOUN,6
__markAsModule,mark,True,NOUN,4
__markAsModule,As,True,ADP,2
__markAsModule,Module,True,NOUN,6
__reExport,re,True,VERB,2
__reExport,Export,True,NOUN,6
__toModule,to,True,PART,2
__toModule,Module,True,NOUN,6
__markAsModule,mark,True,NOUN,4
__markAsModule,As,True,ADP,2
__markAsModule,Module,True,NOUN,6
__reExport,re,True,VERB,2
__reExport,Export,True,NOUN,6
__toModule,to,True,PART,2
