Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
processQuery,2,True,False,True,True,False
getQueryVariable,3,True,True,True,True,False
replaceQueryParamter,3,False,True,True,True,False
processQuery,2,True,False,True,True,False
done,1,True,True,True,True,False
done,1,True,True,True,True,False
initConfigDefaults,3,False,False,True,True,False
pad,1,True,False,True,True,False
trim,1,True,True,True,True,False
trim,1,True,True,True,True,False
toISOString,3,False,False,True,True,False
toISOString,3,False,False,True,True,False
initRequiredPolyfills,5,False,True,False,False,False
getDomNodeLocalName,5,False,True,True,True,False
getDomNodeNamespacePrefix,5,False,True,True,True,False
escapeXmlChars,3,False,True,True,True,False
unescapeXmlChars,3,False,True,True,True,False
ensureProperArrayAccessForm,5,True,True,True,True,False
xmlDateTimeToDate,5,False,True,True,True,False
convertToDateIfRequired,5,True,True,True,True,False
deserializeRootElementChildren,4,True,True,True,True,False
toString,2,True,False,True,True,False
toString,2,True,False,True,True,False
deserializeElementChildren,3,True,False,True,True,False
deserializeDomChildren,3,False,True,True,True,False
serializeStartTag,3,True,True,True,True,False
serializeEndTag,3,True,True,True,True,False
endsWith,2,True,True,True,True,False
isSpecialProperty,3,True,False,True,True,False
getDataElementCount,4,True,True,True,True,False
getDataAttributeNames,4,True,True,True,True,False
serializeComplexTextNodeContents,5,True,True,True,True,False
serializeTextNodeContents,4,True,True,True,True,False
serializeArray,2,True,True,True,True,False
serializeJavaScriptObject,4,False,True,True,True,False
serializeJavaScriptObjectChildren,5,False,True,True,True,False
parseXml,2,False,True,True,True,False
asArray,2,True,True,True,True,False
asArray,2,True,True,True,True,False
toXmlDateTime,4,False,True,True,True,False
toXmlDateTime,4,False,True,True,True,False
asDateTime,3,True,False,True,True,False
asDateTime,3,True,False,True,True,False
xml2dom,3,False,True,False,False,False
xml2dom,3,False,True,False,False,False
dom2js,3,False,False,False,False,False
dom2js,3,False,False,False,False,False
js2dom,3,False,False,False,False,False
js2dom,3,False,False,False,False,False
xml2js,3,False,True,False,False,False
xml2js,3,False,True,False,False,False
js2xml,3,False,True,False,False,False
js2xml,3,False,True,False,False,False
getVersion,2,True,True,True,True,False
getVersion,2,True,True,True,True,False
X2JS,3,False,False,False,False,False
done,1,True,True,True,True,False
xmlReplace,2,False,True,True,True,False
processQuery,2,True,False,True,True,False
