Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
createHashSource,create,True,VERB,6
createHashSource,Hash,True,VERB,4
createHashSource,Source,True,NOUN,6
exports,exports,True,NOUN,7
buildCopy,build,True,VERB,5
buildCopy,Copy,True,VERB,4
buildMdColors,build,True,VERB,5
buildMdColors,Md,True,PROPN,2
buildMdColors,Colors,True,NOUN,6
createComponentTypes,create,True,VERB,6
createComponentTypes,Component,True,NOUN,9
createComponentTypes,Types,True,NOUN,5
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
getSponsors,get,True,VERB,3
getSponsors,Sponsors,True,NOUN,8
buildTables,build,True,VERB,5
buildTables,Tables,True,NOUN,6
buildSponsorsList,build,True,VERB,5
buildSponsorsList,Sponsors,True,NOUN,8
buildSponsorsList,List,True,NOUN,4
buildSponsors,build,True,VERB,5
buildSponsors,Sponsors,True,NOUN,8
addOnClickProp,add,True,VERB,3
addOnClickProp,On,True,ADP,2
addOnClickProp,Click,True,VERB,5
addOnClickProp,Prop,True,PROPN,4
createComponentTypes,create,True,VERB,6
createComponentTypes,Component,True,NOUN,9
createComponentTypes,Types,True,NOUN,5
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
atomicType,atomic,True,ADJ,6
atomicType,Type,True,NOUN,4
getPropType,get,True,VERB,3
getPropType,Prop,True,PROPN,4
getPropType,Type,True,NOUN,4
getPropName,get,True,VERB,3
getPropName,Prop,True,PROPN,4
getPropName,Name,True,NOUN,4
getProp,get,True,VERB,3
getProp,Prop,True,PROPN,4
createComponentTypes,create,True,VERB,6
createComponentTypes,Component,True,NOUN,9
createComponentTypes,Types,True,NOUN,5
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
release,release,True,VERB,7
transformVueComponent,transform,True,VERB,9
transformVueComponent,Vue,False,NOUN,3
transformVueComponent,Component,True,NOUN,9
isObject,is,True,AUX,2
isObject,Object,True,VERB,6
uniqueArray,unique,True,ADJ,6
uniqueArray,Array,True,VERB,5
extend,extend,True,VERB,6
exports,exports,True,NOUN,7
colorHexToRgb,color,True,NOUN,5
colorHexToRgb,Hex,True,NOUN,3
colorHexToRgb,To,True,PART,2
colorHexToRgb,Rgb,False,PROPN,3
colorRgbToHex,color,True,NOUN,5
colorRgbToHex,Rgb,False,PROPN,3
colorRgbToHex,To,True,PART,2
colorRgbToHex,Hex,True,NOUN,3
colorRgbToHsl,color,True,NOUN,5
colorRgbToHsl,Rgb,False,PROPN,3
colorRgbToHsl,To,True,PART,2
colorRgbToHsl,Hsl,False,PROPN,3
colorHslToRgb,color,True,NOUN,5
colorHslToRgb,Hsl,False,PROPN,3
colorHslToRgb,To,True,PART,2
colorHslToRgb,Rgb,False,PROPN,3
iosColors,ios,False,NOUN,3
iosColors,Colors,True,NOUN,6
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
toRGBA,to,True,PART,2
toRGBA,RGBA,False,NOUN,4
blend,blend,True,VERB,5
name,name,True,NOUN,4
shouldSkip,should,True,AUX,6
shouldSkip,Skip,True,NOUN,4
mdColors,md,False,PROPN,2
mdColors,Colors,True,NOUN,6
useAutoTheme,use,True,VERB,3
useAutoTheme,Auto,True,NOUN,4
useAutoTheme,Theme,True,NOUN,5
useDarkClasses,use,True,VERB,3
useDarkClasses,Dark,True,PROPN,4
useDarkClasses,Classes,True,NOUN,7
useIsomorphicLayoutEffect,use,True,VERB,3
useIsomorphicLayoutEffect,Isomorphic,True,ADJ,10
useIsomorphicLayoutEffect,Layout,True,NOUN,6
useIsomorphicLayoutEffect,Effect,True,VERB,6
useListDividers,use,True,VERB,3
useListDividers,List,True,NOUN,4
useListDividers,Dividers,True,NOUN,8
propClasses,prop,True,NOUN,4
propClasses,Classes,True,NOUN,7
themeClasses,theme,True,NOUN,5
themeClasses,Classes,True,NOUN,7
useThemeClasses,use,True,VERB,3
useThemeClasses,Theme,True,NOUN,5
useThemeClasses,Classes,True,NOUN,7
useTheme,use,True,VERB,3
useTheme,Theme,True,NOUN,5
removeRipple,remove,True,VERB,6
removeRipple,Ripple,True,NOUN,6
onPointerDown,on,True,ADP,2
onPointerDown,Pointer,True,NOUN,7
onPointerDown,Down,True,ADV,4
onPointerMove,on,True,ADP,2
onPointerMove,Pointer,True,NOUN,7
onPointerMove,Move,True,VERB,4
onPointerUp,on,True,ADP,2
onPointerUp,Pointer,True,NOUN,7
onPointerUp,Up,True,ADV,2
attachEvents,attach,True,VERB,6
attachEvents,Events,True,NOUN,6
detachEvents,detach,True,PROPN,6
detachEvents,Events,True,NOUN,6
onMounted,on,True,ADP,2
onMounted,Mounted,True,VERB,7
onDestroy,on,True,ADP,2
onDestroy,Destroy,True,VERB,7
useTouchRipple,use,True,VERB,3
useTouchRipple,Touch,True,VERB,5
useTouchRipple,Ripple,True,NOUN,6
calcPopoverPosition,calc,False,NOUN,4
calcPopoverPosition,Popover,True,NOUN,7
calcPopoverPosition,Position,True,NOUN,8
ActionsButtonClasses,Actions,True,NOUN,7
ActionsButtonClasses,Button,True,PROPN,6
ActionsButtonClasses,Classes,True,NOUN,7
ActionsClasses,Actions,True,NOUN,7
ActionsClasses,Classes,True,NOUN,7
ActionsGroupClasses,Actions,True,NOUN,7
ActionsGroupClasses,Group,True,PROPN,5
ActionsGroupClasses,Classes,True,NOUN,7
ActionsLabelClasses,Actions,True,NOUN,7
ActionsLabelClasses,Label,True,PROPN,5
ActionsLabelClasses,Classes,True,NOUN,7
AppClasses,App,True,PROPN,3
AppClasses,Classes,True,NOUN,7
BadgeClasses,Badge,True,VERB,5
BadgeClasses,Classes,True,NOUN,7
BlockClasses,Block,True,VERB,5
BlockClasses,Classes,True,NOUN,7
BlockFooterClasses,Block,True,VERB,5
BlockFooterClasses,Footer,True,PROPN,6
BlockFooterClasses,Classes,True,NOUN,7
BlockHeaderClasses,Block,True,VERB,5
BlockHeaderClasses,Header,True,NOUN,6
BlockHeaderClasses,Classes,True,NOUN,7
BlockTitleClasses,Block,True,VERB,5
BlockTitleClasses,Title,True,NOUN,5
BlockTitleClasses,Classes,True,NOUN,7
BreadcrumbsClasses,Breadcrumbs,True,NOUN,11
BreadcrumbsClasses,Classes,True,NOUN,7
BreadcrumbsCollapsedClasses,Breadcrumbs,True,NOUN,11
BreadcrumbsCollapsedClasses,Collapsed,True,VERB,9
BreadcrumbsCollapsedClasses,Classes,True,NOUN,7
BreadcrumbsItemClasses,Breadcrumbs,True,NOUN,11
BreadcrumbsItemClasses,Item,True,NOUN,4
BreadcrumbsItemClasses,Classes,True,NOUN,7
BreadcrumbsSeparatorClasses,Breadcrumbs,True,NOUN,11
BreadcrumbsSeparatorClasses,Separator,True,PROPN,9
BreadcrumbsSeparatorClasses,Classes,True,NOUN,7
ButtonClasses,Button,True,PROPN,6
ButtonClasses,Classes,True,NOUN,7
CardClasses,Card,True,NOUN,4
CardClasses,Classes,True,NOUN,7
CheckboxClasses,Checkbox,True,PROPN,8
CheckboxClasses,Classes,True,NOUN,7
ChipClasses,Chip,True,NOUN,4
ChipClasses,Classes,True,NOUN,7
DialogButtonClasses,Dialog,True,NOUN,6
DialogButtonClasses,Button,True,PROPN,6
DialogButtonClasses,Classes,True,NOUN,7
DialogClasses,Dialog,True,NOUN,6
DialogClasses,Classes,True,NOUN,7
FabClasses,Fab,True,NOUN,3
FabClasses,Classes,True,NOUN,7
IconClasses,Icon,True,NOUN,4
IconClasses,Classes,True,NOUN,7
LinkClasses,Link,True,NOUN,4
LinkClasses,Classes,True,NOUN,7
ListButtonClasses,List,True,NOUN,4
ListButtonClasses,Button,True,PROPN,6
ListButtonClasses,Classes,True,NOUN,7
ListClasses,List,True,NOUN,4
ListClasses,Classes,True,NOUN,7
ListInputClasses,List,True,NOUN,4
ListInputClasses,Input,True,NOUN,5
ListInputClasses,Classes,True,NOUN,7
ListItemClasses,List,True,NOUN,4
ListItemClasses,Item,True,NOUN,4
ListItemClasses,Classes,True,NOUN,7
MessagebarClasses,Message,True,NOUN,7
MessagebarClasses,bar,True,NOUN,3
MessagebarClasses,Classes,True,NOUN,7
MessagesClasses,Messages,True,NOUN,8
MessagesClasses,Classes,True,NOUN,7
MessagesTitleClasses,Messages,True,NOUN,8
MessagesTitleClasses,Title,True,NOUN,5
MessagesTitleClasses,Classes,True,NOUN,7
NavbarBackLinkClasses,Nav,True,NOUN,3
NavbarBackLinkClasses,bar,True,NOUN,3
NavbarBackLinkClasses,Back,True,ADV,4
NavbarBackLinkClasses,Link,True,NOUN,4
NavbarBackLinkClasses,Classes,True,NOUN,7
NavbarClasses,Nav,True,NOUN,3
NavbarClasses,bar,True,NOUN,3
NavbarClasses,Classes,True,NOUN,7
NotificationsClasses,Notifications,True,NOUN,13
NotificationsClasses,Classes,True,NOUN,7
PageClasses,Page,True,NOUN,4
PageClasses,Classes,True,NOUN,7
PanelClasses,Panel,True,NOUN,5
PanelClasses,Classes,True,NOUN,7
PopoverClasses,Popover,True,NOUN,7
PopoverClasses,Classes,True,NOUN,7
PopupClasses,Popup,True,PROPN,5
PopupClasses,Classes,True,NOUN,7
PreloaderClasses,P,True,NOUN,1
PreloaderClasses,reloader,False,NOUN,8
PreloaderClasses,Classes,True,NOUN,7
ProgressbarClasses,Progress,True,NOUN,8
ProgressbarClasses,bar,True,NOUN,3
ProgressbarClasses,Classes,True,NOUN,7
RadioClasses,Radio,True,NOUN,5
RadioClasses,Classes,True,NOUN,7
RangeClasses,Range,True,NOUN,5
RangeClasses,Classes,True,NOUN,7
SearchbarClasses,Search,True,NOUN,6
SearchbarClasses,bar,True,NOUN,3
SearchbarClasses,Classes,True,NOUN,7
SegmentedClasses,Segmented,True,PROPN,9
SegmentedClasses,Classes,True,NOUN,7
SheetClasses,Sheet,True,NOUN,5
SheetClasses,Classes,True,NOUN,7
StepperClasses,Stepper,True,NOUN,7
StepperClasses,Classes,True,NOUN,7
TabbarLinkClasses,Tab,True,VERB,3
TabbarLinkClasses,bar,True,NOUN,3
TabbarLinkClasses,Link,True,NOUN,4
TabbarLinkClasses,Classes,True,NOUN,7
ToastClasses,Toast,True,VERB,5
ToastClasses,Classes,True,NOUN,7
ToggleClasses,Toggle,True,PROPN,6
ToggleClasses,Classes,True,NOUN,7
ToolbarClasses,Toolbar,True,NOUN,7
ToolbarClasses,Classes,True,NOUN,7
cls,cls,False,ADV,3
ActionsColors,Actions,True,NOUN,7
ActionsColors,Colors,True,NOUN,6
ActionsGroupColors,Actions,True,NOUN,7
ActionsGroupColors,Group,True,PROPN,5
ActionsGroupColors,Colors,True,NOUN,6
AppColors,App,True,PROPN,3
AppColors,Colors,True,NOUN,6
BreadcrumbsSeparatorColors,Breadcrumbs,True,NOUN,11
BreadcrumbsSeparatorColors,Separator,True,PROPN,9
BreadcrumbsSeparatorColors,Colors,True,NOUN,6
IconColors,Icon,True,NOUN,4
IconColors,Colors,True,NOUN,6
ListGroupColors,List,True,NOUN,4
ListGroupColors,Group,True,PROPN,5
ListGroupColors,Colors,True,NOUN,6
MenuListColors,Menu,True,PROPN,4
MenuListColors,List,True,NOUN,4
MenuListColors,Colors,True,NOUN,6
MenuListItemColors,Menu,True,PROPN,4
MenuListItemColors,List,True,NOUN,4
MenuListItemColors,Item,True,NOUN,4
