Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
__webpack_require__,3,True,True,True,False,False
I,1,True,False,False,False,False
keys,1,True,False,True,True,False
I,1,True,False,False,False,False
keys,1,True,False,True,True,False
__webpack_require__,3,True,True,True,False,False
d,1,True,False,False,True,False
e,1,True,False,False,True,False
u,1,True,False,False,True,False
o,1,True,False,False,True,False
g,1,True,False,False,True,False
l,1,True,False,False,True,False
r,1,True,False,False,True,False
j,1,True,False,False,True,False
e,1,True,False,False,True,False
I,1,True,False,False,False,False
keys,1,True,False,True,True,False
I,1,True,False,False,False,False
keys,1,True,False,True,True,False
__webpack_require__,3,True,True,True,False,False
d,1,True,False,False,True,False
e,1,True,False,False,True,False
u,1,True,False,False,True,False
o,1,True,False,False,True,False
C,1,True,False,False,False,False
l,1,True,False,False,True,False
r,1,True,False,False,True,False
j,1,True,False,False,True,False
e,1,True,False,False,True,False
ByteBuffer,2,True,False,True,False,False
stringSource,2,True,False,True,True,False
stringDestination,2,True,False,True,True,False
accessor,1,False,False,True,True,False
allocate,1,True,True,True,True,False
concat,1,False,False,True,True,False
isByteBuffer,3,True,False,True,True,False
type,1,True,False,True,True,False
wrap,1,True,True,True,True,False
writeBitSet,3,True,True,True,True,False
readBitSet,3,True,True,True,True,False
readBytes,2,True,True,True,True,False
writeInt8,2,True,True,True,True,False
readInt8,2,True,True,True,True,False
writeUint8,2,True,True,True,True,False
readUint8,2,True,True,True,True,False
writeInt16,2,True,True,True,True,False
readInt16,2,True,True,True,True,False
writeUint16,2,True,True,True,True,False
readUint16,2,True,True,True,True,False
writeInt32,2,True,True,True,True,False
readInt32,2,True,True,True,True,False
writeUint32,2,True,True,True,True,False
readUint32,2,True,True,True,True,False
writeInt64,2,True,True,True,True,False
readInt64,2,True,True,True,True,False
writeUint64,2,True,True,True,True,False
readUint64,2,True,True,True,True,False
ieee754_read,3,False,True,True,False,False
ieee754_write,3,False,True,True,False,False
writeFloat32,2,True,True,True,True,False
readFloat32,2,True,True,True,True,False
writeFloat64,2,True,True,True,True,False
readFloat64,2,True,True,True,True,False
calculateVarint32,3,True,True,True,False,False
zigZagEncode32,4,False,False,True,False,False
zigZagDecode32,4,False,False,True,False,False
writeVarint32,3,True,True,True,False,False
writeVarint32ZigZag,5,False,True,True,False,False
readVarint32,3,True,True,True,False,False
readVarint32ZigZag,5,False,True,True,False,False
calculateVarint64,3,True,True,True,False,False
zigZagEncode64,4,False,False,True,False,False
zigZagDecode64,4,False,False,True,False,False
writeVarint64,3,True,True,True,False,False
writeVarint64ZigZag,5,False,True,True,False,False
readVarint64,3,True,True,True,False,False
readVarint64ZigZag,5,False,True,True,False,False
writeCString,3,True,True,False,True,False
readCString,3,True,True,False,True,False
writeIString,3,False,True,False,True,False
readIString,3,False,True,False,True,False
writeUTF8String,3,True,True,True,True,False
calculateUTF8Chars,3,True,True,True,True,False
calculateUTF8Bytes,3,True,True,True,True,False
readUTF8String,3,True,True,True,True,False
writeVString,3,True,True,False,True,False
readVString,3,True,True,False,True,False
append,1,True,True,True,True,False
appendTo,2,True,True,True,True,False
assert,1,True,False,True,True,False
capacity,1,True,False,True,True,False
clear,1,True,False,True,True,False
clone,1,True,True,True,True,False
compact,1,True,True,True,True,False
copy,1,True,False,True,True,False
copyTo,2,True,False,True,True,False
ensureCapacity,2,True,True,True,True,False
fill,1,True,True,True,True,False
