Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
__webpack_require__,web,True,NOUN,3
__webpack_require__,pack,True,VERB,4
__webpack_require__,require,True,VERB,7
I,I,True,PRON,1
keys,keys,True,NOUN,4
I,I,True,PRON,1
keys,keys,True,NOUN,4
__webpack_require__,web,True,NOUN,3
__webpack_require__,pack,True,VERB,4
__webpack_require__,require,True,VERB,7
d,d,True,X,1
e,e,True,X,1
u,u,True,NOUN,1
o,o,True,X,1
g,g,True,PROPN,1
l,l,True,NOUN,1
r,r,True,X,1
j,j,True,NOUN,1
e,e,True,X,1
I,I,True,PRON,1
keys,keys,True,NOUN,4
I,I,True,PRON,1
keys,keys,True,NOUN,4
__webpack_require__,web,True,NOUN,3
__webpack_require__,pack,True,VERB,4
__webpack_require__,require,True,VERB,7
d,d,True,X,1
e,e,True,X,1
u,u,True,NOUN,1
o,o,True,X,1
C,C,True,NOUN,1
l,l,True,NOUN,1
r,r,True,X,1
j,j,True,NOUN,1
e,e,True,X,1
ByteBuffer,Byte,True,PROPN,4
ByteBuffer,Buffer,True,PROPN,6
stringSource,string,True,PROPN,6
stringSource,Source,True,NOUN,6
stringDestination,string,True,PROPN,6
stringDestination,Destination,True,NOUN,11
accessor,accessor,False,NOUN,8
allocate,allocate,True,VERB,8
concat,concat,False,NOUN,6
isByteBuffer,is,True,AUX,2
isByteBuffer,Byte,True,PROPN,4
isByteBuffer,Buffer,True,PROPN,6
type,type,True,NOUN,4
wrap,wrap,True,VERB,4
writeBitSet,write,True,VERB,5
writeBitSet,Bit,True,NOUN,3
writeBitSet,Set,True,VERB,3
readBitSet,read,True,VERB,4
readBitSet,Bit,True,NOUN,3
readBitSet,Set,True,VERB,3
readBytes,read,True,VERB,4
readBytes,Bytes,True,NOUN,5
writeInt8,write,True,VERB,5
writeInt8,Int8,False,NOUN,4
readInt8,read,True,VERB,4
readInt8,Int8,False,NOUN,4
writeUint8,write,True,VERB,5
writeUint8,Uint8,False,NOUN,5
readUint8,read,True,VERB,4
readUint8,Uint8,False,NOUN,5
writeInt16,write,True,VERB,5
writeInt16,Int16,False,NOUN,5
readInt16,read,True,VERB,4
readInt16,Int16,False,NOUN,5
writeUint16,write,True,VERB,5
writeUint16,Uint16,False,NOUN,6
readUint16,read,True,VERB,4
readUint16,Uint16,False,NOUN,6
writeInt32,write,True,VERB,5
writeInt32,Int32,False,NOUN,5
readInt32,read,True,VERB,4
readInt32,Int32,False,NOUN,5
writeUint32,write,True,VERB,5
writeUint32,Uint32,False,NOUN,6
readUint32,read,True,VERB,4
readUint32,Uint32,False,NOUN,6
writeInt64,write,True,VERB,5
writeInt64,Int64,False,PROPN,5
readInt64,read,True,VERB,4
readInt64,Int64,False,PROPN,5
writeUint64,write,True,VERB,5
writeUint64,Uint64,False,ADJ,6
readUint64,read,True,VERB,4
readUint64,Uint64,False,ADJ,6
ieee754_read,ieee,False,NOUN,4
ieee754_read,754,True,NUM,3
ieee754_read,read,True,VERB,4
ieee754_write,ieee,False,NOUN,4
ieee754_write,754,True,NUM,3
ieee754_write,write,True,VERB,5
writeFloat32,write,True,VERB,5
writeFloat32,Float32,False,ADJ,7
readFloat32,read,True,VERB,4
readFloat32,Float32,False,ADJ,7
writeFloat64,write,True,VERB,5
writeFloat64,Float64,False,PROPN,7
readFloat64,read,True,VERB,4
readFloat64,Float64,False,PROPN,7
calculateVarint32,calculate,True,VERB,9
calculateVarint32,Var,True,PROPN,3
calculateVarint32,int32,False,NOUN,5
zigZagEncode32,zig,True,PROPN,3
zigZagEncode32,Zag,False,ADJ,3
zigZagEncode32,Encode,True,ADJ,6
zigZagEncode32,32,True,NUM,2
zigZagDecode32,zig,True,PROPN,3
zigZagDecode32,Zag,False,ADJ,3
zigZagDecode32,Decode,True,ADJ,6
zigZagDecode32,32,True,NUM,2
writeVarint32,write,True,VERB,5
writeVarint32,Var,True,PROPN,3
writeVarint32,int32,False,NOUN,5
writeVarint32ZigZag,write,True,VERB,5
writeVarint32ZigZag,Var,True,PROPN,3
writeVarint32ZigZag,int32,False,NOUN,5
writeVarint32ZigZag,Zig,True,NOUN,3
writeVarint32ZigZag,Zag,False,ADJ,3
readVarint32,read,True,VERB,4
readVarint32,Var,True,PROPN,3
readVarint32,int32,False,NOUN,5
readVarint32ZigZag,read,True,VERB,4
