Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
sayHi,2,True,True,True,True,False
addValues,2,True,True,True,True,False
start,1,True,True,True,True,False
logger,1,True,True,True,True,False
getPeople,2,True,True,True,True,False
createPerson,2,True,True,True,True,False
createPersonPostman,3,True,True,True,True,False
updatePerson,2,True,True,True,True,False
deletePerson,2,True,True,True,True,False
start,1,True,True,True,True,False
connectDB,2,True,True,True,True,False
createCustomError,3,True,True,True,True,False
asyncWrapper,2,False,False,True,True,False
errorHandlerMiddleware,3,True,False,True,True,False
notFound,2,True,True,True,True,False
showTasks,2,True,True,True,True,False
showTask,2,True,True,True,True,False
showTasks,2,True,True,True,True,False
showTask,2,True,True,True,True,False
start,1,True,True,True,True,False
getAllProductsStatic,4,True,True,True,True,False
getAllProducts,3,True,True,True,True,False
connectDB,2,True,True,True,True,False
errorHandlerMiddleware,3,True,False,True,True,False
notFound,2,True,True,True,True,False
start,1,True,True,True,True,False
connectDB,2,True,True,True,True,False
errorHandlerMiddleware,3,True,False,True,True,False
notFound,2,True,True,True,True,False
start,1,True,True,True,True,False
login,1,True,True,True,True,False
dashboard,1,True,False,True,True,False
connectDB,2,True,True,True,True,False
authenticationMiddleware,2,True,False,True,True,False
errorHandlerMiddleware,3,True,False,True,True,False
notFound,2,True,True,True,True,False
checkToken,2,True,True,True,True,False
start,1,True,True,True,True,False
connectDB,2,True,True,True,True,False
errorHandlerMiddleware,3,True,False,True,True,False
notFound,2,True,True,True,True,False
checkToken,2,True,True,True,True,False
start,1,True,True,True,True,False
getAllJobs,3,True,True,True,True,False
getJob,2,True,True,True,True,False
createJob,2,True,True,True,True,False
updateJob,2,True,True,True,True,False
deleteJob,2,True,True,True,True,False
connectDB,2,True,True,True,True,False
auth,1,True,False,True,True,False
errorHandlerMiddleware,3,True,False,True,True,False
notFound,2,True,True,True,True,False
createJWT,2,False,True,True,True,False
comparePassword,2,True,True,True,True,False
start,1,True,True,True,True,False
connectDB,2,True,True,True,True,False
errorHandlerMiddleware,3,True,False,True,True,False
notFound,2,True,True,True,True,False
start,1,True,True,True,True,False
exports,1,True,False,True,True,False
m,1,True,True,False,True,False
onreadystatechange,4,True,True,True,False,False
onabort,2,True,False,True,False,False
onerror,2,True,False,True,False,False
ontimeout,2,True,False,True,False,False
exports,1,True,False,True,True,False
create,1,True,True,True,True,False
e,1,True,False,False,True,False
all,1,True,False,True,True,False
t,1,True,False,False,True,False
toString,2,True,False,True,True,False
cancel,1,True,True,True,True,False
then,1,True,False,True,True,False
o,1,True,False,False,True,False
throwIfRequested,3,True,True,True,True,False
subscribe,1,True,True,True,True,False
unsubscribe,1,True,False,True,True,False
source,1,True,False,True,True,False
exports,1,True,False,True,True,False
l,1,True,False,False,True,False
request,1,True,False,True,True,False
getUri,2,False,True,True,True,False
e,1,True,False,False,True,False
e,1,True,False,False,True,False
o,1,True,False,False,True,False
use,1,True,True,True,True,False
eject,1,True,True,True,True,False
forEach,2,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
s,1,True,False,False,True,False
exports,1,True,False,True,True,False
toJSON,2,False,False,True,True,False
exports,1,True,False,True,True,False
o,1,True,False,False,True,False
i,1,True,False,False,True,False
a,1,True,False,False,True,False
u,1,True,False,False,True,False
s,1,True,False,False,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
s,1,True,False,False,True,False
exports,1,True,False,True,True,False
o,1,True,False,False,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
o,1,True,False,False,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
e,1,True,False,False,True,False
o,1,True,False,False,True,False
transitional,1,True,False,True,True,False
i,1,True,False,False,True,False
a,1,True,False,False,True,False
u,1,True,False,False,True,False
s,1,True,False,False,True,False
c,1,True,False,False,True,False
l,1,True,False,False,True,False
f,1,True,False,False,True,False
n,1,True,False,False,True,False
e,1,True,False,False,True,False
o,1,True,False,False,True,False
exports,1,True,False,True,True,False
b,1,True,False,False,True,False
x,1,True,True,False,True,False
w,1,True,False,False,True,False
abs,1,True,False,True,True,False
cmp,1,False,False,True,True,False
dp,1,False,True,True,True,False
div,1,True,False,True,True,False
idiv,2,False,False,True,False,False
eq,1,False,False,True,True,False
exponent,1,True,False,True,True,False
gt,1,True,False,True,True,False
gte,1,False,False,True,True,False
isint,2,True,False,True,False,False
isneg,2,True,False,True,False,False
ispos,2,False,False,True,False,False
isZero,2,True,False,True,True,False
lt,1,True,False,True,True,False
lte,1,False,False,True,True,False
log,1,True,True,True,True,False
sub,1,True,True,True,True,False
mod,1,True,False,True,True,False
exp,1,True,False,True,True,False
ln,1,True,False,True,True,False
neg,1,True,False,True,True,False
add,1,True,True,True,True,False
sd,1,False,True,True,True,False
sqrt,1,False,False,True,True,False
mul,1,False,False,True,True,False
todp,2,False,True,True,False,False
toExponential,2,True,False,True,True,False
toFixed,2,True,True,True,True,False
toint,2,True,False,True,False,False
toNumber,2,True,False,True,True,False
pow,1,True,False,True,True,False
toPrecision,2,True,False,True,True,False
tosd,2,False,True,True,False,False
toJSON,2,False,False,True,True,False
e,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
O,1,True,False,False,False,False
S,1,True,False,False,False,False
k,1,True,False,False,True,False
E,1,True,False,False,False,False
j,1,True,False,False,True,False
P,1,True,False,False,False,False
C,1,True,False,False,False,False
M,1,True,False,False,False,False
T,1,True,False,False,False,False
A,1,True,False,False,False,False
N,1,True,False,False,False,False
i,1,True,False,False,True,False
e,1,True,False,False,True,False
default,1,True,False,True,True,False
default,1,True,False,True,True,False
t,1,True,False,False,True,False
exports,1,True,False,True,True,False
r,1,True,False,False,True,False
o,1,True,False,False,True,False
i,1,True,False,False,True,False
a,1,True,False,False,True,False
u,1,True,False,False,True,False
eventNames,2,True,False,True,True,False
listeners,1,True,False,True,True,False
listenerCount,2,True,False,True,True,False
emit,1,True,True,True,True,False
on,1,True,False,True,True,False
once,1,True,False,True,True,False
removeListener,2,True,True,True,True,False
removeAllListeners,3,True,True,True,True,False
r,1,True,False,False,True,False
o,1,True,False,False,True,False
i,1,True,False,False,True,False
a,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
l,1,True,False,False,True,False
f,1,True,False,False,True,False
h,1,True,False,False,True,False
y,1,True,False,False,True,False
v,1,True,False,False,True,False
n,1,True,False,False,True,False
b,1,True,False,False,True,False
s,1,True,False,False,True,False
e,1,True,False,False,True,False
e,1,True,False,False,True,False
w,1,True,False,False,True,False
