Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
handler,handler,True,NOUN,7
Fetch,Fetch,True,VERB,5
insert,insert,True,ADJ,6
Fetch,Fetch,True,VERB,5
insert,insert,True,ADJ,6
main,main,True,ADJ,4
call,call,True,VERB,4
insertMoment,insert,True,ADJ,6
insertMoment,Moment,True,NOUN,6
insert,insert,True,ADJ,6
call,call,True,VERB,4
insertMoment,insert,True,ADJ,6
insertMoment,Moment,True,NOUN,6
insert,insert,True,ADJ,6
includes,includes,True,VERB,8
main,main,True,ADJ,4
SyncAssest,Sync,True,NOUN,4
SyncAssest,Assest,False,PROPN,6
SyncAssest,Sync,True,NOUN,4
SyncAssest,Assest,False,PROPN,6
translate,translate,True,VERB,9
translate,translate,True,VERB,9
translate,translate,True,VERB,9
translate,translate,True,VERB,9
writeJSON,write,True,VERB,5
writeJSON,JSON,False,NOUN,4
writeJSON,write,True,VERB,5
writeJSON,JSON,False,NOUN,4
