Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
exports,1,True,False,True,True,False
default,1,True,False,True,True,False
notarizing,4,False,True,True,False,False
notarizing,4,False,True,True,False,False
toLatest,2,True,False,True,True,False
onlyName,2,True,False,True,True,False
removeFile,2,True,True,True,True,False
cpFile,2,False,True,True,True,False
main,1,True,False,True,True,False
getProperty,2,True,True,True,True,False
getVariable,2,True,True,True,True,False
getDomStyle,3,False,True,True,True,False
getFilesInDirectoryAsync,5,False,True,True,True,False
sortByKeylength,4,True,True,True,False,False
searchFilesInDirectoryAsync,5,False,False,True,True,False
replaceFileContent,3,True,True,True,True,False
uptoken,2,True,True,True,False,False
toLatest,2,True,False,True,True,False
onlyName,2,True,False,True,True,False
isExists,2,True,False,True,True,False
uploadFile,2,True,True,True,True,False
removeFile,2,True,True,True,True,False
cpFile,2,False,True,True,True,False
main,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
c,1,True,False,False,True,False
onreadystatechange,4,True,True,True,False,False
s,1,True,False,False,True,False
e,1,True,False,False,True,False
_registerEvent,2,True,True,True,True,False
_createHiddenIframe,3,True,True,True,True,False
onBlur,2,True,False,True,True,False
openUriWithHiddenFrame,5,False,True,True,True,False
onBlur,2,True,False,True,True,False
openUriWithTimeoutHack,5,False,True,True,True,False
openUriUsingFirefox,4,False,True,True,True,False
openUriUsingIEInOlderWindows,7,False,True,True,True,False
openUriUsingIE10InWindows7,6,False,True,True,True,False
openUriInNewWindowHack,6,False,True,True,True,False
openUriWithMsLaunchUri,6,False,True,True,True,False
checkBrowser,2,True,True,True,True,False
getInternetExplorerVersion,4,False,True,True,True,False
failCallback,2,True,True,True,True,False
successCallback,2,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
execCodeErrWarning,4,True,True,True,True,False
InfiniteLoopError,3,True,False,True,False,False
infiniteLoopDetector,3,True,False,True,True,False
wrap,1,True,True,True,True,False
infiniteLoopDetector,3,True,False,True,True,False
typeof,2,False,True,True,False,False
deepCopy,2,True,True,True,True,False
parseRequestDataToObj,5,True,True,True,True,False
bodyQueryToJson,4,False,False,True,True,False
parseEnv,2,True,True,True,True,False
mergeObj,2,True,True,True,True,False
replaceAll,2,True,True,True,True,False
tmp_fn_replace_bind_text,5,False,True,True,False,True
aesOrDesAndEncryptOrDecrypt,7,False,True,True,True,False
aesDecrypt,2,False,True,True,True,False
desDecrypt,2,False,False,True,True,False
aesEncrypt,2,False,True,True,True,False
desEncrypt,2,False,False,True,True,False
getParamSize,3,False,True,True,True,False
derToJose,3,False,False,True,True,False
createEcdsa,2,False,True,True,True,False
createSign,2,True,True,True,True,False
createHash,2,True,True,True,True,False
createHmac,2,False,True,True,True,False
md5,1,True,False,True,True,False
HmacSHA1,2,False,False,True,False,False
HmacSHA256,2,False,False,True,False,False
HmacSHA224,3,False,False,True,False,False
HmacSHA384,2,False,True,True,False,False
HmacSHA512,2,False,False,True,False,False
sha1,1,True,False,True,True,False
sha256,1,True,False,True,True,False
sha224,2,False,False,True,False,False
sha384,1,True,True,True,True,False
sha512,1,True,False,True,True,False
RS256,1,True,False,True,False,False
RS384,2,True,True,True,False,False
RS512,1,True,True,True,False,False
RS1,2,True,True,False,False,False
ES256,1,True,False,True,False,False
ES384,2,True,False,True,False,False
ES512,1,True,False,True,False,False
setBase64Url,3,False,True,True,True,False
stringToBase64,3,True,True,True,True,False
uuidGeneration,2,False,False,True,True,False
getMicrosToMsStr,5,False,True,True,True,False
rsaPublicEncrypt,3,False,False,True,True,False
rsaPrivateEncrypt,3,False,False,True,True,False
rsaPublicDecrypt,3,False,False,True,True,False
rsaPrivateDecrypt,3,False,False,True,True,False
tmp_fn_check_is_illegal_url,6,False,True,True,False,True
tmp_fn_parse_ajax_resolve,5,False,True,True,False,True
tmp_fn_ajax_err,4,False,False,True,False,True
tmp_fn_ajax_end,4,False,False,True,False,True
tmpFnZlibCallback,4,False,False,True,True,False
main,1,True,False,True,True,False
getMineType,3,True,True,True,True,False
getSuffix,2,True,True,True,True,False
createContextAsync,3,False,True,True,True,False
executeSync,2,True,True,True,True,False
set,1,True,True,True,True,False
setPrototypeOf,3,True,True,True,True,False
defineProperty,2,True,True,True,True,False
deleteProperty,2,True,True,True,True,False
isExtensible,2,True,False,True,True,False
preventExtensions,2,True,True,True,True,False
instanceOf,2,True,False,True,True,False
throwCallerCalleeArgumentsAccess,5,False,True,True,True,False
getTarget,2,True,True,True,True,False
apply,1,True,True,True,True,False
apply,1,True,True,True,True,False
construct,1,True,True,True,True,False
arguments,1,True,False,True,True,False
get,1,True,True,True,True,False
getPrototypeOf,3,True,True,True,True,False
instance,1,True,False,True,True,False
apply,1,True,True,True,True,False
construct,1,True,True,True,True,False
get,1,True,True,True,True,False
getPrototypeOf,3,True,True,True,True,False
function,1,True,False,True,True,False
get,1,True,True,True,True,False
set,1,True,True,True,True,False
getOwnPropertyDescriptor,4,True,True,True,True,False
defineProperty,2,True,True,True,True,False
deleteProperty,2,True,True,True,True,False
getPrototypeOf,3,True,True,True,True,False
setPrototypeOf,3,True,True,True,True,False
has,1,True,True,True,True,False
isExtensible,2,True,False,True,True,False
ownKeys,2,True,False,True,True,False
preventExtensions,2,True,True,True,True,False
enumerate,1,True,False,True,True,False
object,1,True,False,True,True,False
value,1,True,False,True,True,False
arguments,1,True,False,True,True,False
get,1,True,True,True,True,False
getPrototypeOf,3,True,True,True,True,False
instance,1,True,False,True,True,False
apply,1,True,True,True,True,False
construct,1,True,True,True,True,False
get,1,True,True,True,True,False
getPrototypeOf,3,True,True,True,True,False
function,1,True,False,True,True,False
get,1,True,True,True,True,False
set,1,True,True,True,True,False
getOwnPropertyDescriptor,4,True,True,True,True,False
defineProperty,2,True,True,True,True,False
deleteProperty,2,True,True,True,True,False
getPrototypeOf,3,True,True,True,True,False
setPrototypeOf,3,True,True,True,True,False
has,1,True,True,True,True,False
isExtensible,2,True,False,True,True,False
ownKeys,2,True,False,True,True,False
preventExtensions,2,True,True,True,True,False
enumerate,1,True,False,True,True,False
object,1,True,False,True,True,False
value,1,True,False,True,True,False
globalValue,2,True,False,True,True,False
readonly,1,False,False,True,True,False
protected,1,True,True,True,True,False
allocUnsafe,2,False,False,True,True,False
allocUnsafe,2,False,False,True,True,False
allocUnsafeSlow,3,False,False,True,True,False
allocUnsafeSlow,3,False,False,True,True,False
compileToJS,3,False,False,True,True,False
compileToJS,3,False,False,True,True,False
loadScript,2,True,False,True,True,False
match,1,True,True,True,True,False
_parseExternalOptions,3,True,True,True,True,False
_resolveFilename,2,True,True,True,True,False
_requireBuiltin,2,False,True,True,True,False
_require,1,True,True,True,True,False
_prepareRequire,2,True,True,True,True,False
setTimeout,2,True,True,True,True,False
setInterval,2,True,True,True,True,False
setImmediate,2,True,True,True,True,False
clearTimeout,2,True,False,True,True,False
clearInterval,2,True,False,True,True,False
clearImmediate,2,True,False,True,True,False
match,1,True,True,True,True,False
XML,1,False,True,True,False,False
ObjTree,2,True,False,True,False,False
writeXML,2,False,True,True,True,False
hash_to_xml,3,False,True,True,False,True
array_to_xml,3,False,True,True,False,True
scalar_to_xml,3,False,True,True,False,True
xml_escape,2,False,True,True,False,True
fnToBuffer,3,False,False,True,True,False
fnIsBuffer,3,False,False,True,True,False
fnGzip,2,False,False,True,True,False
fnGunzip,2,False,False,True,True,False
fnDeflate,2,False,True,True,True,False
fnInflate,2,False,True,True,True,False
uri,1,False,False,True,True,False
parseTestData,3,True,True,True,True,False
tmpFunCheckIsIllegalUrl,6,False,True,True,True,False
tmpFunOprAjaxErr,5,False,False,True,True,False
tmpFunReduceAjaxResEnd,6,False,True,True,True,False
main,1,True,False,True,True,False
genProto,2,False,False,True,True,False
deleteProto,2,False,True,True,True,False
grpcFunc,2,False,False,True,True,False
grpcClient,2,False,False,True,True,False
