Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
Heading,Heading,True,VERB,7
Tab,Tab,True,VERB,3
EditPreviewContainer,Edit,True,NOUN,4
EditPreviewContainer,Preview,True,PROPN,7
EditPreviewContainer,Container,True,NOUN,9
toggleDarkMode,toggle,True,NOUN,6
toggleDarkMode,Dark,True,PROPN,4
toggleDarkMode,Mode,True,NOUN,4
Close,Close,True,VERB,5
Menu,Menu,True,PROPN,4
LanguageDropDown,Language,True,NOUN,8
LanguageDropDown,Drop,True,VERB,4
LanguageDropDown,Down,True,ADV,4
downloadMarkdownFile,download,True,NOUN,8
downloadMarkdownFile,Markdown,True,ADJ,8
downloadMarkdownFile,File,True,VERB,4
Nav,Nav,True,NOUN,3
PreviewColumn,Preview,True,PROPN,7
PreviewColumn,Column,True,NOUN,6
copyToClipBoard,copy,True,NOUN,4
copyToClipBoard,To,True,PART,2
copyToClipBoard,Clip,True,PROPN,4
copyToClipBoard,Board,True,PROPN,5
RawPreview,Raw,True,ADJ,3
RawPreview,Preview,True,PROPN,7
SectionFilter,Section,True,NOUN,7
SectionFilter,Filter,True,PROPN,6
kebabCaseToTitleCase,kebab,True,PROPN,5
kebabCaseToTitleCase,Case,True,NOUN,4
kebabCaseToTitleCase,To,True,PART,2
kebabCaseToTitleCase,Title,True,NOUN,5
kebabCaseToTitleCase,Case,True,NOUN,4
updateSlugsOnAdd,update,True,VERB,6
updateSlugsOnAdd,Slugs,True,NOUN,5
updateSlugsOnAdd,On,True,ADP,2
updateSlugsOnAdd,Add,True,VERB,3
onAddSection,on,True,ADP,2
onAddSection,Add,True,VERB,3
onAddSection,Section,True,NOUN,7
handleDragEnd,handle,True,VERB,6
handleDragEnd,Drag,True,VERB,4
handleDragEnd,End,True,NOUN,3
onDeleteSection,on,True,ADP,2
onDeleteSection,Delete,True,PROPN,6
onDeleteSection,Section,True,NOUN,7
onResetSection,on,True,ADP,2
onResetSection,Reset,True,VERB,5
onResetSection,Section,True,NOUN,7
resetSelectedSections,reset,True,VERB,5
resetSelectedSections,Selected,True,VERB,8
resetSelectedSections,Sections,True,NOUN,8
getAutoCompleteResults,get,True,VERB,3
getAutoCompleteResults,Auto,True,NOUN,4
getAutoCompleteResults,Complete,True,VERB,8
getAutoCompleteResults,Results,True,NOUN,7
resetSearchFilter,reset,True,VERB,5
resetSearchFilter,Search,True,NOUN,6
resetSearchFilter,Filter,True,PROPN,6
SectionsColumn,Sections,True,NOUN,8
SectionsColumn,Column,True,NOUN,6
Tabs,Tabs,True,NOUN,4
Editor,Editor,True,NOUN,6
useDarkMode,use,True,VERB,3
useDarkMode,Dark,True,PROPN,4
useDarkMode,Mode,True,NOUN,4
useDeviceDetect,use,True,VERB,3
useDeviceDetect,Device,True,NOUN,6
useDeviceDetect,Detect,True,VERB,6
saveBackup,save,True,VERB,4
saveBackup,Backup,True,NOUN,6
deleteBackup,delete,True,VERB,6
deleteBackup,Backup,True,NOUN,6
useLocalStorage,use,True,VERB,3
useLocalStorage,Local,True,ADJ,5
useLocalStorage,Storage,True,NOUN,7
