Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
closeWin,2,True,True,True,True,False
sleep,1,True,False,True,True,False
iter,1,False,False,True,True,False
iME,2,True,False,False,True,False
dragandDrop,3,True,True,True,False,False
waitRandomBetween,3,True,True,True,True,False
getVideoTag,3,True,True,True,True,False
reading,1,True,True,True,True,False
createTip,2,True,True,True,True,False
waitingClose,2,True,True,True,True,False
readNews,2,True,True,True,True,False
getNews,2,True,True,True,True,False
getVideos,2,True,True,True,True,False
watchVideo,2,True,True,True,True,False
doExamPractice,3,True,True,True,True,False
waitingDependStartTime,4,False,True,True,True,False
InitExamPaperAttr,4,False,True,True,False,False
getExamPaperByPageNo,6,True,True,True,True,False
findExamPaper,3,True,True,True,True,False
doExamPaper,3,True,True,True,True,False
InitExamWeeklyAttr,4,False,True,True,False,False
getExamWeeklyByPageNo,6,True,True,True,True,False
findExamWeekly,3,True,True,True,True,False
doExamWeekly,3,True,True,True,True,False
getNextButton,3,True,True,True,True,False
doingPause,2,True,True,True,True,False
doingExam,2,True,True,True,True,False
getKey,2,True,True,True,True,False
saveAnswer,2,True,True,True,True,False
getAnswer,2,True,True,True,True,False
cancelVerify,2,True,True,True,True,False
getToday,2,True,True,True,True,False
initSetting,2,False,True,True,True,False
createManualButton,3,True,True,True,True,False
clickManualButton,3,True,True,True,True,False
createStartButton,3,True,True,True,True,False
saveSetting,2,True,True,True,True,False
showMenu,2,True,True,True,True,False
start,1,True,True,True,True,False
startQuestionBtn,3,False,True,True,True,False
startDayBtn,3,False,True,True,True,False
startExamBtn,3,False,True,True,True,False
startWeekBtn,3,False,True,True,True,False
getBtnDom,3,False,True,True,True,False
doit,1,False,False,True,True,False
onload,2,True,False,True,False,False
