Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
createMonthTable,3,True,True,True,True,False
drawCalendarMonthTable,4,True,True,True,True,False
drawCalendarDay,3,True,True,True,True,False
extendSource,2,True,True,True,True,False
getCalendar,2,True,True,True,True,False
onclick,2,True,True,True,False,False
onClick,2,True,True,True,True,False
draw,1,True,True,True,True,False
drawCalendar,2,True,True,True,True,False
gtag,2,True,True,False,False,False
pikachu,1,True,False,True,True,False
record,1,True,False,True,True,False
init,1,False,False,True,True,False
pikachu,1,True,False,True,True,False
mario,2,False,False,True,False,False
record,1,True,False,True,True,False
init,1,False,False,True,True,False
mario,2,False,False,True,False,False
ohhh,1,True,False,True,True,False
record,1,True,False,True,True,False
init,1,False,False,True,True,False
ohhh,1,True,False,True,True,False
process,1,True,False,True,True,False
processInterval,2,True,False,True,True,False
login,1,True,True,True,True,False
globalReducer,2,True,False,True,True,False
gene_name,2,True,False,True,False,True
config,1,True,False,True,True,False
