Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
IndeterminateProgressBar,3,True,True,True,False,False
ProgressBar,2,True,True,True,False,False
Spinner,1,True,False,True,False,False
MinusSquare,2,True,False,True,False,False
PlusSquare,2,True,False,True,False,False
CloseSquare,2,True,True,True,False,False
TransitionComponent,2,True,False,True,False,False
onFlickClick,3,True,True,True,True,False
toggleSummary,2,True,False,True,True,False
FileSummary,2,True,True,True,False,False
onChangeQuery,3,True,True,True,True,False
handleKeyDown,3,True,True,True,True,False
onSubmit,2,True,True,True,True,False
onSubmitSuggested,3,True,True,True,True,False
QueryInput,2,True,False,True,False,False
updateIndexingStatus,3,True,True,True,True,False
Extension,1,True,False,True,False,False
buildChatHistory,3,True,True,True,True,False
buildWelcomeMessage,3,True,True,True,True,False
isResponseLoading,3,True,True,True,True,False
buildTreeFromFlatList,5,True,True,True,True,False
ExtensionPage,2,True,False,True,False,False
fetchUserMetadata,3,True,True,True,True,False
onGetStarted,3,True,True,True,True,False
LandingPage,2,True,True,True,False,False
MyApp,2,True,False,True,False,False
Document,1,True,False,True,False,False
