Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
IndeterminateProgressBar,Indeterminate,True,VERB,13
IndeterminateProgressBar,Progress,True,NOUN,8
IndeterminateProgressBar,Bar,True,VERB,3
ProgressBar,Progress,True,NOUN,8
ProgressBar,Bar,True,VERB,3
Spinner,Spinner,True,PROPN,7
MinusSquare,Minus,True,NOUN,5
MinusSquare,Square,True,PROPN,6
PlusSquare,Plus,True,CCONJ,4
PlusSquare,Square,True,PROPN,6
CloseSquare,Close,True,VERB,5
CloseSquare,Square,True,PROPN,6
TransitionComponent,Transition,True,NOUN,10
TransitionComponent,Component,True,NOUN,9
onFlickClick,on,True,ADP,2
onFlickClick,Flick,True,NOUN,5
onFlickClick,Click,True,VERB,5
toggleSummary,toggle,True,NOUN,6
toggleSummary,Summary,True,NOUN,7
FileSummary,File,True,VERB,4
FileSummary,Summary,True,NOUN,7
onChangeQuery,on,True,ADP,2
onChangeQuery,Change,True,VERB,6
onChangeQuery,Query,True,NOUN,5
handleKeyDown,handle,True,VERB,6
handleKeyDown,Key,True,ADJ,3
handleKeyDown,Down,True,ADV,4
onSubmit,on,True,ADP,2
onSubmit,Submit,True,VERB,6
onSubmitSuggested,on,True,ADP,2
onSubmitSuggested,Submit,True,VERB,6
onSubmitSuggested,Suggested,True,VERB,9
QueryInput,Query,True,NOUN,5
QueryInput,Input,True,NOUN,5
updateIndexingStatus,update,True,VERB,6
updateIndexingStatus,Indexing,True,NOUN,8
updateIndexingStatus,Status,True,NOUN,6
Extension,Extension,True,NOUN,9
buildChatHistory,build,True,VERB,5
buildChatHistory,Chat,True,VERB,4
buildChatHistory,History,True,NOUN,7
buildWelcomeMessage,build,True,VERB,5
buildWelcomeMessage,Welcome,True,VERB,7
buildWelcomeMessage,Message,True,NOUN,7
isResponseLoading,is,True,AUX,2
isResponseLoading,Response,True,NOUN,8
isResponseLoading,Loading,True,VERB,7
buildTreeFromFlatList,build,True,VERB,5
buildTreeFromFlatList,Tree,True,NOUN,4
buildTreeFromFlatList,From,True,ADP,4
buildTreeFromFlatList,Flat,True,ADJ,4
buildTreeFromFlatList,List,True,NOUN,4
ExtensionPage,Extension,True,NOUN,9
ExtensionPage,Page,True,NOUN,4
fetchUserMetadata,fetch,True,VERB,5
fetchUserMetadata,User,True,NOUN,4
fetchUserMetadata,Metadata,True,PROPN,8
onGetStarted,on,True,ADP,2
onGetStarted,Get,True,VERB,3
onGetStarted,Started,True,VERB,7
LandingPage,Landing,True,VERB,7
LandingPage,Page,True,NOUN,4
MyApp,My,True,PRON,2
MyApp,App,True,PROPN,3
Document,Document,True,NOUN,8
