Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
urlFor,url,False,NOUN,3
urlFor,For,True,ADP,3
getStripe,get,True,VERB,3
getStripe,Stripe,True,VERB,6
randomInRange,random,True,ADJ,6
randomInRange,In,True,ADP,2
randomInRange,Range,True,NOUN,5
runFireworks,run,True,VERB,3
runFireworks,Fireworks,True,NOUN,9
handler,handler,True,NOUN,7
handler,handler,True,NOUN,7
Success,Success,True,NOUN,7
MyApp,My,True,PRON,2
MyApp,App,True,PROPN,3
g,g,True,PROPN,1
O,O,True,INTJ,1
w,w,True,PROPN,1
j,j,True,NOUN,1
E,E,True,NOUN,1
C,C,True,NOUN,1
t,t,True,NOUN,1
k,k,True,NOUN,1
S,S,True,NOUN,1
D,D,True,PROPN,1
M,M,True,NOUN,1
A,A,True,PRON,1
T,T,True,NOUN,1
I,I,True,PRON,1
R,R,True,VERB,1
F,F,True,NOUN,1
B,B,True,NOUN,1
L,L,True,NOUN,1
N,N,True,NOUN,1
W,W,True,NOUN,1
z,z,True,X,1
U,U,True,NOUN,1
H,H,True,NOUN,1
Y,Y,True,NOUN,1
G,G,True,NOUN,1
ee,ee,False,PROPN,2
te,te,False,PROPN,2
ne,ne,True,PROPN,2
re,re,True,VERB,2
ae,ae,True,PROPN,2
oe,oe,False,ADV,2
ie,ie,False,ADP,2
ue,ue,False,ADV,2
le,le,False,INTJ,2
ye,ye,True,ADJ,2
ge,ge,False,PROPN,2
Oe,Oe,True,NOUN,2
we,we,True,PRON,2
je,je,False,PROPN,2
Ee,Ee,False,NOUN,2
i,i,True,PRON,1
a,a,True,PRON,1
Pe,Pe,True,NOUN,2
xe,xe,False,PROPN,2
t,t,True,NOUN,1
Ce,Ce,True,VERB,2
Se,Se,True,PROPN,2
De,De,True,INTJ,2
Me,Me,True,PRON,2
Ae,Ae,True,ADV,2
Te,Te,True,ADV,2
Ie,Ie,False,VERB,2
Re,Re,True,ADP,2
Fe,Fe,True,NOUN,2
Be,Be,True,AUX,2
Le,Le,True,NOUN,2
Ne,Ne,True,NOUN,2
We,We,True,PRON,2
Ve,Ve,False,VERB,2
ze,ze,False,PROPN,2
He,He,True,PRON,2
Ye,Ye,True,NOUN,2
Ge,Ge,True,PROPN,2
$e,e,True,X,1
qe,qe,False,PROPN,2
Ze,Ze,False,NOUN,2
Qe,Qe,False,PROPN,2
et,et,True,VERB,2
tt,tt,False,NOUN,2
nt,nt,False,PART,2
at,at,True,ADP,2
ot,ot,False,VERB,2
it,it,True,PRON,2
ut,ut,True,ADP,2
lt,lt,False,PROPN,2
st,st,True,PROPN,2
ft,ft,True,PROPN,2
dt,dt,False,PROPN,2
pt,pt,True,X,2
bt,bt,False,ADJ,2
yt,yt,False,NOUN,2
gt,gt,True,PROPN,2
Ot,Ot,False,NOUN,2
wt,wt,True,PROPN,2
jt,jt,False,PROPN,2
_t,t,True,NOUN,1
Et,Et,True,VERB,2
Dt,Dt,False,VERB,2
Mt,Mt,True,VERB,2
At,At,True,ADP,2
Tt,Tt,False,VERB,2
It,It,True,PRON,2
Rt,Rt,True,VERB,2
Ft,Ft,True,PROPN,2
Bt,Bt,True,PROPN,2
zt,zt,False,PROPN,2
Ut,Ut,True,ADV,2
Ht,Ht,True,PROPN,2
Yt,Yt,True,NOUN,2
Gt,Gt,True,NOUN,2
$t,t,True,NOUN,1
qt,qt,True,VERB,2
en,en,True,ADV,2
tn,tn,True,INTJ,2
nn,nn,False,ADP,2
rn,rn,False,VERB,2
an,an,True,PRON,2
mn,mn,False,NOUN,2
Yn,Yn,False,ADJ,2
tr,tr,True,VERB,2
nr,nr,True,INTJ,2
pr,pr,True,ADP,2
yr,yr,True,INTJ,2
zr,zr,False,INTJ,2
Hr,Hr,True,PROPN,2
r,r,True,X,1
getDerivedStateFromError,get,True,VERB,3
getDerivedStateFromError,Derived,True,VERB,7
getDerivedStateFromError,State,True,NOUN,5
getDerivedStateFromError,From,True,ADP,4
getDerivedStateFromError,Error,True,NOUN,5
componentDidCatch,component,True,NOUN,9
componentDidCatch,Did,True,VERB,3
componentDidCatch,Catch,True,VERB,5
render,render,True,VERB,6
Xr,Xr,False,PROPN,2
Jr,Jr,True,ADV,2
ca,ca,True,AUX,2
sa,sa,False,PROPN,2
fa,fa,True,ADV,2
ha,ha,True,INTJ,2
ba,ba,False,VERB,2
ya,ya,True,INTJ,2
ga,ga,False,VERB,2
Oa,Oa,False,PROPN,2
wa,wa,False,INTJ,2
ja,ja,True,PROPN,2
_a,a,True,PRON,1
Ea,Ea,True,PRON,2
Pa,Pa,True,NOUN,2
xa,xa,False,PROPN,2
Ca,Ca,True,AUX,2
ka,ka,True,PROPN,2
Sa,Sa,False,PROPN,2
Da,Da,False,VERB,2
Ma,Ma,True,PROPN,2
n,n,True,CCONJ,1
a,a,True,PRON,1
o,o,True,X,1
Ya,Ya,True,VERB,2
co,co,True,VERB,2
so,so,True,ADV,2
fo,fo,True,ADP,2
po,po,False,INTJ,2
ho,ho,True,PROPN,2
vo,vo,True,ADV,2
e,e,True,X,1
Si,Si,True,NOUN,2
Di,Di,True,PROPN,2
Li,Li,True,PROPN,2
Ni,Ni,True,PROPN,2
qi,qi,True,PROPN,2
fu,fu,False,NOUN,2
Ou,Ou,False,PROPN,2
wu,wu,False,PROPN,2
ju,ju,False,PROPN,2
Eu,Eu,True,PROPN,2
Ru,Ru,True,VERB,2
Bu,Bu,True,PROPN,2
ll,ll,True,AUX,2
gl,gl,True,VERB,2
r,r,True,X,1
Cl,Cl,True,PROPN,2
kl,kl,True,PUNCT,2
Sl,Sl,False,VERB,2
Bl,Bl,True,VERB,2
a,a,True,PRON,1
p,p,True,NOUN,1
h,h,True,NOUN,1
v,v,True,X,1
y,y,True,PROPN,1
g,g,True,PROPN,1
O,O,True,INTJ,1
x,x,True,VERB,1
e,e,True,X,1
indexOfGroup,index,True,NOUN,5
indexOfGroup,Of,True,ADP,2
indexOfGroup,Group,True,PROPN,5
insertRules,insert,True,ADJ,6
insertRules,Rules,True,NOUN,5
clearGroup,clear,True,ADJ,5
clearGroup,Group,True,PROPN,5
getGroup,get,True,VERB,3
getGroup,Group,True,PROPN,5
M,M,True,NOUN,1
A,A,True,PRON,1
T,T,True,NOUN,1
F,F,True,NOUN,1
B,B,True,NOUN,1
L,L,True,NOUN,1
N,N,True,NOUN,1
e,e,True,X,1
insertRule,insert,True,ADJ,6
insertRule,Rule,True,VERB,4
deleteRule,delete,True,VERB,6
deleteRule,Rule,True,VERB,4
getRule,get,True,VERB,3
getRule,Rule,True,VERB,4
e,e,True,X,1
insertRule,insert,True,ADJ,6
insertRule,Rule,True,VERB,4
deleteRule,delete,True,VERB,6
deleteRule,Rule,True,VERB,4
getRule,get,True,VERB,3
getRule,Rule,True,VERB,4
e,e,True,X,1
insertRule,insert,True,ADJ,6
insertRule,Rule,True,VERB,4
deleteRule,delete,True,VERB,6
deleteRule,Rule,True,VERB,4
getRule,get,True,VERB,3
getRule,Rule,True,VERB,4
e,e,True,X,1
registerId,register,True,VERB,8
registerId,Id,True,PROPN,2
reconstructWithOptions,reconstruct,True,NOUN,11
reconstructWithOptions,With,True,ADP,4
reconstructWithOptions,Options,True,NOUN,7
allocateGSInstance,allocate,True,VERB,8
allocateGSInstance,GS,True,NOUN,2
allocateGSInstance,Instance,True,PROPN,8
getTag,get,True,VERB,3
getTag,Tag,True,VERB,3
hasNameForId,has,True,VERB,3
hasNameForId,Name,True,NOUN,4
hasNameForId,For,True,ADP,3
hasNameForId,Id,True,PROPN,2
registerName,register,True,VERB,8
registerName,Name,True,NOUN,4
insertRules,insert,True,ADJ,6
insertRules,Rules,True,NOUN,5
clearNames,clear,True,ADJ,5
clearNames,Names,True,NOUN,5
clearRules,clear,True,ADJ,5
clearRules,Rules,True,NOUN,5
clearTag,clear,True,ADJ,5
clearTag,Tag,True,VERB,3
toString,to,True,PART,2
toString,String,True,NOUN,6
q,q,True,X,1
Z,Z,True,PROPN,1
K,K,True,NOUN,1
X,X,True,NOUN,1
e,e,True,X,1
generateAndInjectStyles,generate,True,VERB,8
generateAndInjectStyles,And,True,CCONJ,3
generateAndInjectStyles,Inject,True,VERB,6
generateAndInjectStyles,Styles,True,NOUN,6
t,t,True,NOUN,1
h,h,True,NOUN,1
v,v,True,X,1
ne,ne,True,PROPN,2
le,le,False,INTJ,2
ce,ce,False,VERB,2
se,se,False,PROPN,2
inject,inject,True,VERB,6
toString,to,True,PART,2
toString,String,True,NOUN,6
e,e,True,X,1
getName,get,True,VERB,3
getName,Name,True,NOUN,4
ve,ve,False,VERB,2
me,me,True,PRON,2
be,be,True,AUX,2
e,e,True,X,1
ye,ye,True,ADJ,2
ge,ge,False,PROPN,2
Oe,Oe,True,NOUN,2
we,we,True,PRON,2
Ee,Ee,False,NOUN,2
Pe,Pe,True,NOUN,2
xe,xe,False,PROPN,2
Ce,Ce,True,VERB,2
ke,ke,False,VERB,2
Se,Se,True,PROPN,2
De,De,True,INTJ,2
Te,Te,True,ADV,2
C,C,True,NOUN,1
withComponent,with,True,ADP,4
withComponent,Component,True,NOUN,9
toString,to,True,PART,2
toString,String,True,NOUN,6
Re,Re,True,ADP,2
o,o,True,X,1
withConfig,with,True,ADP,4
withConfig,Config,False,PROPN,6
attrs,attrs,False,PROPN,5
e,e,True,X,1
Fe,Fe,True,NOUN,2
e,e,True,X,1
createStyles,create,True,VERB,6
createStyles,Styles,True,NOUN,6
removeStyles,remove,True,VERB,6
removeStyles,Styles,True,NOUN,6
renderStyles,render,True,VERB,6
renderStyles,Styles,True,NOUN,6
c,c,True,NOUN,1
s,s,True,NOUN,1
Le,Le,True,NOUN,2
Ne,Ne,True,NOUN,2
_emitSheetCSS,emit,True,VERB,4
_emitSheetCSS,Sheet,True,NOUN,5
_emitSheetCSS,CSS,False,NOUN,3
getStyleTags,get,True,VERB,3
getStyleTags,Style,True,NOUN,5
getStyleTags,Tags,True,NOUN,4
getStyleElement,get,True,VERB,3
getStyleElement,Style,True,NOUN,5
getStyleElement,Element,True,NOUN,7
seal,seal,True,NOUN,4
e,e,True,X,1
collectStyles,collect,True,VERB,7
collectStyles,Styles,True,NOUN,6
interleaveWithNodeStream,interleave,True,VERB,10
interleaveWithNodeStream,With,True,ADP,4
interleaveWithNodeStream,Node,True,NOUN,4
interleaveWithNodeStream,Stream,True,VERB,6
Ve,Ve,False,VERB,2
ze,ze,False,PROPN,2
a,a,True,PRON,1
n,n,True,CCONJ,1
b,b,True,X,1
d,d,True,X,1
e,e,True,X,1
r,r,True,X,1
a,a,True,PRON,1
o,o,True,X,1
i,i,True,PRON,1
o,o,True,X,1
n,n,True,CCONJ,1
a,a,True,PRON,1
r,r,True,X,1
a,a,True,PRON,1
t,t,True,NOUN,1
create,create,True,VERB,6
next,next,True,ADV,4
error,error,True,NOUN,5
complete,complete,True,ADJ,8
unsubscribe,unsubscribe,True,ADJ,11
_next,next,True,ADV,4
_error,error,True,NOUN,5
_complete,complete,True,ADJ,8
_unsubscribeAndRecycle,unsubscribe,True,ADJ,11
_unsubscribeAndRecycle,And,True,CCONJ,3
_unsubscribeAndRecycle,Recycle,True,NOUN,7
t,t,True,NOUN,1
next,next,True,ADV,4
error,error,True,NOUN,5
n,n,True,CCONJ,1
complete,complete,True,ADJ,8
__tryOrUnsub,try,True,VERB,3
__tryOrUnsub,Or,True,CCONJ,2
__tryOrUnsub,Unsub,False,NOUN,5
__tryOrSetError,try,True,VERB,3
__tryOrSetError,Or,True,CCONJ,2
__tryOrSetError,Set,True,VERB,3
__tryOrSetError,Error,True,NOUN,5
_unsubscribe,unsubscribe,True,ADJ,11
e,e,True,X,1
lift,lift,True,VERB,4
subscribe,subscribe,True,VERB,9
_trySubscribe,try,True,VERB,3
_trySubscribe,Subscribe,True,PROPN,9
forEach,for,True,ADP,3
forEach,Each,True,PRON,4
_subscribe,subscribe,True,VERB,9
pipe,pipe,True,NOUN,4
toPromise,to,True,PART,2
toPromise,Promise,True,VERB,7
create,create,True,VERB,6
c,c,True,NOUN,1
u,u,True,NOUN,1
l,l,True,NOUN,1
r,r,True,X,1
a,a,True,PRON,1
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
c,c,True,NOUN,1
t,t,True,NOUN,1
_next,next,True,ADV,4
_error,error,True,NOUN,5
_complete,complete,True,ADJ,8
t,t,True,NOUN,1
notifyNext,notify,True,VERB,6
notifyNext,Next,True,ADV,4
notifyError,notify,True,VERB,6
notifyError,Error,True,NOUN,5
notifyComplete,notify,True,VERB,6
notifyComplete,Complete,True,VERB,8
a,a,True,PRON,1
t,t,True,NOUN,1
t,t,True,NOUN,1
h,h,True,NOUN,1
v,v,True,X,1
m,m,True,VERB,1
b,b,True,X,1
u,u,True,NOUN,1
o,o,True,X,1
p,p,True,NOUN,1
h,h,True,NOUN,1
d,d,True,X,1
v,v,True,X,1
m,m,True,VERB,1
b,b,True,X,1
g,g,True,PROPN,1
e,e,True,X,1
e,e,True,X,1
P,P,True,NOUN,1
x,x,True,VERB,1
C,C,True,NOUN,1
B,B,True,NOUN,1
L,L,True,NOUN,1
W,W,True,NOUN,1
z,z,True,X,1
H,H,True,NOUN,1
Y,Y,True,NOUN,1
Z,Z,True,PROPN,1
K,K,True,NOUN,1
r,r,True,X,1
a,a,True,PRON,1
w,w,True,PROPN,1
oe,oe,False,ADV,2
ie,ie,False,ADP,2
se,se,False,PROPN,2
fe,fe,False,X,2
ve,ve,False,VERB,2
ye,ye,True,ADJ,2
we,we,True,PRON,2
je,je,False,PROPN,2
a,a,True,PRON,1
Ee,Ee,False,NOUN,2
