Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
handler,1,True,False,True,True,False
handler,1,True,False,True,True,False
handler,1,True,False,True,True,False
handler,1,True,False,True,True,False
handler,1,True,False,True,True,False
handler,1,True,False,True,True,False
handler,1,True,False,True,True,False
handler,1,True,False,True,True,False
handler,1,True,False,True,True,False
handler,1,True,False,True,True,False
handler,1,True,False,True,True,False
getDockerArguments,3,True,True,True,True,False
hasFocus,2,True,True,True,True,False
onFocus,2,True,False,True,True,False
onBlur,2,True,False,True,True,False
useWindowFocus,3,True,True,True,True,False
parseCpu,2,False,True,True,True,False
parseMemory,2,True,True,True,True,False
combineMessageAndSplat,4,True,True,True,True,False
messageFormatter,2,True,False,True,True,False
init,1,False,False,True,True,False
createLogger,2,True,True,True,True,False
cachedFetch,2,True,True,True,True,False
mapIcon,2,True,False,True,True,False
mapIcon,2,True,False,True,True,False
mapIcon,2,True,False,True,True,False
gamedigProxyHandler,4,False,True,True,False,False
sha256,1,True,False,True,True,False
uniqueRid,2,True,True,True,True,False
validateRid,2,True,True,True,True,False
decrypt,1,True,False,True,True,False
createEncryptionToken,3,True,True,True,True,False
encrypt,1,True,True,True,True,False
minecraftProxyHandler,3,True,False,True,True,False
login,1,True,True,True,True,False
omadaProxyHandler,4,False,False,True,False,False
login,1,True,True,True,True,False
apiCall,2,False,True,True,True,False
qnapProxyHandler,3,False,False,True,True,False
