Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
_defineProperties,2,True,True,True,True,False
_createClass,2,True,True,True,True,False
_extends,1,True,True,True,True,False
_toPrimitive,2,True,True,True,True,False
_toPropertyKey,3,True,False,True,True,False
clamp,1,True,True,True,True,False
lerp,1,False,False,True,True,False
damp,1,True,True,True,True,False
modulo,1,True,False,True,True,False
Animate,1,True,True,True,False,False
advance,1,True,True,True,True,False
advance,1,True,True,True,True,False
stop,1,True,True,True,True,False
stop,1,True,True,True,True,False
fromTo,2,True,False,True,True,False
fromTo,2,True,False,True,True,False
debounce,1,True,False,True,True,False
resize,1,True,True,True,True,False
onWrapperResize,3,True,False,True,True,False
onContentResize,3,True,False,True,True,False
Dimensions,1,True,False,True,False,False
destroy,1,True,True,True,True,False
destroy,1,True,True,True,True,False
get,1,True,True,True,True,False
Emitter,1,True,False,True,False,False
emit,1,True,True,True,True,False
emit,1,True,True,True,True,False
on,1,True,False,True,True,False
on,1,True,False,True,True,False
off,1,True,False,True,True,False
off,1,True,False,True,True,False
destroy,1,True,True,True,True,False
destroy,1,True,True,True,True,False
onTouchStart,3,True,True,True,True,False
onTouchMove,3,True,True,True,True,False
onTouchEnd,3,True,True,True,True,False
onWheel,2,True,False,True,True,False
VirtualScroll,2,True,False,True,False,False
on,1,True,False,True,True,False
on,1,True,False,True,True,False
destroy,1,True,True,True,True,False
destroy,1,True,True,True,True,False
onVirtualScroll,3,True,False,True,True,False
onScroll,2,True,False,True,True,False
Lenis,1,False,False,True,False,False
destroy,1,True,True,True,True,False
destroy,1,True,True,True,True,False
on,1,True,False,True,True,False
on,1,True,False,True,True,False
off,1,True,False,True,True,False
off,1,True,False,True,True,False
setScroll,2,True,True,True,True,False
setScroll,2,True,True,True,True,False
resize,1,True,True,True,True,False
resize,1,True,True,True,True,False
emit,1,True,True,True,True,False
emit,1,True,True,True,True,False
reset,1,True,True,True,True,False
reset,1,True,True,True,True,False
start,1,True,True,True,True,False
start,1,True,True,True,True,False
stop,1,True,True,True,True,False
stop,1,True,True,True,True,False
raf,1,False,False,True,True,False
raf,1,False,False,True,True,False
onUpdate,2,True,True,True,True,False
scrollTo,2,True,False,True,True,False
scrollTo,2,True,False,True,True,False
get,1,True,True,True,True,False
get,1,True,True,True,True,False
get,1,True,True,True,True,False
get,1,True,True,True,True,False
get,1,True,True,True,True,False
get,1,True,True,True,True,False
get,1,True,True,True,True,False
set,1,True,True,True,True,False
get,1,True,True,True,True,False
set,1,True,True,True,True,False
get,1,True,True,True,True,False
set,1,True,True,True,True,False
get,1,True,True,True,True,False
t,1,True,False,False,True,False
e,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
t,1,True,False,False,True,False
advance,1,True,True,True,True,False
stop,1,True,True,True,True,False
fromTo,2,True,False,True,True,False
resize,1,True,True,True,True,False
onWrapperResize,3,True,False,True,True,False
onContentResize,3,True,False,True,True,False
t,1,True,False,False,True,False
destroy,1,True,True,True,True,False
t,1,True,False,False,True,False
emit,1,True,True,True,True,False
on,1,True,False,True,True,False
off,1,True,False,True,True,False
destroy,1,True,True,True,True,False
onTouchStart,3,True,True,True,True,False
onTouchMove,3,True,True,True,True,False
onTouchEnd,3,True,True,True,True,False
onWheel,2,True,False,True,True,False
t,1,True,False,False,True,False
on,1,True,False,True,True,False
destroy,1,True,True,True,True,False
onVirtualScroll,3,True,False,True,True,False
onScroll,2,True,False,True,True,False
t,1,True,False,False,True,False
destroy,1,True,True,True,True,False
on,1,True,False,True,True,False
off,1,True,False,True,True,False
setScroll,2,True,True,True,True,False
resize,1,True,True,True,True,False
emit,1,True,True,True,True,False
reset,1,True,True,True,True,False
start,1,True,True,True,True,False
stop,1,True,True,True,True,False
raf,1,False,False,True,True,False
scrollTo,2,True,False,True,True,False
t,1,True,False,False,True,False
e,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
t,1,True,False,False,True,False
advance,1,True,True,True,True,False
stop,1,True,True,True,True,False
fromTo,2,True,False,True,True,False
resize,1,True,True,True,True,False
onWrapperResize,3,True,False,True,True,False
onContentResize,3,True,False,True,True,False
t,1,True,False,False,True,False
destroy,1,True,True,True,True,False
t,1,True,False,False,True,False
emit,1,True,True,True,True,False
on,1,True,False,True,True,False
off,1,True,False,True,True,False
destroy,1,True,True,True,True,False
onTouchStart,3,True,True,True,True,False
onTouchMove,3,True,True,True,True,False
onTouchEnd,3,True,True,True,True,False
onWheel,2,True,False,True,True,False
t,1,True,False,False,True,False
on,1,True,False,True,True,False
destroy,1,True,True,True,True,False
onVirtualScroll,3,True,False,True,True,False
onScroll,2,True,False,True,True,False
t,1,True,False,False,True,False
destroy,1,True,True,True,True,False
on,1,True,False,True,True,False
off,1,True,False,True,True,False
setScroll,2,True,True,True,True,False
resize,1,True,True,True,True,False
emit,1,True,True,True,True,False
reset,1,True,True,True,True,False
start,1,True,True,True,True,False
stop,1,True,True,True,True,False
raf,1,False,False,True,True,False
scrollTo,2,True,False,True,True,False
t,1,True,False,False,True,False
